"title","rating","replacement_cost","n","inventory_value","inventory_pct"
"Liaisons Sweet","PG","15.99","6","95.94","0.10358320811900602900"
"Mummy Creatures","NC-17","15.99","6","95.94","0.10358320811900602900"
"Prejudice Oleander","PG-13","15.99","6","95.94","0.10358320811900602900"
"Remember Diary","R","15.99","6","95.94","0.10358320811900602900"
"Boogie Amelie","R","11.99","8","95.92","0.10356161478814945000"
"Kiss Glory","PG-13","11.99","8","95.92","0.10356161478814945000"
"Streetcar Intentions","R","11.99","8","95.92","0.10356161478814945000"
"Titans Jerk","PG","11.99","8","95.92","0.10356161478814945000"
"Birch Antitrust","PG","18.99","5","94.95","0.10251433824160540400"
"Blues Instinct","G","18.99","5","94.95","0.10251433824160540400"
"Breakfast Goldfinger","G","18.99","5","94.95","0.10251433824160540400"
"Ghost Groundhog","G","18.99","5","94.95","0.10251433824160540400"
"Louisiana Harry","PG-13","18.99","5","94.95","0.10251433824160540400"
"Lovely Jingle","PG","18.99","5","94.95","0.10251433824160540400"
"Seattle Expecations","PG-13","18.99","5","94.95","0.10251433824160540400"
"Tourist Pelican","PG-13","18.99","5","94.95","0.10251433824160540400"
"Army Flintstones","R","22.99","4","91.96","0.09928613527854695000"
"Crow Grease","PG","22.99","4","91.96","0.09928613527854695000"
"Dances None","NC-17","22.99","4","91.96","0.09928613527854695000"
"Flight Lies","R","22.99","4","91.96","0.09928613527854695000"
"Gathering Calendar","PG-13","22.99","4","91.96","0.09928613527854695000"
"Microcosmos Paradise","PG-13","22.99","4","91.96","0.09928613527854695000"
"Mosquito Armageddon","G","22.99","4","91.96","0.09928613527854695000"
"Searchers Wait","NC-17","22.99","4","91.96","0.09928613527854695000"
"Shane Darkness","PG","22.99","4","91.96","0.09928613527854695000"
"Strangers Graffiti","R","22.99","4","91.96","0.09928613527854695000"
"Blackout Private","PG","12.99","7","90.93","0.09817407873943316900"
"Clash Freddy","G","12.99","7","90.93","0.09817407873943316900"
"Closer Bang","R","12.99","7","90.93","0.09817407873943316900"
"Coneheads Smoochy","NC-17","12.99","7","90.93","0.09817407873943316900"
"Clockwork Paradise","PG-13","29.99","3","89.97","0.09713759885831741100"
"Clyde Theory","PG-13","29.99","3","89.97","0.09713759885831741100"
"Everyone Craft","PG","29.99","3","89.97","0.09713759885831741100"
"Jingle Sagebrush","PG-13","29.99","3","89.97","0.09713759885831741100"
"Lover Truman","G","29.99","3","89.97","0.09713759885831741100"
"Random Go","NC-17","29.99","3","89.97","0.09713759885831741100"
"Reservoir Adaptation","PG-13","29.99","3","89.97","0.09713759885831741100"
"Right Cranes","PG-13","29.99","3","89.97","0.09713759885831741100"
"Smile Earring","G","29.99","3","89.97","0.09713759885831741100"
"Song Hedwig","PG-13","29.99","3","89.97","0.09713759885831741100"
"Wyoming Storm","PG-13","29.99","3","89.97","0.09713759885831741100"
"Details Packer","R","17.99","5","89.95","0.09711600552746083300"
"Exorcist Sting","G","17.99","5","89.95","0.09711600552746083300"
"Gables Metropolis","PG","17.99","5","89.95","0.09711600552746083300"
"Image Princess","PG-13","17.99","5","89.95","0.09711600552746083300"
"Insider Arizona","NC-17","17.99","5","89.95","0.09711600552746083300"
"Interview Liaisons","R","17.99","5","89.95","0.09711600552746083300"
"Music Boondock","R","17.99","5","89.95","0.09711600552746083300"
"Rocky War","PG-13","17.99","5","89.95","0.09711600552746083300"
"Something Duck","NC-17","17.99","5","89.95","0.09711600552746083300"
"Waterfront Deliverance","G","17.99","5","89.95","0.09711600552746083300"
"Alone Trip","R","14.99","6","89.94","0.09710520886203254400"
"Attraction Newton","PG-13","14.99","6","89.94","0.09710520886203254400"
"Bringing Hysterical","PG","14.99","6","89.94","0.09710520886203254400"
"Conversation Downhill","R","14.99","6","89.94","0.09710520886203254400"
"Eagles Panky","NC-17","14.99","6","89.94","0.09710520886203254400"
"Hours Rage","NC-17","14.99","6","89.94","0.09710520886203254400"
"Insects Stone","NC-17","14.99","6","89.94","0.09710520886203254400"
"Jet Neighbors","R","14.99","6","89.94","0.09710520886203254400"
"Lady Stage","PG","14.99","6","89.94","0.09710520886203254400"
"Madness Attacks","PG-13","14.99","6","89.94","0.09710520886203254400"
"Oz Liaisons","R","14.99","6","89.94","0.09710520886203254400"
"Pollock Deliverance","PG","14.99","6","89.94","0.09710520886203254400"
"Velvet Terminator","R","14.99","6","89.94","0.09710520886203254400"
"Wedding Apollo","PG","14.99","6","89.94","0.09710520886203254400"
"Ali Forever","PG","21.99","4","87.96","0.09496746910723129300"
"Bedazzled Married","PG","21.99","4","87.96","0.09496746910723129300"
"Blanket Beverly","G","21.99","4","87.96","0.09496746910723129300"
"Charade Duffel","PG","21.99","4","87.96","0.09496746910723129300"
"Flash Wars","NC-17","21.99","4","87.96","0.09496746910723129300"
"Gold River","R","21.99","4","87.96","0.09496746910723129300"
"Hamlet Wisdom","R","21.99","4","87.96","0.09496746910723129300"
"Hanover Galaxy","NC-17","21.99","4","87.96","0.09496746910723129300"
"Hunger Roof","G","21.99","4","87.96","0.09496746910723129300"
"Jade Bunch","NC-17","21.99","4","87.96","0.09496746910723129300"
"Love Suicides","R","21.99","4","87.96","0.09496746910723129300"
"Nash Chocolat","PG-13","21.99","4","87.96","0.09496746910723129300"
"Necklace Outbreak","PG","21.99","4","87.96","0.09496746910723129300"
"Robbery Bright","R","21.99","4","87.96","0.09496746910723129300"
"Submarine Bed","R","21.99","4","87.96","0.09496746910723129300"
"Usual Untouchables","PG-13","21.99","4","87.96","0.09496746910723129300"
"Valley Packer","G","21.99","4","87.96","0.09496746910723129300"
"Giant Troopers","R","10.99","8","87.92","0.09492428244551813700"
"Ties Hunger","R","28.99","3","86.97","0.09389859922983066800"
"Clones Pinocchio","R","16.99","5","84.95","0.09171767281331626200"
"Day Unfaithful","G","16.99","5","84.95","0.09171767281331626200"
"Enough Raging","NC-17","16.99","5","84.95","0.09171767281331626200"
"Jacket Frisco","PG-13","16.99","5","84.95","0.09171767281331626200"
"Million Ace","PG-13","16.99","5","84.95","0.09171767281331626200"
"Open African","PG","16.99","5","84.95","0.09171767281331626200"
"Potter Connecticut","PG","16.99","5","84.95","0.09171767281331626200"
"Unbreakable Karate","G","16.99","5","84.95","0.09171767281331626200"
"Beneath Rush","NC-17","27.99","3","83.97","0.09065959960134392600"
"Brannigan Sunrise","PG","27.99","3","83.97","0.09065959960134392600"
"Iron Moon","PG","27.99","3","83.97","0.09065959960134392600"
"Lord Arizona","PG-13","27.99","3","83.97","0.09065959960134392600"
"Runner Madigan","NC-17","27.99","3","83.97","0.09065959960134392600"
"Superfly Trip","PG","27.99","3","83.97","0.09065959960134392600"
"Sweet Brotherhood","R","27.99","3","83.97","0.09065959960134392600"
"Behavior Runaway","PG","20.99","4","83.96","0.09064880293591563700"
"Deep Crusade","PG-13","20.99","4","83.96","0.09064880293591563700"
"Donnie Alley","NC-17","20.99","4","83.96","0.09064880293591563700"
"Modern Dorado","PG","20.99","4","83.96","0.09064880293591563700"
"Peach Innocent","PG-13","20.99","4","83.96","0.09064880293591563700"
"Divide Monster","PG-13","13.99","6","83.94","0.09062720960505905800"
"Fight Jawbreaker","R","13.99","6","83.94","0.09062720960505905800"
"Galaxy Sweethearts","R","13.99","6","83.94","0.09062720960505905800"
"Hall Cassidy","NC-17","13.99","6","83.94","0.09062720960505905800"
"House Dynamite","R","13.99","6","83.94","0.09062720960505905800"
"Lion Uncut","PG","13.99","6","83.94","0.09062720960505905800"
"Smoking Barbarella","PG-13","13.99","6","83.94","0.09062720960505905800"
"Trouble Date","PG","13.99","6","83.94","0.09062720960505905800"
"Wolves Desire","NC-17","13.99","6","83.94","0.09062720960505905800"
"Carrie Bunch","PG","11.99","7","83.93","0.09061641293963076900"
"Hurricane Affair","PG","11.99","7","83.93","0.09061641293963076900"
"Sabrina Midnight","PG","11.99","7","83.93","0.09061641293963076900"
"Westward Seabiscuit","NC-17","11.99","7","83.93","0.09061641293963076900"
"Beethoven Exorcist","PG-13","26.99","3","80.97","0.08742059997285718300"
"Chaplin License","NC-17","26.99","3","80.97","0.08742059997285718300"
"Daddy Pittsburgh","G","26.99","3","80.97","0.08742059997285718300"
"Language Cowboy","NC-17","26.99","3","80.97","0.08742059997285718300"
"Spoilers Hellfighters","G","26.99","3","80.97","0.08742059997285718300"
"Analyze Hoosiers","R","19.99","4","79.96","0.08633013676459998000"
"Bowfinger Gables","NC-17","19.99","4","79.96","0.08633013676459998000"
"California Birds","NC-17","19.99","4","79.96","0.08633013676459998000"
"Comforts Rush","NC-17","19.99","4","79.96","0.08633013676459998000"
"Date Speed","R","19.99","4","79.96","0.08633013676459998000"
"Divine Resurrection","R","19.99","4","79.96","0.08633013676459998000"
"Entrapment Satisfaction","R","19.99","4","79.96","0.08633013676459998000"
"Homeward Cider","R","19.99","4","79.96","0.08633013676459998000"
"Hysterical Grail","PG","19.99","4","79.96","0.08633013676459998000"
"Panky Submarine","G","19.99","4","79.96","0.08633013676459998000"
"Paris Weekend","PG-13","19.99","4","79.96","0.08633013676459998000"
"Personal Ladybugs","PG-13","19.99","4","79.96","0.08633013676459998000"
"Quills Bull","R","19.99","4","79.96","0.08633013676459998000"
"Rules Human","R","19.99","4","79.96","0.08633013676459998000"
"Spartacus Cheaper","NC-17","19.99","4","79.96","0.08633013676459998000"
"Annie Identity","G","15.99","5","79.95","0.08631934009917169100"
"Banger Pinocchio","R","15.99","5","79.95","0.08631934009917169100"
"Barefoot Manchurian","G","15.99","5","79.95","0.08631934009917169100"
"Unforgiven Zoolander","PG","15.99","5","79.95","0.08631934009917169100"
"Metropolis Coma","PG-13","9.99","8","79.92","0.08628695010288682300"
"Sting Personal","NC-17","9.99","8","79.92","0.08628695010288682300"
"Telemark Heartbreakers","PG-13","9.99","8","79.92","0.08628695010288682300"
"Chisum Behavior","G","25.99","3","77.97","0.08418160034437044100"
"Lolita World","NC-17","25.99","3","77.97","0.08418160034437044100"
"Run Pacific","R","25.99","3","77.97","0.08418160034437044100"
"Savannah Town","PG-13","25.99","3","77.97","0.08418160034437044100"
"Window Side","R","25.99","3","77.97","0.08418160034437044100"
"Bill Others","PG","12.99","6","77.94","0.08414921034808557300"
"Center Dinosaur","PG","12.99","6","77.94","0.08414921034808557300"
"Go Purple","R","12.99","6","77.94","0.08414921034808557300"
"Masked Bubble","PG-13","12.99","6","77.94","0.08414921034808557300"
"Mine Titans","PG-13","12.99","6","77.94","0.08414921034808557300"
"Paradise Sabrina","PG-13","12.99","6","77.94","0.08414921034808557300"
"Road Roxanne","R","12.99","6","77.94","0.08414921034808557300"
"Suit Walls","R","12.99","6","77.94","0.08414921034808557300"
"Wind Phantom","R","12.99","6","77.94","0.08414921034808557300"
"Amistad Midsummer","G","10.99","7","76.93","0.08305874713982837000"
"Armageddon Lost","G","10.99","7","76.93","0.08305874713982837000"
"Coma Head","NC-17","10.99","7","76.93","0.08305874713982837000"
"Contact Anonymous","PG-13","10.99","7","76.93","0.08305874713982837000"
"Intrigue Worst","G","10.99","7","76.93","0.08305874713982837000"
"Videotape Arsenic","NC-17","10.99","7","76.93","0.08305874713982837000"
"Witches Panic","NC-17","10.99","7","76.93","0.08305874713982837000"
"Wrong Behavior","PG-13","10.99","7","76.93","0.08305874713982837000"
"Adaptation Holes","NC-17","18.99","4","75.96","0.08201147059328432300"
"Citizen Shrek","G","18.99","4","75.96","0.08201147059328432300"
"Cyclone Family","PG","18.99","4","75.96","0.08201147059328432300"
"Hanging Deep","G","18.99","4","75.96","0.08201147059328432300"
"Raging Airplane","R","18.99","4","75.96","0.08201147059328432300"
"Saturn Name","R","18.99","4","75.96","0.08201147059328432300"
"Smoochy Control","R","18.99","4","75.96","0.08201147059328432300"
"Wasteland Divine","PG","18.99","4","75.96","0.08201147059328432300"
"Chitty Lock","G","24.99","3","74.97","0.08094260071588369800"
"Crazy Home","PG","24.99","3","74.97","0.08094260071588369800"
"Elephant Trojan","PG-13","24.99","3","74.97","0.08094260071588369800"
"Hunting Musketeers","NC-17","24.99","3","74.97","0.08094260071588369800"
"Kramer Chocolate","R","24.99","3","74.97","0.08094260071588369800"
"Natural Stock","PG-13","24.99","3","74.97","0.08094260071588369800"
"Darn Forrester","G","14.99","5","74.95","0.08092100738502712000"
"Graduate Lord","G","14.99","5","74.95","0.08092100738502712000"
"Mourning Purple","PG","14.99","5","74.95","0.08092100738502712000"
"Varsity Trip","NC-17","14.99","5","74.95","0.08092100738502712000"
"Amelie Hellfighters","R","23.99","3","71.97","0.07770360108739695500"
"Birdcage Casper","NC-17","23.99","3","71.97","0.07770360108739695500"
"Frisco Forrest","PG","23.99","3","71.97","0.07770360108739695500"
"Santa Paris","PG","23.99","3","71.97","0.07770360108739695500"
"Born Spinal","PG","17.99","4","71.96","0.07769280442196866600"
"Caddyshack Jedi","NC-17","17.99","4","71.96","0.07769280442196866600"
"Craft Outfield","NC-17","17.99","4","71.96","0.07769280442196866600"
"Games Bowfinger","PG-13","17.99","4","71.96","0.07769280442196866600"
"Past Suicides","PG-13","17.99","4","71.96","0.07769280442196866600"
"Pilot Hoosiers","PG","17.99","4","71.96","0.07769280442196866600"
"Rings Heartbreakers","G","17.99","4","71.96","0.07769280442196866600"
"Sorority Queen","NC-17","17.99","4","71.96","0.07769280442196866600"
"Town Ark","R","17.99","4","71.96","0.07769280442196866600"
"Tycoon Gathering","G","17.99","4","71.96","0.07769280442196866600"
"Vertigo Northwest","R","17.99","4","71.96","0.07769280442196866600"
"Wrath Mile","NC-17","17.99","4","71.96","0.07769280442196866600"
"Boulevard Mob","R","11.99","6","71.94","0.07767121109111208800"
"Fidelity Devil","G","11.99","6","71.94","0.07767121109111208800"
"Hyde Doctor","G","11.99","6","71.94","0.07767121109111208800"
"Murder Antitrust","PG","11.99","6","71.94","0.07767121109111208800"
"Name Detective","PG-13","11.99","6","71.94","0.07767121109111208800"
"Scarface Bang","PG-13","11.99","6","71.94","0.07767121109111208800"
"Sons Interview","NC-17","11.99","6","71.94","0.07767121109111208800"
"Yentl Idaho","R","11.99","6","71.94","0.07767121109111208800"
"Doom Dancing","R","13.99","5","69.95","0.07552267467088254900"
"Eyes Driving","PG-13","13.99","5","69.95","0.07552267467088254900"
"Groove Fiction","NC-17","13.99","5","69.95","0.07552267467088254900"
"Heartbreakers Bright","G","9.99","7","69.93","0.07550108134002597000"
"Jason Trap","NC-17","9.99","7","69.93","0.07550108134002597000"
"Star Operation","PG","9.99","7","69.93","0.07550108134002597000"
"Stepmom Dream","NC-17","9.99","7","69.93","0.07550108134002597000"
"Sun Confessions","R","9.99","7","69.93","0.07550108134002597000"
"Talented Homicide","PG","9.99","7","69.93","0.07550108134002597000"
"African Egg","G","22.99","3","68.97","0.07446460145891021300"
"Beast Hunchback","R","22.99","3","68.97","0.07446460145891021300"
"Maguire Apache","NC-17","22.99","3","68.97","0.07446460145891021300"
"Montezuma Command","NC-17","22.99","3","68.97","0.07446460145891021300"
"Speakeasy Date","PG-13","22.99","3","68.97","0.07446460145891021300"
"Beach Heartbreakers","G","16.99","4","67.96","0.07337413825065300900"
"Freaky Pocus","R","16.99","4","67.96","0.07337413825065300900"
"Motions Details","PG","16.99","4","67.96","0.07337413825065300900"
"Splash Gump","PG","16.99","4","67.96","0.07337413825065300900"
"Steers Armageddon","PG","16.99","4","67.96","0.07337413825065300900"
"Uprising Uptown","NC-17","16.99","4","67.96","0.07337413825065300900"
"Breaking Home","PG-13","21.99","3","65.97","0.07122560183042347000"
"Champion Flatliners","PG","21.99","3","65.97","0.07122560183042347000"
"Lost Bird","PG-13","21.99","3","65.97","0.07122560183042347000"
"Opus Ice","R","21.99","3","65.97","0.07122560183042347000"
"Alien Center","NC-17","10.99","6","65.94","0.07119321183413860300"
"Balloon Homeward","NC-17","10.99","6","65.94","0.07119321183413860300"
"Blade Polish","PG-13","10.99","6","65.94","0.07119321183413860300"
"Candidate Perdition","R","10.99","6","65.94","0.07119321183413860300"
"Gaslight Crusade","PG","10.99","6","65.94","0.07119321183413860300"
"Highball Potter","R","10.99","6","65.94","0.07119321183413860300"
"Secretary Rouge","PG","10.99","6","65.94","0.07119321183413860300"
"Club Graffiti","PG-13","12.99","5","64.95","0.07012434195673797800"
"Easy Gladiator","G","12.99","5","64.95","0.07012434195673797800"
"Holocaust Highball","R","12.99","5","64.95","0.07012434195673797800"
"Igby Maker","NC-17","12.99","5","64.95","0.07012434195673797800"
"Jedi Beneath","PG","12.99","5","64.95","0.07012434195673797800"
"Outbreak Divine","NC-17","12.99","5","64.95","0.07012434195673797800"
"Patriot Roman","PG","12.99","5","64.95","0.07012434195673797800"
"Resurrection Silverado","PG","12.99","5","64.95","0.07012434195673797800"
"Sierra Divide","NC-17","12.99","5","64.95","0.07012434195673797800"
"Sleepless Monsoon","G","12.99","5","64.95","0.07012434195673797800"
"Spinal Rocky","PG-13","12.99","5","64.95","0.07012434195673797800"
"Watch Tracy","PG","12.99","5","64.95","0.07012434195673797800"
"Wizard Coldblooded","PG","12.99","5","64.95","0.07012434195673797800"
"Airport Pollock","R","15.99","4","63.96","0.06905547207933735300"
"Illusion Amelie","R","15.99","4","63.96","0.06905547207933735300"
"Majestic Floats","PG","15.99","4","63.96","0.06905547207933735300"
"Ship Wonderland","R","15.99","4","63.96","0.06905547207933735300"
"Connecticut Tramp","R","20.99","3","62.97","0.06798660220193672700"
"Drop Waterfront","R","20.99","3","62.97","0.06798660220193672700"
"Fiddler Lost","R","20.99","3","62.97","0.06798660220193672700"
"Guys Falcon","R","20.99","3","62.97","0.06798660220193672700"
"Mod Secretary","NC-17","20.99","3","62.97","0.06798660220193672700"
"Monsoon Cause","PG","20.99","3","62.97","0.06798660220193672700"
"Spirited Casualties","PG-13","20.99","3","62.97","0.06798660220193672700"
"Vanilla Day","NC-17","20.99","3","62.97","0.06798660220193672700"
"Ballroom Mockingbird","G","29.99","2","59.98","0.06475839923887827400"
"Cruelty Unforgiven","G","29.99","2","59.98","0.06475839923887827400"
"Desperate Trainspotting","G","29.99","2","59.98","0.06475839923887827400"
"Doctor Grail","G","29.99","2","59.98","0.06475839923887827400"
"Extraordinary Conquerer","G","29.99","2","59.98","0.06475839923887827400"
"Japanese Run","G","29.99","2","59.98","0.06475839923887827400"
"Destination Jerk","PG-13","19.99","3","59.97","0.06474760257344998500"
"Grosse Wonderful","R","19.99","3","59.97","0.06474760257344998500"
"Loverboy Attacks","PG-13","19.99","3","59.97","0.06474760257344998500"
"Notting Speakeasy","PG-13","19.99","3","59.97","0.06474760257344998500"
"Stage World","PG","19.99","3","59.97","0.06474760257344998500"
"Stone Fire","G","19.99","3","59.97","0.06474760257344998500"
"Victory Academy","PG-13","19.99","3","59.97","0.06474760257344998500"
"Werewolf Lola","G","19.99","3","59.97","0.06474760257344998500"
"Chamber Italian","NC-17","14.99","4","59.96","0.06473680590802169600"
"Conquerer Nuts","G","14.99","4","59.96","0.06473680590802169600"
"Greedy Roots","R","14.99","4","59.96","0.06473680590802169600"
"Odds Boogie","NC-17","14.99","4","59.96","0.06473680590802169600"
"Pajama Jawbreaker","R","14.99","4","59.96","0.06473680590802169600"
"Shrunk Divine","R","14.99","4","59.96","0.06473680590802169600"
"Slipper Fidelity","PG-13","14.99","4","59.96","0.06473680590802169600"
"Virtual Spoilers","NC-17","14.99","4","59.96","0.06473680590802169600"
"Chicago North","PG-13","11.99","5","59.95","0.06472600924259340700"
"Driver Annie","PG-13","11.99","5","59.95","0.06472600924259340700"
"Egypt Tenenbaums","PG","11.99","5","59.95","0.06472600924259340700"
"Flintstones Happiness","PG-13","11.99","5","59.95","0.06472600924259340700"
"Greek Everyone","PG","11.99","5","59.95","0.06472600924259340700"
"Novocaine Flight","G","11.99","5","59.95","0.06472600924259340700"
"Secret Groundhog","PG","11.99","5","59.95","0.06472600924259340700"
"Cider Desire","PG","9.99","6","59.94","0.06471521257716511700"
"Encino Elf","G","9.99","6","59.94","0.06471521257716511700"
"Fellowship Autumn","NC-17","9.99","6","59.94","0.06471521257716511700"
"Maiden Home","PG","9.99","6","59.94","0.06471521257716511700"
"Trojan Tomorrow","PG","9.99","6","59.94","0.06471521257716511700"
"Truman Crazy","G","9.99","6","59.94","0.06471521257716511700"
"Wait Cider","PG-13","9.99","6","59.94","0.06471521257716511700"
"Hotel Happiness","PG-13","28.99","2","57.98","0.06259906615322044600"
"Lesson Cleopatra","NC-17","28.99","2","57.98","0.06259906615322044600"
"License Weekend","NC-17","28.99","2","57.98","0.06259906615322044600"
"Sunset Racer","NC-17","28.99","2","57.98","0.06259906615322044600"
"Watership Frontier","G","28.99","2","57.98","0.06259906615322044600"
"Kane Exorcist","R","18.99","3","56.97","0.06150860294496324200"
"Lambs Cincinatti","PG-13","18.99","3","56.97","0.06150860294496324200"
"Legend Jedi","PG","18.99","3","56.97","0.06150860294496324200"
"Won Dares","PG","18.99","3","56.97","0.06150860294496324200"
"Anything Savannah","R","27.99","2","55.98","0.06043973306756261700"
"Clue Grail","NC-17","27.99","2","55.98","0.06043973306756261700"
"Conspiracy Spirit","PG-13","27.99","2","55.98","0.06043973306756261700"
"Crusade Honey","R","27.99","2","55.98","0.06043973306756261700"
"Early Home","NC-17","27.99","2","55.98","0.06043973306756261700"
"Magnificent Chitty","R","27.99","2","55.98","0.06043973306756261700"
"Soldiers Evolution","R","27.99","2","55.98","0.06043973306756261700"
"Boiled Dares","PG","13.99","4","55.96","0.06041813973670603900"
"Circus Youth","PG-13","13.99","4","55.96","0.06041813973670603900"
"Daughter Madigan","PG-13","13.99","4","55.96","0.06041813973670603900"
"Ferris Mother","PG","13.99","4","55.96","0.06041813973670603900"
"Gilbert Pelican","G","13.99","4","55.96","0.06041813973670603900"
"Monterey Labyrinth","G","13.99","4","55.96","0.06041813973670603900"
"State Wasteland","NC-17","13.99","4","55.96","0.06041813973670603900"
"Temple Attraction","PG","13.99","4","55.96","0.06041813973670603900"
"Words Hunter","PG","13.99","4","55.96","0.06041813973670603900"
"Jaws Harry","G","10.99","5","54.95","0.05932767652844883600"
"Kick Savannah","PG-13","10.99","5","54.95","0.05932767652844883600"
"Rouge Squad","NC-17","10.99","5","54.95","0.05932767652844883600"
"Graceland Dynamite","R","26.99","2","53.98","0.05828039998190478900"
"Mixed Doors","PG-13","26.99","2","53.98","0.05828039998190478900"
"Private Drop","PG","26.99","2","53.98","0.05828039998190478900"
"Simon North","NC-17","26.99","2","53.98","0.05828039998190478900"
"Train Bunch","R","26.99","2","53.98","0.05828039998190478900"
"Bugsy Song","G","17.99","3","53.97","0.05826960331647650000"
"Frogmen Breaking","R","17.99","3","53.97","0.05826960331647650000"
"Gosford Donnie","G","17.99","3","53.97","0.05826960331647650000"
"Pittsburgh Hunchback","PG-13","17.99","3","53.97","0.05826960331647650000"
"Wagon Jaws","PG","17.99","3","53.97","0.05826960331647650000"
"Bang Kwai","NC-17","25.99","2","51.98","0.05612106689624696000"
"Connection Microcosmos","G","25.99","2","51.98","0.05612106689624696000"
"Eve Resurrection","G","25.99","2","51.98","0.05612106689624696000"
"Hollow Jeopardy","NC-17","25.99","2","51.98","0.05612106689624696000"
"Newsies Story","G","25.99","2","51.98","0.05612106689624696000"
"Anonymous Human","NC-17","12.99","4","51.96","0.05609947356539038200"
"Devil Desire","R","12.99","4","51.96","0.05609947356539038200"
"Identity Lover","PG-13","12.99","4","51.96","0.05609947356539038200"
"Lonely Elephant","G","12.99","4","51.96","0.05609947356539038200"
"Moonwalker Fool","G","12.99","4","51.96","0.05609947356539038200"
"Noon Papi","G","12.99","4","51.96","0.05609947356539038200"
"Polish Brooklyn","PG","12.99","4","51.96","0.05609947356539038200"
"Spiking Element","G","12.99","4","51.96","0.05609947356539038200"
"Anthem Luke","PG-13","16.99","3","50.97","0.05503060368798975700"
"Caribbean Liberty","NC-17","16.99","3","50.97","0.05503060368798975700"
"Casper Dragonfly","PG-13","16.99","3","50.97","0.05503060368798975700"
"Casualties Encino","G","16.99","3","50.97","0.05503060368798975700"
"Dares Pluto","PG-13","16.99","3","50.97","0.05503060368798975700"
"Doubtfire Labyrinth","R","16.99","3","50.97","0.05503060368798975700"
"Hedwig Alter","NC-17","16.99","3","50.97","0.05503060368798975700"
"Jersey Sassy","PG","16.99","3","50.97","0.05503060368798975700"
"Minority Kiss","G","16.99","3","50.97","0.05503060368798975700"
"Uptown Young","PG","16.99","3","50.97","0.05503060368798975700"
"Desire Alien","NC-17","24.99","2","49.98","0.05396173381058913200"
"Ishtar Rocketeer","R","24.99","2","49.98","0.05396173381058913200"
"Italian African","G","24.99","2","49.98","0.05396173381058913200"
"King Evolution","NC-17","24.99","2","49.98","0.05396173381058913200"
"Rebel Airport","G","24.99","2","49.98","0.05396173381058913200"
"Wild Apollo","R","24.99","2","49.98","0.05396173381058913200"
"Anaconda Confessions","R","9.99","5","49.95","0.05392934381430426400"
"Kissing Dolls","R","9.99","5","49.95","0.05392934381430426400"
"Newton Labyrinth","PG","9.99","5","49.95","0.05392934381430426400"
"Roxanne Rebel","R","9.99","5","49.95","0.05392934381430426400"
"Baby Hall","NC-17","23.99","2","47.98","0.05180240072493130400"
"Bed Highball","NC-17","23.99","2","47.98","0.05180240072493130400"
"Comancheros Enemy","R","23.99","2","47.98","0.05180240072493130400"
"Freedom Cleopatra","PG-13","23.99","2","47.98","0.05180240072493130400"
"Happiness United","G","23.99","2","47.98","0.05180240072493130400"
"Informer Double","NC-17","23.99","2","47.98","0.05180240072493130400"
"Reds Pocus","PG-13","23.99","2","47.98","0.05180240072493130400"
"Sense Greek","R","23.99","2","47.98","0.05180240072493130400"
"Stallion Sundance","PG-13","23.99","2","47.98","0.05180240072493130400"
"Home Pity","R","15.99","3","47.97","0.05179160405950301400"
"Jawbreaker Brooklyn","PG","15.99","3","47.97","0.05179160405950301400"
"Sensibility Rear","PG","15.99","3","47.97","0.05179160405950301400"
"Shrek License","PG-13","15.99","3","47.97","0.05179160405950301400"
"Wars Pluto","G","15.99","3","47.97","0.05179160405950301400"
"Drums Dynamite","PG","11.99","4","47.96","0.05178080739407472500"
"Frida Slipper","R","11.99","4","47.96","0.05178080739407472500"
"Impossible Prejudice","NC-17","11.99","4","47.96","0.05178080739407472500"
"Madison Trap","R","11.99","4","47.96","0.05178080739407472500"
"Memento Zoolander","NC-17","11.99","4","47.96","0.05178080739407472500"
"Model Fish","NC-17","11.99","4","47.96","0.05178080739407472500"
"Party Knock","PG","11.99","4","47.96","0.05178080739407472500"
"Silverado Goldfinger","PG","11.99","4","47.96","0.05178080739407472500"
"Trap Guys","G","11.99","4","47.96","0.05178080739407472500"
"Whale Bikini","PG-13","11.99","4","47.96","0.05178080739407472500"
"Texas Watch","NC-17","22.99","2","45.98","0.04964306763927347500"
"Bird Independence","G","14.99","3","44.97","0.04855260443101627200"
"Drumline Cyclone","G","14.99","3","44.97","0.04855260443101627200"
"Godfather Diary","NC-17","14.99","3","44.97","0.04855260443101627200"
"Snatchers Montezuma","PG-13","14.99","3","44.97","0.04855260443101627200"
"Squad Fish","PG","14.99","3","44.97","0.04855260443101627200"
"Towers Hurricane","NC-17","14.99","3","44.97","0.04855260443101627200"
"Divorce Shining","G","21.99","2","43.98","0.04748373455361564700"
"Hunter Alter","PG-13","21.99","2","43.98","0.04748373455361564700"
"Leathernecks Dwarfs","PG-13","21.99","2","43.98","0.04748373455361564700"
"Lights Deer","R","21.99","2","43.98","0.04748373455361564700"
"Luck Opus","NC-17","21.99","2","43.98","0.04748373455361564700"
"Luke Mummy","NC-17","21.99","2","43.98","0.04748373455361564700"
"School Jacket","PG-13","21.99","2","43.98","0.04748373455361564700"
"Artist Coldblooded","NC-17","10.99","4","43.96","0.04746214122275906800"
"Evolution Alter","PG-13","10.99","4","43.96","0.04746214122275906800"
"Holiday Games","PG-13","10.99","4","43.96","0.04746214122275906800"
