id,name,type,city,subcountry,country
907,birla institute of management technology,acad,greater noida,,india
908,biscay,subgov,bilbao,,spain
909,biwater,priv,dorking,,united kingdom
910,bkt water & energy,priv,anaheim,,united states
911,black sea commission,intergov,istanbul,,turkey
912,black sea ngo network,ngo,varna,,bulgaria
913,black sea regional energy centre,intergov,sofia,,bulgaria
914,black sea women's club,ngo,odessa,,ukraine
915,blacksmith institute,ngo,new york city,,united states
916,blackwell publishing,priv,oxford,,united kingdom
917,blaise pascal university,acad,clermont-ferrand,,france
918,blida university,acad,bilda,,algeria
919,bloom,ngo,bloom,,france
920,bloomberg,priv,new york city,,united states
921,blue action fund,ngo,frankfurt,,germany
922,blue almanac foundation,ngo,panama city,,panama
923,blue apron,priv,new york,,united states
924,blue carbon initiative,ngo,arlington (va),,united states
925,blue community consortium whale center,ngo,gloucester,,united states
926,blue divers in,priv,punta cana,,dominican republic
927,blue flag association for europe,ngo,lisbon,,portugal
928,blue green foundation bangladesh,ngo,chittagong,,bangladesh
929,blue guardians,ngo,new york,,united states
930,blue marine foundation,ngo,london,,united kingdom
931,blue moon fund,ngo,charlottsville,,united states
932,blue network,ngo,st. george's,,grenada
933,blue ocean foundation,ngo,lisbon,,portugal
934,blue ocean gear,priv,redwood,,united stats
935,blue planet foundation,ngo,honolulu,,united states
936,blue sky energy corp.,priv,winnipeg,,canada
937,blue solutions initiative,natgov,eschborn,,germany
938,blue sphere foundation,ngo,new york,,united states
939,blue ventures,ngo,london,,united kingdom
940,blue vision adventure,priv,punta cana,,dominican republic
941,blue world foundation,ngo,guatemala city,,guatemala
942,blue-climate-solutions,ngo,washington dc,,united states
943,blue-mind-life,ngo,davenport,,united states
944,blue-ocean-institute,acad,stony brook,,united states
945,bluesign®,priv,gallen,,switzerland
946,blumar,priv,santiago,,chile
947,blyth star enterprises ltd,ngo,blyth,,united kingdom
948,bmj publishing group,priv,london,,united kingdom
949,bmt wbm pty ltd,priv,brisbane,,australia
950,bny abalone world factory outlet pty. ltd.,priv,arundel,,australia
951,board of education of hachinohe city,subgov,hachinohe,,japan
952,bocconi university,acad,milan,,italy
953,body shop,priv,croydon,,united kingdom
954,boeing,priv,chicago,,united states
955,bogazici university,acad,istanbul,,turkey
956,bogor,subgov,bogor,,indonesia
957,bogor agricultural university,acad,bogor,,indonesia
958,bogota chamber of commerce,ngo,bogota,,colombia
959,bold desio association,ngo,rome,,italy
960,bolivarian pontifical university,acad,medellin,,colombia
961,bolivia,natgov,la paz,,bolivia
962,bolivia exports foundation,ngo,la paz,,bolivia
963,bombardier,priv,montreal,,canada
964,bon appetit management company,priv,palo alto,,united states
965,bond safari kovalam,ngo,venganoor,,india
966,bonn,subgov,bonn,,germany
967,bonobo conservation initiative,ngo,washington dc,,united states
968,bookbox,priv,pondicherry,,india
969,books for africa,ngo,st. paul,,united states
970,"boom - boom, support, training, realization",ngo,marcq en baroeu,,france
971,bop hub,priv,singapore,,singapore
972,borda,ngo,bremen,,germany
973,borealis group,priv,vienna,,austria
974,born free foundation,ngo,horsham,,united kingdom
975,borneo dive network,priv,miri,,malaysia
976,borouge,priv,abu dhabi,,united arab emirates
977,bosch,priv,stuttgart,,germany
978,bose research & development inc,priv,washington dc,,united states
979,boskalis company,priv,papendrecht,,netherlands
980,bosnia and herzegovina,natgov,sarajevo,,bosnia and herzegovina
981,boston university,acad,boston,,united states
982,botanical society of america,ngo,saint louis,,united states
983,botanical society of china,ngo,beijing,,china
984,botanical society of japan,ngo,tokyo,,japan
985,boticario group foundation,ngo,sao jose de pinhais,,brazil
986,botswana,natgov,gaborone,,botswana
987,bougainville,subgov,buka,,papua new guinea
988,bounded labour liberation front,ngo,lahore,,pakistan
989,bournemouth and west hampshire,priv,bournemouth and west hampshire,,United Kingdom
990,boy scouts association of thailand,ngo,bangkok,,thailand
991,boys training centre,ngo,gros islet,,saint lucia
992,brac,ngo,dhaka,,bangladesh
993,brach family charitable foundation,ngo,pasadena,,united states
994,brahma kumaris world spiritual university,ngo,mount abu,,india
995,brasilconnects,ngo,new york city,,united states
996,braskem,priv,sao paulo,,brazil
997,brawijaya university,acad,malang,,indonesia
998,brazil,natgov,brasilia,,brazil
999,brazilian agribusiness association,ngo,sao paulo,,brazil
1000,brazilian agricultural research corporation,sci,brasilia,,brazil
1001,brazilian association of adventure tourism companies,ngo,sao paulo,,brazil
1002,brazilian association of industrial biotechnology,ngo,sao paulo,,brazil
1003,brazilian association of sanitary and environmental engineering,ngo,rio de janeiro,,brazil
1004,brazilian association of state environmental entities,ngo,brasilia,,brazil
1005,brazilian association of sustainability professionals,ngo,sao paulo,,brazil
1006,brazilian association of water and energy,ngo,belo horizonte,,brazil
1007,brazilian fund for biodiversity funbio,ngo,rio de janeiro,,brazil
1008,brazilian future ocean panel,ngo,brasilia,,brazil
1009,brazilian institute of municipal administration,ngo,rio de janeiro,,brazil
1010,brazilian institute of the environment and natural renewables,sci,brasilia,,brazil
1011,brazilian network of the global pact,ngo,sao paulo,,brazil
1012,brazilian portland cement association,ngo,sao paulo,,brazil
1013,brazilian service of support to micro and small enterprises,ngo,brasilia,,brazil
1014,"brazilian social network for fair, democratic and sustainable cities",ngo,recife,,brazil
1015,bread for the world,ngo,washington dc,,united states
1016,bream bay coastal care trust,ngo,whangarei,,new zealand
1017,brehm center,acad,pasadena,,united states
1018,brest metropole,subgov,brest,,france
1019,brics alliance,ngo,moscow,,russia
1020,bridge tank,priv,pretoria,,south africa
1021,bridgend college,acad,bridgend,,united kingdom
1022,bridges to prosperity,ngo,denver,,united states
1023,bridgestone corporation,priv,toyko,,japan
1024,brigada do mar,ngo,setubal,,portugal
1025,bright agrotech,priv,laramie,,united states
1026,bright green energy foundation,ngo,dhaka,,bangladesh
1027,bright india trust,ngo,rajendra nagar orai,,india
1028,brighton,subgov,brighton,,united kingdom
1029,brigitte bardot foundation,ngo,paris,,france
1030,"brisa auto-estradas de portugal, s.a",priv,sao domingos de rana,,portugal
1031,bristol meyers squibb,priv,new york city,,united states
1032,bristol water,priv,bristol,,united kingdom
1033,bristol zoo gardens,sci,bristol,,united kingdom
1034,britannia airways,priv,london,,united kingdom
1035,british academy,ngo,london,,united kingdom
1036,british airways,priv,harmondsworth,,united kingdom
1037,british columbia,subgov,victoria,,canada
1038,british columbia institute of technology,acad,burnaby,,canada
1039,british council,priv,london,,united kingdom
1040,british divers marine life rescue,ngo,uckfield,,united states
1041,british ecological society,ngo,london,,united kingdom
1042,british geomorphological research group,ngo,london,,united kingdom
1043,british grassland society,ngo,Nantwich,,united kingdom
1044,british indian ocean territory administration,subgov,camp justice,,united kingdom
1045,british ornithologists' union,ngo,peterborough,,united kingdom
1046,british petroleum,priv,london,,united kingdom
1047,british phycological society,ngo,london,,united kingdom
1048,british society for plant pathology,ngo,london,,united kingdom
1049,british society of soil science,ngo,cranfield,,united kingdom
1050,british virgin islands,subgov,road town,,united kingdom
1051,british water,ngo,london,,united kingdom
1052,brittany,subgov,rennes,,france
1053,broad initiatives for negros development,ngo,bacolod city,,philippines
1054,brookfield institute of innovation,ngo,toronto,,canada
1055,brookhaven college,acad,farmers branch,,united states
1056,brookings institution,sci,washington dc,,united states
1057,brothers of men,ngo,paris,,france
1058,brown university,acad,providence,,united states
1059,"brown, vence and associates, inc.",priv,roseville,,united states
1060,brown-forman,priv,louisville,,united states
1061,brunei,natgov,bandar seri begawan,,brunei
1062,bucuti resort aruba,priv,oranjestad,,aruba
1063,budapest,subgov,budapest,,hungary
1064,budongo forest project,ngo,masindi,,uganda
1065,budva,subgov,budva,,montenegro
1066,buenos aires,subgov,buenos aires,,argentina
1067,buenos aires university,acad,buenos aires,,argentina
1068,buffalo city local municipality,subgov,east london,,south africa
1069,bugobe,subgov,bugobe,,congo
1070,building africa one man at a time,ngo,yallal-ba village,,gambia
1071,building partnership for development,ngo,london,,united kingdom
1072,bukoba,subgov,bukoba,,tanzania
1073,buksh foundation,ngo,lahore,,pakistan
1074,bulgaria,natgov,sofia,,bulgaria
1075,bulgarian association for development of mountain regions,ngo,razlog,,bulgaria
1076,bulgarian national committee on illumination,ngo,sofia,,bulgaria
1077,bundesgymnasium vienna,acad,vienna,,austria
1078,bunkyo university,acad,koshigaya,,japan
1079,bunyad,ngo,lahore,,pakistan
1080,burapha university,acad,Saen Suk,,Thailand
1081,bureau veritas,priv,neuilly-sur-seine,,france
1082,bureo,priv,ventura,,united states
1083,burgas,subgov,burgas,,bulgaria
1084,burkina faso,natgov,ouagadougou,,burkina faso
1085,buro happold engineering,priv,bath,,united kingdom
1086,bursa uludag university,acad,bursa,,turkey
1087,burundi,natgov,bujumbura,,burundi
1088,burundi rugby league cooperative,ngo,bujumbura,,burundi
1089,burundi rugby league-rugby a xiii,ngo,bujumbura,,burundi
1090,"burundian association for rural development ""facing malnutrition and poverty""",ngo,bujumbura,,burundi
1091,burundian association for the protection of nature,ngo,bujumbura,,burundi
1092,bus association victoria,ngo,melbourne,,australia
1093,busan city,subgov,seoul,,south korea
1094,bushmeat crisis task force,ngo,new york city,,united states
1095,bushwira,subgov,bushwira,,congo
1096,business council for sustainable development australia,ngo,sydney,,australia
1097,business council for sustainable development ecuador,ngo,guayaquil,,ecuador
1098,business council for sustainable energy,ngo,washington dc,,united states
1099,business council for the sustainable development of ecuador,ngo,guayaquil,,ecuador
1100,business machines tanzania limited,priv,dar es salaam,,tanzania
1101,business school lausanne,acad,chavannes-pres-renes,,switzerland
1102,business school sao paulo,acad,sao paulo,,brazil
1103,bye bye plastic bags,ngo,bali,,indonesia
1104,byoearth,priv,guatemala city,,guatemala
1106,ca' foscari university of venice,acad,venice,,italy
1807,côte d'ivoire,natgov,abidjan,,cote d'ivoire
1105,cukurova university,acad,adana,,turkey
1107,cab international,ngo,wallingford,,united kingdom
1108,cabeca tarafes,subgov,cabeca tarafes,,cape verde
1109,cabi international,ngo,wallingford,,united kingdom
1110,cabinet espere,priv,vendome,,france
1111,cabo de hornos,subgov,cabo de hornos,,chile
1112,cafedirect producers' foundation,ngo,london,,united kingdom
1113,cairns regional council,subgov,cairns,,australia
1114,cairo university,acad,giza,,egypt
1115,calao luxembourg asbl,ngo,luxembourg,,luxembourg
1116,caldas,subgov,manizales,,colombia
1117,caldas coffee growers association,ngo,manizales,,colombia
1118,caledonia languages abroad,priv,edinburgh,,united kingdom
1119,caledonian association of biological certification,ngo,noumea,,new caledonia
1120,california,subgov,sacremento,california,united states
1121,california lost fishing gear recovery project,ngo,davis,,united states
1122,california ocean science trust,ngo,oakland,,united states
1123,california preparatory college,acad,redlands,,united states
1124,"california state university, monterey bay",acad,seaside,,united states
1125,callao,subgov,callao,,peru
1126,calouste gulbenkian foundation,ngo,lisbon,,portugal
1127,calvert investments,priv,washington dc,,united states
1128,"calysta, inc.",priv,menlo park (ca),,united states
1129,camapun,priv,puntarenas,,costa rica
1130,cambodia,natgov,phnom penh,,cambodia
1131,cambodian center for study and development in agriculture,ngo,phnom penh,,cambodia
1132,cambridge international systems,priv,arlington (va),,united states
1133,cambridge scientific abstracts,priv,bethesda,,united states
1134,cambridge university,acad,cambridge,,united kingdom
1135,cambridge university press,priv,cambridge,,united kingdom
1136,cameroon,natgov,yaounde,,cameroon
1137,cameroon associations for the defence of victims of accident,ngo,douala,,cameroon
1138,cameroon catalyst,ngo,southampton,,united kingdom
1139,cameroon friends club,ngo,douala,,cameroon
1140,cameroon national network of associations and ngos of the mountain partnership,ngo,yaoundé,,cameroon
1141,camira,priv,mirfield,,united kingdom
1142,camp alatoo,ngo,bishkek,,kyrgystan
1143,camp kuhiston,ngo,dushanbe,,tajikistan
1144,campaign2015plus,ngo,ibadan,,nigeria
1145,campam,ngo,marathon,,united states
1146,campbell foundation,ngo,annapolis,,united states
1147,campinas state university,acad,campinas,,brazil
1148,campus brasil,priv,sao paulo,,brazil
1149,campus euro-latino-americain de sciences po,acad,paris,,france
1150,can tho university,acad,can tho,,vietnam
1151,canada,natgov,ottawa,,canada
1152,canadian association for renewable energies,ngo,ottawa,,canada
1153,canadian council of ecological areas,ngo,whitehorse,,canada
1154,canadian foodgrains bank,ngo,winnipeg,,canada
1155,canadian independent fish harvester’s federation,ngo,grand manan,,canada
1156,canadian network for ocean education,ngo,burnaby,,canada
1157,canadian parks and wilderness society,ngo,ottawa,,canada
1158,canadian science policy centre,ngo,richmond hill,,canada
1159,canadian undergraduate family medicine directors,ngo,calgary,,canada
1160,canadian university services overseas,ngo,ottawa,,canada
1161,canara bank,priv,bengaluru,,india
1162,cancer africa,ngo,new york,,united states
1163,cancer society of the bahamas,ngo,nassau,,bahamas
1164,canmet energy technology centre,sci,devon,,canada
1165,cansangaya fisherfolk association,ngo,cansangaya,,philippines
1166,canterbury business association,ngo,christchurch,,new zealand
1167,canterbury christ church university,acad,canterbury,,united kingdom
1168,caopa,ngo,m'bour,,senegal
1169,caostica,priv,bilbao,,spain
1170,cap plc- dulux,priv,ikeja,,nigeria
1171,capacities for biodiversity and sustainable development at the royal belgian institute of natural sciences,acad,brussels,,belgium
1172,cape town,subgov,cape town,,south africa
1173,cape verde,natgov,praia,,cape verde
1174,cape verde investment,priv,praia,,cape verde
1175,cape verdean ecotourism association,ngo,praia,,cape verde
1176,cape-verdean zoological society,sci,sao vicente,,cape verde
1177,capmarine,priv,cape town,,south africa
1178,caprez ingenieure,priv,zuirch,,switzerland
1179,capricorn sustainable chemistry fund,priv,leuven,,belgium
1180,carbon clear,priv,london,,united kingdom
1181,carbon international,priv,scunthorpe,,united kingdom
1182,carbon war room,ngo,london,,united kingdom
1183,carbonsense,ngo,teignmouth,,united kingdom
1184,cardiff metropolitan university,priv,cardiff,,united kingdom
1185,cardiff university,acad,cardiff,,united kingdom
1186,cardno entrix,priv,fortitude valley,,australia
1187,care,ngo,geneva,,switzerland
1188,care for the wild,ngo,sonpark,,south africa
1189,care international,ngo,geneva,,switzerland
1190,career development oppurtunity and training,ngo,madurai,,india
1191,carefree travel group,priv,redhill,,united kingdom
1192,cargill,priv,wayzata,,united states
1193,caribbean agricultural research and development institute,sci,st. augustine,,trinidad and tobago
1194,caribbean association for feminist research and action,ngo,castries,,saint lucia
1195,caribbean association of national training agencies,intergov,kingston,,jamaica
1196,caribbean catastrophe risk insurance facility,priv,grand cayman,,cayman islands
1197,caribbean center for renewable energy and energy efficiency,intergov,bridgetown,,barbados
1198,caribbean challenge initiative,ngo,nassau,,bahamas
1199,caribbean climate change centre,intergov,belmopan,,belize
1200,caribbean coastal area management foundation,ngo,lionel town,,jamaica
1201,caribbean community,intergov,georgetown,,guyana
1202,caribbean community climate change center,intergov,belmopan,,belize
1203,caribbean conservation association,ngo,st. michael,,barbados
1204,caribbean development bank,intergov,st. michael,,barbados
1205,caribbean disaster emergency management agency,intergov,st. michael,,barbados
1206,caribbean electric utility services corporation,ngo,castries,,saint lucia
1207,caribbean examinations council,intergov,bridgetown,,barbados
1208,caribbean institute for meteorology and hydrology,intergov,bridgetown,,barbados
1209,caribbean led lighting,priv,st. michael,,barbados
1210,caribbean meteorological organization,intergov,port of spain,,trinidad and tobago
1211,caribbean natural resources institute,ngo,port of spain,,trinidad and tobago
1212,caribbean network for integrated rural development,ngo,tunapuna,,trinidad and tobago
1213,caribbean network of fisherfolk organisations,ngo,st. augustine,,trinidad and tobago
1214,caribbean policy development centre,ngo,st. michael,,barbados
1215,caribbean regional fisheries mechanism,intergov,belize city,,belize
1216,caribbean regional technical assistance,intergov,bridgetown,,barbados
1217,caribbean research and management of biodiversity foundation,ngo,willemstad,,cuaracao
1218,caribbean science foundation,ngo,bridgetown,,barbados
1219,caribbean tourism organization,intergov,st. michael,,barbados
1220,caribbean tsunami information center,intergov,bridgetown,,barbados
1221,caricom regional organisation for standards and quality,intergov,st. michael,,barbaos
1222,caring & living as neighbours,ngo,toronto,,australia
1223,caring heart foundation,ngo,auburn,,united states
1224,caritas internationalis,ngo,vatican city,,italy
1225,carlos sanz foundation,ngo,zaragoza,,spain
1226,carlsberg group,priv,copenhagen,,denmark
1227,carmelite ngo,ngo,london,,united kingdom
1228,carmina campus,priv,rome,,italy
1229,carnegie endowment for international peace,ngo,washington dc,,united states
1230,"carpathian agency for human rights ""vested""",ngo,uzhgorod,,ukraine
1231,carrasqueira fishermen association,ngo,carrasqueira,,portugal
1232,carribean community,intergov,georgetown,,guyana
1233,carsucre,priv,sucre,,colombia
1234,carter center,ngo,atlanta,,united states
1235,carthagina,ngo,tunis,,tunisia
1236,casa grand university,acad,guayaquil,,ecuador
1237,cascade medical and stove teams,ngo,eugene,,united states
1238,cascais,subgov,cascais,,portugal
1239,case western reserve university,acad,cleveland,,united states
1240,castle foundation,ngo,kailua,,united states
1241,castle seafood co. ltd.,priv,tuen men,,china
1242,catalan architects' association,acad,barcelona,,spain
1243,catalan association of air conditioning and refrigeration technicians,ngo,barcelona,,spain
1244,catalan association of public universities,acad,barcelona,,spain
1245,catalan network of education for sustainability research,ngo,barcelona,,spain
1246,catalonia,subgov,barcelona,,spain
1247,catepillar,priv,deerfield,,united states
1248,cathalac,ngo,panama,,panama
1249,cathay pacific airways ltd,priv,hong kong,,china
1250,catholic agency for overseas development,ngo,london,,united kingdom
1251,catholic bishop's conference of the philippines,ngo,manila,,philippines
1252,catholic institute of arts and crafts,acad,lieusaint,,france
1253,catholic medical mission board,ngo,new york city,,united states
1254,catholic relief services,ngo,baltimore,,united states
1255,"catholic university of bolivia ""san pablo"" - cochabamba",acad,cochabamba,,bolivia
1256,catholic university of lille,acad,lille,,france
1257,catholic university of louvain,acad,louvain-la-neuve,,belgium
1258,catholic university of peru,acad,lima,,peru
1259,catholic university of portugal,acad,lisbon,,portugal
1260,catholic women's league,ngo,suva,,fiji
1261,catie,ngo,panama city,,panama
1262,cauca,subgov,cali,,colombia
1263,"cavat ""nicole paredes"" road safety",ngo,quito,,ecuador
1264,cawthron,sci,nelson,,new zealand
1265,cayman islands,subgov,georgetown,,united kingdom
1266,cbm,ngo,bensheim,,germany
1267,cbs interactive,priv,new york city,,united states
1268,cca bank,priv,yaounde,,cameroon
1269,cchange,ngo,oslo,,norway
1270,cclp worldwide,ngo,fort worth,,united states
1271,cctv+,priv,beijing,,china
1272,cdp (formerly the carbon disclosure project),ngo,london,,united kingdom
1273,cdx gas llc,priv,houston,,united states
1274,ceará,subgov,fortaleza,,brazil
1275,cebse,ngo,samana,,dominican republic
1276,cebu pacific air,priv,pasay,,phillipines
1277,ce-cap,priv,london,,united kingdom
1278,cedars for care association,ngo,beirut,,lebanon
1279,cedepesca,ngo,buenos aires,,argentina
1280,CEDESOL Foundation,ngo,cochabamba,,bolivia
1281,cemaco,priv,guatemala city,,guatemala
1282,cembureau,ngo,brussels,,belgium
1283,cement industry federation,ngo,forest,,australia
1284,cementos argos s.a,priv,medelliin,,colombia
1285,cemex,priv,san pedro garza garcía,,mexico
1286,cemex-tec de monterrey center for sustainable development,ngo,monterrey,,mexico
1287,cenesta,ngo,tehran,,iran
1288,centa,priv,andalucia,,spain
1289,centa for organizational development,ngo,abuja,,nigeria
1290,center at the service of popular action,ngo,caracas,,venezuela
1291,center da sandà engiadina bassa,priv,scuol,,switzerland
1292,center for africa leadership strategy & development,ngo,abuja,,nigeria
1293,center for agrarian reform and rural development,ngo,quezon city,,philippines
1294,center for agricultural and bioscience international,ngo,wallingford,,united kingdom
1295,center for alpine ecology,ngo,trento,,italy
1296,center for alternative technology,ngo,pantperthog,,united kingdom
1297,center for appropriate technological development,ngo,laveno mombello,,italy
1298,center for appropriate technology,ngo,bamenda,,cameroon
1299,center for cetacean research and conservation,sci,rarotonga,,cook islands
1300,center for character and leadership development,ngo,abuja,,nigeria
1301,center for clean air policy,ngo,washington dc,,united states
1302,center for climate change and disaster reduction,ngo,dushanbe,,tajikistan
1303,center for climate change and environmental studies,ngo,abuja,,nigeria
1304,center for coastal studies,sci,provincetown,,united states
1305,center for community development,ngo,lilongwe,,malawi
1306,center for community development and education,ngo,banda aceh,,indonesia
1307,center for community economics and development consultants society,ngo,jaipur,,india
1308,center for conservation and ecodevelopment of the bay of samana and its surroundings,ngo,santo domingo,,dominican republic
1309,center for corporate social responsibility,ngo,kiev,,ukraine
1310,center for developed communications,ngo,washington dc,,united states
1311,center for development and support initiative,ngo,port harcourt,,nigeria
1312,center for development of tourism and environmental protection “save the world”,ngo,mykolaiv,,ukraine
1313,center for ecology and environment,ngo,stuttgart,,germany
1314,"center for ecology and hydrology, edinburgh",sci,edinburgh,,united kingdom
1315,center for education and human development,ngo,lviv,,ukraine
1316,center for empowerment and resource development,ngo,quezon city,,philippines
1317,"center for energy, environment and engineering zambia",ngo,lusaka,,zambia
1318,center for environment and development for the arab region and europe,intergov,cairo,,egypt
1319,center for environment and development rdc,ngo,yaounde,,cameroon
1320,center for environment education,ngo,ahmedabad,,india
1321,"center for environment, fisheries and aquaculture, science",sci,lowestoft,,united kingdom
1322,center for environmental concerns,priv,hyderabad,,india
1323,center for environmental law and community rights,ngo,boroko,,papau new guinea
1324,center for environmental management specialists,ngo,mexico city,,mexico
1325,center for european policy studies,ngo,brussels,,belgium
1326,center for global development,ngo,washington dc,,united states
1327,center for global equality,ngo,london,,united kingdom
1328,center for household energy and environment,ngo,benin,,nigeria
1329,center for human rights and environment,ngo,palm beach gardens,,united statse
1330,center for international earth science information network,sci,palisades,,united states
1331,center for international forestry research,sci,bogor,,indonesia
1332,center for language and culture,acad,marrakesh,,morocco
1333,center for legislative research and advocacy,ngo,new delhi,,india
1334,center for marine and renewable energy,acad,ringaskiddy,,ireland
1335,center for marine ecology,sci,utila,,honduras
1336,center for natural resource studies,ngo,dhaka,,bangladesh
1337,center for new medical technologies,sci,novosibirsk,,russia
1338,center for nuclear safety,sci,brataslava,,slovakia
1339,"center for oceanic awareness, research, and education",ngo,oakland,,united states
1340,center for policy research,sci,new delhi,,india
1341,center for political studies,ngo,lviv,,ukraine
1342,center for poverty analysis,ngo,colombo,,sri lanka
1343,center for renewable energy and appropriate technologies,ngo,Bhubaneswar,,india
1344,"center for research & action on development of locales, regions and the environment",sci,calabar,,nigeria
1345,"center for research & technology, hellas",sci,thessaloniki,,greece
1346,center for research and advanced studies,sci,merida,,mexico
1347,center for research and studies on coherence and development,ngo,madrid,,spain
1348,center for resource solutions,ngo,san francisco,,united states
1349,center for responsible travel,ngo,washington dc,,united states
1350,center for rural communities research and development,ngo,hanoi,,vietnam
1351,center for rural technology,ngo,patan,,nepal
1352,center for science and environment,ngo,new delhi,,india
1353,center for social markets,ngo,kolkata,,india
1354,center for socio-economic development,ngo,geneva,,switzerland
1355,Center for studies and safeguarding of Mediterranean sea turtles,ngo,le grau-du-roi,,france
1356,center for sustainability and excellence,ngo,chicago,,united states
1357,center for sustainability transformation gmbh,priv,hofheim,,germany
1358,center for sustainable energy technology,ngo,monrovia,,liberia
1359,center for sustainable transport mexico,ngo,mexico city,,mexico
1360,center for the management of intellectual property in health research and development,sci,oxford,,united kingdom
1361,center for the study of marine systems,acad,puerto madryn,,argentina
1362,center for united nations,ngo,mumbai,,india
1363,center for young business leaders of tunisia,ngo,tunis,,tunisia
1364,center for youth activism of pakistan,ngo,rawalpindi,,pakistan
1365,center ivoirien antipollution,natgov,abidjan,,cote d'ivoire
1366,center of actions and international achievements,ngo,viols le fort,,frane
1367,center of cetacean conservation,ngo,vitacura,,chile
1368,center of education with methods of active education,ngo,paris,,france
1369,center of excellence of sustainable development in small islands in development,ngo,oranjestad,,aruba
1370,center of scientific research and higher education of ensenada,acad,ensenada,,mexico
1371,central african republic,natgov,bangui,,central african republic
1372,central american commission for environment and development,intergov,la libertad,,el salvador
1373,central american integration system,intergov,san salvador,,el salvador
1374,central asia interstate commission for sustainable development,intergov,almaty,,kazakhstan
1375,central asia regional economic cooperation program,intergov,mandaluyong,,philippines
1376,central bank of samoa,priv,apia,,samoa
1377,central bank of solomon islands,priv,honiara,,solomon islands
1378,central caribbean marine institute,ngo,princeton,,united states
1379,central departament,subgov,aregua,,paraguay
1380,central european initiative,intergov,trieste,,italy
1381,central macedonian,subgov,thessaloniki,,greece
1382,central marine fisheries research institute,sci,kochi,,india
1383,central mining institute,sci,katowice,,poland
1384,central queensland university,acad,rockhampton,,australia
1385,central south university of forestry and technology,acad,changsha,,china
1386,central water and sewerage authority - solid waste management unit,priv,kingstown,,saint vincent and the grenadines
1387,centric,priv,gouda,,netherlands
1388,cept university,acad,ahmedabad,,india
1389,ceres,ngo,boston,,united states
1390,cerma industries,priv,fort meyers,,united states
1391,cermaq,priv,oslo,,norway
1392,cerro largo,subgov,melo,,uruguay
1393,cesvi onlus - cooperazione e sviluppo,ngo,bergamo,,italy
1394,cetac technologies,priv,new castle,,united states
1395,cetacean conservation center,ngo,santiago,,chile
1396,cetac-west,priv,calgary,,canada
1397,cet-law-inc.,ngo,key largo,,united states
1398,cfm international,priv,cincinatti,,united states
1399,chaco province,subgov,resistencia,,argentina
1400,chaco tarijeño,subgov,Yacuíba,,bolivia
1401,chad,natgov,n'djamena,,chad
1402,chagos conservation trust,ngo,sandy,,united kingdom
1403,"chagres district, province of colon",subgov,nuevo charges,,panama
1404,chajulense union association,ngo,san gaspar de chajul,,guatemala
1405,chalmers university of technology,acad,gothenburg,,sweden
1406,chamber of agricultural technology association,ngo,bueno aires,,argentina
1407,chamber of commerce of industry of trades and agriculture,ngo,mata-uta,,wallis and futuna
1408,chamber of commerce of savona,ngo,savona,,italy
1409,chamber of computer logistics people,ngo,kolkata,,india
1410,chamber of engineers of montenegro,priv,podgorica,,montenegro
1411,chandaria foundation,ngo,nairobi,,kenya
1412,"change agent, inc",priv,toyko,,japan
1413,change nigeria project,ngo,london,,united kingdom
1414,changwon,subgov,changwon,,south korea
1415,charles darwin foundation,ngo,galapagos,,ecuador
1416,charles darwin university,acad,darwin,,australia
1417,charles river associates,priv,boston,,united states
1418,charleston waterkeeper,ngo,charleston,,united states
1419,chartered institution of water and environment management,ngo,london,,united kingdom
1420,chatham house,ngo,london,,united kingdom
1421,chatham university,acad,pittsburg,,united states
1422,chattisgarh,subgov,raipur,,india
1423,chefs for change ghana foundation,ngo,accra,,ghana
1424,chellarams group,priv,lagos,,nigeria
1425,chemical hazards communication society,ngo,oxford,,united kingdom
1426,chemistry australia,ngo,melbourne,,australia
1427,chevron corporation,priv,san ramon,,united states
1428,chf partners in rural development,ngo,ottawa,,canada
1429,chiah,subgov,chiah,,lebanon
1430,chiang mai university,acad,chiang mai,,thailand
1431,chiang rai,subgov,chiang rai,,thailand
1432,chicken of the sea,priv,san diego,,united states
1433,childfund alliance,ngo,new york city,,united states
1434,children's investment fund foundation,ngo,london,,united kingdom
1435,chile,natgov,santiago,,chile
1436,chile museum of the andean mountains,ngo,alto jahuel,,chile
1437,chilean long-term socio-ecological research network,sci,santiago,,chile
1438,china,natgov,beijing,,china
1439,china academy of agriculture sciences,acad,bejing,,china
1440,china academy of social sciences,acad,bejing,,china
1441,china agricultural university,acad,beijing,,china
1442,china architecture design and research group,priv,bejing,,china
1443,china association for ngo cooperation,ngo,beijing,,china
1444,china association of rural energy industry,ngo,beijing,,china
1445,china association of women entrepreneurs,ngo,beijing,,china
1446,china blue sustainability institute,ngo,haikou,,china
1447,china business council for sustainable development,ngo,beijing,,china
1448,china communications construction company,priv,beijing,,china
1449,china energy fund committee,ngo,hong kong,,china
1450,china energy research society,sci,bejing,,china
1451,china environmental protection foundation,ngo,beijing,,china
1452,china green foundation,ngo,beijing,,china
1453,china green university network,ngo,shanghai,,china
1454,china merchants property development ltd,priv,shenzen,,china
1455,china national engineering research center for human settlements,sci,beijing,,china
1456,china ngo network for international exchanges,ngo,beijing,,china
1457,china petroleum and chemical industry association,ngo,bejing,,china
1458,china renewable energy industrial association,ngo,beijing,,china
