id,country,region,population,area (sq. mi.),pop. density (per sq. mi.),coastline (coast/area ratio),net migration,infant mortality (per 1000 births),gdp ($ per capita),literacy (%),phones (per 1000),arable (%),crops (%),other (%),climate,birthrate,deathrate,agriculture,industry,service
155,Norway,Western Europe,4610820,323802,14.2,7.77,1.74,3.7,37800,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021,0.415,0.564
156,Oman,Near East,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.5,0.0,0.14,99.74,1.0,36.24,3.81,0.027000000000000003,0.39,0.583
157,Pakistan,Asia (Ex. Near East),165803560,803940,206.2,0.13,-2.77,72.44,2100,45.7,31.8,27.87,0.87,71.26,1.0,29.74,8.23,0.21600000000000003,0.251,0.5329999999999999
158,Palau,Oceania,20579,458,44.9,331.66,2.85,14.84,9000,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.062,0.12,0.818
159,Panama,Latin Amer. And Carib,3191319,78200,40.8,3.18,-0.91,20.47,6300,92.6,137.9,7.36,1.98,90.66,2.0,21.74,5.36,0.068,0.156,0.7759999999999999
160,Papua New Guinea,Oceania,5670544,462840,12.3,1.11,0.0,51.45,2200,64.6,10.9,0.46,1.44,98.1,2.0,29.36,7.25,0.353,0.381,0.266
161,Paraguay,Latin Amer. And Carib,6506464,406750,16.0,0.0,-0.08,25.63,4700,94.0,49.2,7.6,0.23,92.17,2.0,29.1,4.49,0.22399999999999998,0.207,0.569
162,Peru,Latin Amer. And Carib,28302603,1285220,22.0,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65
163,Philippines,Asia (Ex. Near East),89468677,300000,298.2,12.1,-1.5,23.51,4600,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.14400000000000002,0.326,0.53
164,Poland,Eastern Europe,38536869,312685,123.3,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05,0.311,0.64
165,Portugal,Western Europe,10605870,92391,114.8,1.94,3.57,5.05,18000,93.3,399.2,21.75,7.81,70.44,3.0,10.72,10.5,0.053,0.27399999999999997,0.6729999999999999
166,Puerto Rico,Latin Amer. And Carib,3927188,13790,284.8,3.63,-1.46,8.24,16800,94.1,283.1,3.95,5.52,90.53,2.0,12.77,7.65,0.01,0.45,0.54
167,Qatar,Near East,885359,11437,77.4,4.92,16.29,18.61,21500,82.5,232.0,1.64,0.27,98.09,1.0,15.56,4.72,0.002,0.8009999999999999,0.19699999999999998
168,Reunion,Sub-Saharan Africa,787584,2517,312.9,8.22,0.0,7.78,5800,88.9,380.9,13.6,1.2,85.2,2.0,18.9,5.49,0.08,0.19,0.73
169,Romania,Eastern Europe,22303552,237500,93.9,0.09,-0.13,26.43,7000,98.4,196.9,40.82,2.25,56.93,3.0,10.7,11.77,0.10099999999999999,0.35,0.5489999999999999
170,Russia,C.W. Of Ind. States,142893540,17075200,8.4,0.22,1.02,15.39,8900,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054000000000000006,0.371,0.575
171,Rwanda,Sub-Saharan Africa,8648248,26338,328.4,0.0,0.0,91.23,1300,70.4,2.7,40.54,12.16,47.3,3.0,40.37,16.09,0.401,0.22899999999999998,0.37
172,Saint Helena,Sub-Saharan Africa,7502,413,18.2,14.53,0.0,19.0,2500,97.0,293.3,12.9,0.0,87.1,,12.13,6.53,,,
173,Saint Kitts And Nevis,Latin Amer. And Carib,39129,261,149.9,51.72,-7.11,14.49,8800,97.0,638.9,19.44,2.78,77.78,2.0,18.02,8.33,0.035,0.258,0.7070000000000001
174,Saint Lucia,Latin Amer. And Carib,168458,616,273.5,25.65,-2.67,13.53,5400,67.0,303.3,6.56,22.95,70.49,2.0,19.68,5.08,0.07,0.2,0.73
175,Saint Pierre And Miquelon,Northern America,7026,242,29.0,49.59,-4.86,7.54,6900,99.0,683.2,13.04,0.0,86.96,,13.52,6.83,,,
176,Saint Vincent And The Grenadines,Latin Amer. And Carib,117848,389,303.0,21.59,-7.64,14.78,2900,96.0,190.9,17.95,17.95,64.1,2.0,16.18,5.98,0.1,0.26,0.64
177,Samoa,Oceania,176908,2944,60.1,13.69,-11.7,27.71,5600,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.114,0.584,0.302
178,San Marino,Western Europe,29251,61,479.5,0.0,10.98,5.73,34600,96.0,704.3,16.67,0.0,83.33,,10.02,8.17,,,
179,Sao Tome And Principe,Sub-Saharan Africa,193413,1001,193.2,20.88,-2.72,43.11,1200,79.3,36.2,6.25,48.96,44.79,2.0,40.25,6.47,0.16699999999999998,0.14800000000000002,0.684
180,Saudi Arabia,Near East,27019731,1960582,13.8,0.13,-2.71,13.24,11800,78.8,140.6,1.67,0.09,98.24,1.0,29.34,2.58,0.033,0.613,0.354
181,Senegal,Sub-Saharan Africa,11987121,196190,61.1,0.27,0.2,55.51,1600,40.2,22.2,12.78,0.21,87.01,2.0,32.78,9.42,0.172,0.209,0.619
182,Serbia,Eastern Europe,9396411,88361,106.3,0.0,-1.33,12.89,2200,93.0,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579
183,Seychelles,Sub-Saharan Africa,81541,455,179.2,107.91,-5.69,15.53,7800,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.032,0.304,0.665
184,Sierra Leone,Sub-Saharan Africa,6005250,71740,83.7,0.56,0.0,143.64,500,31.4,4.0,6.98,0.89,92.13,2.0,45.76,23.03,0.49,0.31,0.21
185,Singapore,Asia (Ex. Near East),4492150,693,6482.2,27.85,11.53,2.29,23700,92.5,411.4,1.64,0.0,98.36,2.0,9.34,4.28,0.0,0.33899999999999997,0.6609999999999999
186,Slovakia,Eastern Europe,5439448,48845,111.4,0.0,0.3,7.41,13300,,220.1,30.16,2.62,67.22,3.0,10.65,9.45,0.035,0.294,0.672
187,Slovenia,Eastern Europe,2010347,20273,99.2,0.23,1.12,4.45,19000,99.7,406.1,8.6,1.49,89.91,,8.98,10.31,0.027999999999999997,0.369,0.603
188,Solomon Islands,Oceania,552438,28450,19.4,18.67,0.0,21.29,1700,,13.4,0.64,2.0,97.36,2.0,30.01,3.92,0.42,0.11,0.47
189,Somalia,Sub-Saharan Africa,8863338,637657,13.9,0.47,5.37,116.7,500,37.8,11.3,1.67,0.04,98.29,1.0,45.13,16.63,0.65,0.1,0.25
190,South Africa,Sub-Saharan Africa,44187637,1219912,36.2,0.23,-0.29,61.81,10700,86.4,107.0,12.08,0.79,87.13,1.0,18.2,22.0,0.025,0.303,0.6709999999999999
191,Spain,Western Europe,40397842,504782,80.0,0.98,0.99,4.42,22000,97.9,453.5,26.07,9.87,64.06,3.0,10.06,9.72,0.04,0.295,0.665
192,Sri Lanka,Asia (Ex. Near East),20222240,65610,308.2,2.04,-1.31,14.35,3700,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.52,0.17800000000000002,0.276,0.545
193,Sudan,Sub-Saharan Africa,41236378,2505810,16.5,0.03,-0.02,62.5,1900,61.1,16.3,6.83,0.18,92.99,2.0,34.53,8.97,0.387,0.203,0.41
194,Suriname,Latin Amer. And Carib,439117,163270,2.7,0.24,-8.81,23.57,4000,93.0,184.7,0.37,0.06,99.57,2.0,18.02,7.27,0.13,0.22,0.65
195,Swaziland,Sub-Saharan Africa,1136334,17363,65.5,0.0,0.0,69.27,4900,81.6,30.8,10.35,0.7,88.95,2.5,27.41,29.74,0.11900000000000001,0.515,0.366
196,Sweden,Western Europe,9016596,449964,20.0,0.72,1.67,2.77,26800,99.0,715.0,6.54,0.01,93.45,3.0,10.27,10.31,0.011000000000000001,0.282,0.7070000000000001
197,Switzerland,Western Europe,7523934,41290,182.2,0.0,4.05,4.39,32700,99.0,680.9,10.42,0.61,88.97,3.0,9.71,8.49,0.015,0.34,0.645
198,Syria,Near East,18881361,185180,102.0,0.1,0.0,29.53,3300,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.81,0.249,0.23,0.519
199,Taiwan,Asia (Ex. Near East),23036087,35980,640.3,4.35,0.0,6.4,23400,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018000000000000002,0.259,0.723
200,Tajikistan,C.W. Of Ind. States,7320815,143100,51.2,0.0,-2.86,110.76,1000,99.4,33.5,6.61,0.92,92.47,2.0,32.65,8.25,0.23399999999999999,0.28600000000000003,0.48
201,Tanzania,Sub-Saharan Africa,37445392,945087,39.6,0.15,-2.06,98.54,600,78.2,4.0,4.52,1.08,94.4,,37.71,16.39,0.43200000000000005,0.172,0.396
202,Thailand,Asia (Ex. Near East),64631595,514000,125.7,0.63,0.0,20.48,7400,92.6,108.9,29.36,6.46,64.18,2.0,13.87,7.04,0.099,0.441,0.46
203,Togo,Sub-Saharan Africa,5548702,56785,97.7,0.1,0.0,66.61,1500,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.395,0.204,0.401
204,Tonga,Oceania,114689,748,153.3,56.02,0.0,12.62,2200,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23,0.27,0.5
205,Trinidad And Tobago,Latin Amer. And Carib,1065842,5128,207.9,7.06,-10.83,24.31,9500,98.6,303.5,14.62,9.16,76.22,2.0,12.9,10.57,0.006999999999999999,0.57,0.423
206,Tunisia,Northern Africa,10175014,163610,62.2,0.7,-0.57,24.77,6900,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.132,0.318,0.55
207,Turkey,Near East,70413958,780580,90.2,0.92,0.0,41.04,6700,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.97,0.11699999999999999,0.298,0.585
208,Turkmenistan,C.W. Of Ind. States,5042920,488100,10.3,0.0,-0.86,73.08,5800,98.0,74.6,3.72,0.14,96.14,1.0,27.61,8.6,0.209,0.38,0.41100000000000003
209,Turks And Caicos Is,Latin Amer. And Carib,21152,430,49.2,90.47,11.68,15.67,9600,98.0,269.5,2.33,0.0,97.67,2.0,21.84,4.21,,,
210,Tuvalu,Oceania,11810,26,454.2,92.31,0.0,20.03,1100,,59.3,0.0,0.0,100.0,2.0,22.18,7.11,0.166,0.272,0.562
211,Uganda,Sub-Saharan Africa,28195754,236040,119.5,0.0,0.0,67.83,1400,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.311,0.222,0.469
212,Ukraine,C.W. Of Ind. States,46710816,603700,77.4,0.46,-0.39,20.34,5400,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.187,0.452,0.361
213,United Arab Emirates,Near East,2602713,82880,31.4,1.59,1.03,14.51,23200,77.9,475.3,0.6,2.25,97.15,1.0,18.96,4.4,0.04,0.585,0.375
214,United Kingdom,Western Europe,60609153,244820,247.6,5.08,2.19,5.16,27700,99.0,543.5,23.46,0.21,76.33,3.0,10.71,10.13,0.005,0.237,0.758
215,United States,Northern America,298444215,9631420,31.0,0.21,3.41,6.5,37800,97.0,898.0,19.13,0.22,80.65,3.0,14.14,8.26,0.01,0.204,0.787
216,Uruguay,Latin Amer. And Carib,3431932,176220,19.5,0.37,-0.32,11.95,12800,98.0,291.4,7.43,0.23,92.34,3.0,13.91,9.05,0.09300000000000001,0.311,0.596
217,Uzbekistan,C.W. Of Ind. States,27307134,447400,61.0,0.0,-1.72,71.1,1700,99.3,62.9,10.83,0.83,88.34,1.0,26.36,7.84,0.342,0.22899999999999998,0.43
218,Vanuatu,Oceania,208869,12200,17.1,20.72,0.0,55.16,2900,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26,0.12,0.62
219,Venezuela,Latin Amer. And Carib,25730435,912050,28.2,0.31,-0.04,22.2,4800,93.4,140.1,2.95,0.92,96.13,2.0,18.71,4.92,0.04,0.419,0.541
220,Vietnam,Asia (Ex. Near East),84402966,329560,256.1,1.05,-0.45,25.95,2500,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.209,0.41,0.381
221,Virgin Islands,Latin Amer. And Carib,108605,1910,56.9,9.84,-8.94,8.03,17200,,652.8,11.76,2.94,85.3,2.0,13.96,6.43,0.01,0.19,0.8
222,Wallis And Futuna,Oceania,16025,274,58.5,47.08,,,3700,50.0,118.6,5.0,25.0,70.0,2.0,,,,,
223,West Bank,Near East,2460492,5860,419.9,0.0,2.98,19.62,800,,145.2,16.9,18.97,64.13,3.0,31.67,3.92,0.09,0.28,0.63
224,Western Sahara,Northern Africa,273008,266000,1.0,0.42,,,,,,0.02,0.0,99.98,1.0,,,,,0.4
225,Yemen,Near East,21456188,527970,40.6,0.36,0.0,61.5,800,50.2,37.2,2.78,0.24,96.98,1.0,42.89,8.3,0.135,0.47200000000000003,0.39299999999999996
226,Zambia,Sub-Saharan Africa,11502010,752614,15.3,0.0,0.0,88.29,800,80.6,8.2,7.08,0.03,92.9,2.0,41.0,19.93,0.22,0.29,0.489
227,Zimbabwe,Sub-Saharan Africa,12236805,390580,31.3,0.0,0.0,67.69,1900,90.7,26.8,8.32,0.34,91.34,2.0,28.01,21.84,0.179,0.243,0.579
