orig,repl
cooperativa autogestionaria para la solidaridad social r.l,self-managed cooperative for social solidarity r.l
cooperativa de pescadores artesanales de tarcoles,artisan fishermen's cooperative of tarcoles
cooperativa de pescadores espíritu santo,fisherman cooperative of espíritu santo
cooperativa de pescadores espritu santo,fisherman cooperative of espíritu santo
cooperativa de pescadores los cacaos,fishmeran cooperative of los cacaos
cooperativa pescadores espíritu santo los cacaos,fishmeran cooperative of los cacaos
cooperazione e sviluppo,cooperation and development
cooperazione per ii mondo in via di sviluppo,cooperation for the developing world
coopesolidar,coopesolidar r.l
coordinación de ong y cooperativas de guatemala,coordination of NGOs and guatemala cooperatives
coordinadora nacional de organizaciones campesinas,national coordinator of peasant organizations
coral,coral reef alliance
coral triangle center (ctc),coral triangle center
coral triangle centre,coral triangle center
cordelim - national cdm promotion office (ecuador),ecuador
"cordillera,",cordillera
"corona, rivera, velázquez & co.","corona, rivera, velázquez and co."
"corona, rivera, velázquez & co.;","corona, rivera, velázquez and co."
corporación andina de fomento,andean development corporation
corporación andina de fomento (venezuela);,development bank of latin america
corporación de promoción de exportaciones e inversiones,export and investment promotion corporation
corporacion para la investigacion energetica,corporation for energy research
corporacion para la investigacion energetica (cie) (ecuador),corporation for energy research
"corporativa de fundaciones, a.c.;","corporativa de fundaciones, a.c."
corvus,corvus
costa rican tourism fishing federation,costa rican fishing federation
costa rican tourist fishing association,costa rican fishing federation
cote d ivoire,cote d'ivoire
cote d'ivoire,cote d'ivoire
council of regional organisations in the pacific,council of regional organizations in the pacific
council of scientific & industrial research,council of scientific and industrial research
county of honolulu,county of honolulu
cpf;,portuguese foundation center
cplp - community of the portuguese speaking countries,community of portuguese language countries
cpr;,portuguese council for refugees
cpre - somerset branch (united kingdom of great britain and northern ireland),cpre - somerset branch
"cradle (centre for research & action on development of locales, regions and the environment) (nigeria)","center for research & action on development of locales, regions and the environment"
crane supply (a division of crane canada company) (canada),crane supply
cranfield university (united kingdom of great britain and northern ireland),cranfield university
"create,",create
"creative associates international,",creative associates international
credia,regional center for environmental documentation and interpretation
"crédit agricole sa,",crédit agricole sa
cresli -- the coastal research and education society of long island,the coastal research and education society of long island
crest: center for responsible travel,center for responsible travel
crest: center for responsible travel (united states),center for responsible travel
critical ecosystem partnership fund cepf,critical ecosystem partnership fund
cropserve (zambia),cropserve
"crowdmapit,",crowdmapit
csiro publishing (australia),csiro publishing
csp;,confederation of portuguese services
csr & sustainability institute new york,csr and sustainability institute new york
cultura ecologica,ecological culture
culture et développement,culture and development
curla,regional university center of the atlantic coast
"cusco,",cusco
cwii;,corporate wellness international institute
cyclamed,cyclamed
czech technical university in prague,czech technical university in prague
daedalus llc (united states),daedalus llc
daffodil international university (diu),daffodil international university
dakhla-oued ed dahab,dakhla-oued ed dahab
danang youth association (vietnam),danang youth association
dangote group (nigeria),dangote group
danish environmental protection agency,denmark
danube environmental forum (slovakia),danube environmental forum
dartmouth college,dartmouth college
"data act lab,",data act lab
"datakind,",datakind
"datalook,",datalook
datum (united states),datum
david noble group (canada),david noble group
day hospital institute for development & rehabilitation (dhidr - egypt),day hospital institute for development & rehabilitation
dda canada east (canada),dda canada east
"dealer tecno srl,",dealer tecno srl
deco;,portuguese association for consumer protection
dee valley water plc (united kingdom of great britain and northern ireland),dee valley water plc
deep ocean steward iniative,deep ocean stewardship initiative
delhi jal board,delhi
dell,dell inc
delta state,delta state
democratic republic of congo,democratic republic of the congo
demonstration zone energy and water efficiency ltd. (kyrgyzstan),demonstration zone energy and water efficiency ltd.
"departamento administrativo nacional de estadística (dane),",departamento administrativo nacional de estadística
"departamento de quimica, instituto de investigaciones biomdicas del sur (uns-conicet)",southern national university
department of economic and social affairs,united nations department of economic and social affairs
department of geography at kenyatta university,kenyatta university
department of marine systems of the tallinn university of technology,tallinn university of technology
deutsche geophysikalische gesellschaft,german geophysical society
deutsche geophysikalische gesellschaft (germany),german geophysical society
deutsche gesellschaft für meeresforschung,german society for marine research
deutsche gesellschaft für meeresforschung (germany),german society for marine research
deutsche gesellschaft für technische zusammenarbeit gmbh/ german technical cooperation (gtz) (germany);,germany
deutsche ornithologen-gesellschaft e.v.,german ornithologist society e.v.
deutsche ornithologen-gesellschaft e.v. (germany),german ornithologist society e.v.
deutsche post dhl,deutsche post dhl group
deutsche post dhl group,deutsche post dhl group
deutsche stiftung weltbevoelkerung,german foundation world population
deutsche welle,german wave
deutschen wissenschaftliche kommission für internationale meeresforschung,german scientific commission for international marine research
deutschen wissenschaftliche kommission für internationale meeresforschung (dwk) (germany),german scientific commission for international marine research
deutscher verband für angewandte geographie,german association for applied geography
deutscher verband für angewandte geographie (germany),german association for applied geography
deutschsprachige mykologische gesellschaft,german-speaking mycological society
deutschsprachige mykologische gesellschaft (germany),german-speaking mycological society
Deutz Power Systems (Germany),deutz power systems
develop solutions (united kingdom of great britain and northern ireland),develop solutions
development bank of south africa,development bank of southern africa
development bank of southern africa (south africa),development bank of southern africa
"development gateway,",development gateway
"development initiatives,",development initiatives
dhi,dhi worldwide
dhl,dhl express
dibio,dibio
digepesca,digepesca
"digitalglobe,",digitalglobe
"diponegoro university,",diponegoro university
dirección general de la marina mercante,honduras
dirección general de la marina mercante de honduras,honduras
dirección nacional de los espacios acuáticos,ecuador
discover the world ltd,discover the world ltd
"diva for equality, fiji",diva for equality
"division for ocean affairs and the law of the sea, office of legal affairs",division for ocean affairs and the law of the sea
"dkpto,",denmark
dnv,dnv gl
dnv gl as government observers: •,dnv gl
dominica water & sewerage company,dominica water and sewerage company
don bosco foundation of cambodia,don bosco foundation of cambodia
dow corning,dow chemical company
droit à l'énergie,right to energy
dubai electricity & water authority,dubai electricity and water authority
dugongs mou,united nations environment program
dunira strategy,dunira strategy
e+co,"e+co, inc."
e+co (netherlands),"e+co, inc."
"eacin,",african center for technology studies
earth charter international,earth charter initiative
"earth guardians,",earth guardians
"earth2ocean-inc.,",earth2ocean-inc.
"earthecho-international,",earthecho-international
earthtech (united kingdom of great britain and northern ireland),earthtech
earthwatch,earthwatch institute
earthworks,earthworks
east african wildlife society (kenya),east african wildlife society
eastern research group (united states),eastern research group
east-west center (united states),east-west center
ebrd,european bank for reconstruction and development
ebsco publishing (united kingdom of great britain and northern ireland),ebsco publishing
ec3 global (managers of the green globe programme in the asia pacific region) (australia),earth check
eceat: european centre for ecological and agricultural tourism (czech republic),european centre for ecological and agricultural tourism
echandia •,echandia
"eclac,",eclac
ecnc / eucc,ecnc group
"eco dds,",eco dds
eco ltd and hedon household energy network (united kingdom of great britain and northern ireland),eco ltd and hedon household energy network
eco organization (ghana),eco organization
"eco treats tourism (pvt) ltd,",eco treats tourism ltd
"eco, ltd. (united kingdom of great britain and northern ireland)","eco, ltd."
ecoagriculture,ecoagriculture partners
"ecoagriculture partners (facilitator),",ecoagriculture partners
"ecocean,",ecocean
"ecofogao industria de fogoes, ltda. (brazil)","ecofogao industria de fogoes, ltda."
ecofys bv (netherlands),ecofys bv
ecole des métiers de l’environnement,school of environmental trades
ecole des mines de douai,national school of mines of douai
ecole des mines de nantes,national school of mines of nantes
ecole des mines de saint-etienne,national school of mines of saint-etienne
ecole des ponts paristech,paristech
ecole nationale de formation agronomique,national school of agricultural education
ecole nationale des agents techniques des eaux et forêts,national school of technical agents for water and forests
ecole nationale polytechnique,national polytechnic school (algeria)
ecole nationale supérieure d’architecture de grenoble,national school of architecture of grenoble
ecole nationale supérieure de chimie – chimie paristech,paristech
ecole nationale supérieure de chimie de montpellier,national school of chemistry of montpellier
ecole nationale supérieure de chimie-chimie paristech,paristech
ecole nationale supérieure de mécanique et d aérotechnique,national school of mechanics and aerotechnics
"école nationale supérieure des ingénieurs en arts chimiques et technologiques inp-ensiacet,",national school of engineering in chemical and technological arts
ecole nationale supérieure des mines de saint-etienne,national school of mines of saint-etienne
école nationale supérieure des mines de saint-etienne,national school of mines of saint-etienne
"ecole nationale supérieure d'ingénieurs en informatique, automatique, mécanique énérgétique et électronique","higher national school of computer science, automatic, electrical and electronic engineering"
ecole nationale vétérinaire d’alfort,national veterinary school of dalfort
ecole nationale vétérinaire de toulouse,national veterinary school of toulouse
ecole polytechnique,national polytechnic school (france)
ecole pratique des hautes etudes,practical school of high studies
ecole supérieur des sciences commerciales d’angers,higher school of foreign commercial sciences
ecole supérieure de commerce et de management,higher school of commerce and management
ecoline (russian federation),ecoline
ecological restorations,ecological restorations
ecological society of america (united states),ecological society of america
ecological society of australia (australia),ecological society of australia
ecological society of japan (japan),ecological society of japan
"ecologie sans frontière,",ecologie sans frontière
ecologistas en acción,ecologists in action
"ecologízate al 100, a.c.;","ecologízate al 100, a.c."
"ecomachines incubator,",ecomachines incubator
ecomar,ecomar
ecomed (zambia),ecomed
ecomethan (ukraine),Industrial Union of Donbass
econergy international,econergy international corp
econergy international (brazil),econergy international corp
econergy international corp (united states),econergy international corp
econoler international inc (canada),econoler international inc
economic and social commission for asia and the pacific,united nations economic and social commission for asia and the pacific
economic commission of latin america and the caribbean,economic commission for latin america and the caribbean
economic community for west african states,economic community of west african states
eco-sud,ecosud
ecosur,ecosur
"ecosys group,",ecosys group
ecotema ecologia terra mare s.r.l. (italy),ecotema ecologia terra mare s.r.l.
ecotourism kenya (kenya),ecotourism kenya
ecotours uruguay (uruguay),ecotours uruguay
ecotrans,ecotrans: european network for sustainable tourism development
ecotrans: european network for sustainable tourism development (germany),ecotrans: european network for sustainable tourism development
eda environmental ltd. (canada),eda environmental ltd.
edf,edf energy
"educación cibernética, automotriz, robótica y electrónica, a.c.","cyber education, automotive, robotics and electronics, a.c."
"educación cibernética, automotriz, robótica y electrónica, a.c.;","educación cibernética, automotriz, robótica y electrónica, a.c."
education for all in africa (educaf),education for all in africa
education for employment (efe),education for employment
eerc (energy & environmental research center) university of north dakota),university of north dakota
eidgenössische anstalt für wasserversorgung,switzerland
eidgenössische anstalt für wasserversorgung (germany),switzerland
eis-africa (),eis-africa
el centro de investigacin cientfica y de educacin superior de ensenada,center of scientific research and higher education of ensenada
"el fondo mexicano para la conservación de la naturaleza, a.c.","mexican fund for the conservation of nature, a.c."
el salvadore,el salvador
el taller: asociación de promoción y desarrollo (peru),el taller: asociación de promoción y desarrollo
el tentero s.c.,el tentero s.c.
elamane pour le dévelopement de la femme,el amane for the development of women
electriciens sans frontieres,electricians without borders
electrowatt-ekono oy (finland),electrowatt-ekono oy
elsevier science (netherlands),Springer-Verlag GmbH
em energy solutions ltd (united kingdom of great britain and northern ireland),em energy solutions ltd
emerging power partners ltd (finland),emerging power partners ltd
emory university school of public health (united states),emory university school of public health
empower program (united states),arizona
"end ecocide on earth,",end ecocide on earth
enda tiers monde,environment and third world development
enda/repao,network on fishing policies in east africa
eneco clean beach,eneco clean beach cup
eneco clean beach life,eneco clean beach cup
enel green power spa,enel
enel green power spa (italy),enel
energia,energia international network on gender and sustainable energy
"energia, trasporti, agricoltura s.r.l","energy, transport, agriculture s.r.l"
energies de la mer,energies of the sea
"energies de la mer,",energies of the sea
energy & development group,energy and development group
energy & development group (edg) (south africa),energy and development group
energy & environmental saving ventures,energy and environmental saving ventures
energy & environmental saving ventures (eesave) (ghana),energy and environmental saving ventures
energy & security group,energy and security group
energy & security group (),energy and security group
energy & security group (united states),energy and security group
"energy 2001, inc. (united states)","energy 2001, inc."
energy and development action (congo),energy and development action
"energy and environmental security initiative, university of colorado school of law (united states)",university of colorado
energy and sustainable development in africa (e.s.d.a.) (cameroon),united nations university
energy norway,energy norway
energy research center netherlands,energy research center of the netherlands
energy research centre (india),panjab university
energy resources management (hong kong),energy resources management
enfants réfugiés du monde,refugee children of the world
engine manufacturers association (united states),engine manufacturers association
engineers in technical and humanitarian opportunities of service (united states),engineers in technical and humanitarian opportunities of service
eni,eni tecnologie
eni tecnologie (italy),eni tecnologie
eno programme association,eno programme association finland
"eno programme association / eno-verkkokoulun tuki , finland,",eno programme association finland
eno programme association finland,eno programme association finland
enova •,enova
ensea por mexico,teach for mexico
entidades de classe paranaenses afetas ao crea-pr,regional engineering and agronomy council of parana
entomological society of china (china),entomological society of china
entomological society of japan (japan),entomological society of japan
entomological society of korea (republic of korea),entomological society of korea
"envejeciendo juntos, a.c.;","envejeciendo juntos, a.c."
environment protection for rural development organization (uganda),environment protection for rural development organization
environmental and energy technology and policy institute (united states),environmental and energy technology and policy institute
"environmental association for universities and colleges, uk",environmental association for universities and colleges
"environmental control systems, inc. (united states)","environmental control systems, inc."
environmental defense (united states),environmental defense fund
environmental defense fund (united states),environmental defense fund
environmental health council,environmental health council
environmental information coalition (united states),environmental information coalition
environmental investigations agency,environmental investigation agency
environmental investment partners (poland),environmental investment partners
environmental justice foundation (ejf),environmental justice foundation
environmental law institute,environmental law institute
"environmental law institutor,",environmental law institute
environmental liaison centre international,environment liaison centre international
environmental liaison centre international (kenya),environment liaison centre international
environmental projects consulting institute (russian federation),environmental projects consulting institute
environmental protection and management services (epms) (united republic of tanzania),environmental protection and management services
environmental research institute university of belize,university of belize
environmental visual artist,environmental visual artist
environnement et développement du tiers monde,environment and development of the third world
environnement et développement du tiers-monde,environment and development of the third world
enviros consulting limited (united kingdom of great britain and northern ireland),enviros consulting limited
eqs (united states),eqs
"equipment and systems engineering, inc. (united states)","equipment and systems engineering, inc."
eratech chile ltda. (chile),eratech chile ltda.
"erg, llc (united states)","erg, llc"
"esa,",esa
esa-esrin;,European Space Research Institute
escola superior de educação,high school of education
escola superior de propaganda e marketing,advertising and marketing superior school
escuela de biologa de la universidad nacional,biology school of the national university
escuela europea de consumidores,european school of consumers
escuela modelo de sandy bay,school model of sandy bay
"escuela superior
politecnica del litoral","high school
polytechnic of the littoral "
espacio compartido en sistemas agroforestales (eco-saf),shared space in agroforestry systems
"esri,",esri
"essor - essor, soutien, formation, réalisation","boom - boom, support, training, realization"
estacion las tortugas,turtle station
établissement national d'enseignement supérieur agronomique de dijon,national institute of higher agricultural education dijon
ethologische gesellschaft e.v.,ethological society
ethologische gesellschaft e.v. (germany),ethological society
euiesa;,international entrepreneurship sustainability association
eurima (european insulation manufacturers association) (belgium),european insulation manufacturers association
euroace (belgium),euroace
eurocean foundation,eurocean
european and mediterranean plant protection organization (france),european and mediterranean plant protection organization
european association of development research (germany),european association of development research
european association of geoscientists & engineers (netherlands),european association of geoscientists & engineers
european commission,european union
European Commission (European Community),european union
european copper institute (belgium),european copper institute
european fisheries control agency,european union
european forum for renewable energy sources (eufores) (belgium),european forum for renewable energy sources
european fuel oxygenates association (belgium),european fuel oxygenates association
european lamp companies federation (elc),european lamp companies federation
european nuclear engineering network,european nuclear engineering network
"european partners for the environment,",european partners for the environment
european renewable energy council (erec) (belgium),european renewable energy council
european society for evolutionary biology (eseb) (netherlands),european society for evolutionary biology
european umbrella organisation for geographic information,european umbrella organization for geographic information
"european union,",european union
european weed research society (netherlands),european weed research society
europoean union,european union
evason ana mandara [six senses hotels resorts spas],evason ana mandara
ev-k2-cnr,ev-k2-cnr committee
executive direction of projects of the ministry of energy and mines of peru (peru),peru
exodus,exodus
exp momentum - experiential marketing (),exp momentum - experiential marketing
"expédition 7ème continent,",expédition 7ème continent
explore worldwide,explore worldwide
export credit norway •,export credit norway
exxonmobil (united states),exxonmobil
"eye on earth,",eye on earth
"facebook,",facebook
fachhochschule düsseldorf - university of applied science,university of applied sciences düsseldorf
faculdade antonio meneghetti,college antonio meneghetti
facultad latinoamericana de ciencias sociales,latin american faculty of social sciences
fajarbaru builder group bhd.,fajarbaru builder group bhd
"fajarbaru builder group bhd.,",fajarbaru builder group bhd
fantsuam foundation (nigeria),fantsuam foundation
"farm support association,",farm support association vanuatu
farmers association (vietnam),Viet Nam Farmer's Union
"fatick,",fatick
fazenda d'agua producao e comercio de pescado,fish farm production and fish trade
fcb advertising (united states),fcb advertising
fdration des pcheurs de la baie dantongil,fishermen federation of antongile bay
fdration rgionale acadienne des pcheurs professionnels,acadian regional federation of professional fishermen
federacin costarricense de pesca,costa rican fishing federation
federacin costarricense de pesca y acuicultura,costa rican fishing federation
federacin dominicana de trabajadores de la pesca y la universidad autnoma de santo domingo,dominican federation of fishing workers and the autonomous university of santo domingo
federacion costarricense de pesca - fecop,costa rican fishing federation
federación costarricense de pesca turística,costa rican fishing federation
federacion nacional de cafeteros de colombia,national federation of coffee growers of colombia
federacion nacional de cooperativas de servicios,national federation of service cooperatives
federacion nacional de tabla de peru,national federation of table of peru
federacja konsumentow,federation of consumers
federaction internacional de camaras de comercio del mercosur,international federation of mercosur trade chambers
federal univeristy of rio de janeiro,federal university of rio de janeiro
fédération des associations franco-africaines de développement,federation of franco-african development associations
federation des geometres francophones,federation of french geometers
fédération des industries nautiques,federation of nautical industries
"fédération des industries nautiques,",federation of nautical industries
federation for environment education,federation for environment education
fédération internationale pour l'education des parents,international federation for parent education
federation local des gie de peche de niodior (felogie niodior),local federation from closing of niodior
federation of european biochemical societies (denmark),federation of european biochemical societies
federation of european microbiological societies (united kingdom of great britain and northern ireland),federation of european microbiological societies
federazione nazionale italiana dei club unesco,italian national federation of unesco clubs
federazione organisms cristiani servizio internazionale volontario,federation of christian organiazations with international voluntary service
fedration des pcheurs semi-hauturiers,federation of mid-shore fishermen
fee: fundation for environmental education,foundation for environmental education
fee: fundation for environmental education (germany),foundation for environmental education
felly turyamushanga (uganda),felly turyamushanga
felogie de niodior,local federation from closing of niodior
"fès-meknès,",fès-meknès
"feu philippines,",far eastern university
fgf fciencias.id - associacao para a investigacao e desenvolvimento de ciencias,association for research and development of sciences
fia foundation for the automobile and soceity,fia foundation for the automobile and society
fib,foundation islands of the bay
"ficpi,",international federation of intellectual property attorneys
"fiji- fiji organic association,",fiji organic association
fiji fishing industries association,fiji fishing industry association
"fiji hotels and tourism association,",fiji hotels and tourism association
fiji locally managed marine area (flmma) network,fiji locally managed marine area
fiji locally managed marine area network,fiji locally managed marine area
fiji locally managed marine areas network,fiji locally managed marine area
filipino farmers union (fff) (philippines),filipino farmers union
finanzas ambientales internacionales,international environmental finance
finanzas ambientales internacionales (peru),international environmental finance
finnish institute of meteorology,finland
finnish institute of the environment,finland
finnish meteorological institute,finland
finnish natural resources institute,finland
"firm green energy, inc. (united states)","firm green energy, inc."
first choice holidays,first choice holidays
"first inst. of oceanography, state oceanic administration","first institute of oceanography, state oceanic administration"
fish food & allied workers unifor,fish food and allied workers
fish-i-africa,fish-i africa
"fishing community ""punta alegre"".","fishing community ""punta alegre"""
flanders marine institute (vliz),flanders marine institute
flemish government (flanders knowledge area),belgium
flexenergy inc. (united states),flexenergy inc.
flora & fauna international,fauna and flora international
flora municipality •,flora municipality
fmcn,"mexican fund for the conservation of nature, a.c."
foederation evangelischer kirchen in mitteldeutschland,federation of evangelical churches in central germany
folkestone and dover water (united kingdom of great britain and northern ireland),folkestone and dover water
fondacion marviva,marviva foundation
fondation 2019,foundation 2019
"fondation 2019,",foundation 2019
fondation ecociencia,ecociencia foundation
fondation ensemble,foundation together
"fondation ensemble,",foundation together
fondation goodplanet,foundation goodplanet
"fondation goodplanet,",foundation goodplanet
fondation malpelo et autres ecosystèmes marins,malpelo foundation and other marine ecosystems
"fondation malpelo et autres ecosystèmes marins,",malpelo foundation and other marine ecosystems
fondation nature et découvertes,nature and discoveries foundation
"fondation nature et découvertes,",nature and discoveries foundation
fondation pour la protection de la biodiversite marine,foundation for the protection of marine biodiversity
fondation pour la recherche sur la biodiversite,foundation for biodiversity research
fondation segre,secret foundation
fondation suisse mava,swiss foundation mava
fondation universitaire luxembourgeoise,luxembourg university foundation
fondation watertrek,foundation watertrek
"fondation watertrek,",foundation watertrek
fondazione crt,crt foundation
fondazione eni enrico mattei,eni enrico mattei foundation
fondo accion,action fund
fondo ecuatoriano populorum progressio,ecuadorian development of peoples reserve fund
fondo unido méxico,united mexico fund
fonterra,fonterra co-operative group limited
food agriculture organization,food and agriculture organization
food and agricultre organization,food and agriculture organization
food and agricultural organization,food and agriculture organization
food and agriculture industry,food and agriculture organization
food and agriculture organisation,food and agriculture organization
"food and agriculture organisation,",food and agriculture organization
"ford foundation,",ford foundation
foro ambiental de samana,environmental forum of samana
foro argentino de biotecnologia,argentine biotechnology forum
foro juvenil,youth forum
foro para la conservación del mar patagónico y áreas de influencia,forum for the conservation of the patagonian sea and areas of influence
forschungsstätte der evangeliscen studiengemenschaft,research center of the evangelical study community
"fortec,",national forum of innovation and technology transfer managers
fortune fish & gourmet,fortune fish and gourmet
"forum china europa,",forum china europa
forum de la mer,sea forum
"forum de la mer,",sea forum
forum for environment (ethiopia),forum for environment
forum for the conservation of the patagonian sea,forum for the conservation of the patagonian sea and areas of influence
Fórum Nacional de Gestores de Inovação e Transferência de Tecnologia,national forum of innovation and technology transfer managers
forum pessoas e organizacoes,forum people and organizations
forum pour la promotion des groupes ruraux,forum for the promotion of rural groups
"foundation center,",foundation center
foundation centre,foundation center
foundation for a living baltic sea/baltic sea action group (bsag),foundation for a living baltic sea/baltic sea action group
"foundation for alternative approaches to addiction, think & do tank","foundation for alternative approaches to addiction, think and do tank"
foundation for communication initiatives (philippines),foundation for communication initiatives
foundation for csr & children's rights,foundation for csr and children's rights
"france 
arpeje (france)",france arpeje
france arpeje (france),france arpeje
"france libertés,",france libertés
"france,",france
fraunhofer- institute for systems and innovation research,fraunhofer institute
fraunhofer- institute for systems and innovation research (isi) (germany);,fraunhofer institute
"french pacific fund,",france
"french polynesia - eden parc,",eden parc
french polynesia governement,french polynesia
french research institute for the exploitation of the sea,french research institute for exploitation of the sea
french society of plant physiology (sfpv) (france),french society of plant biology
frères des hommes,brothers of men
"friedrich-ebert-stiftung,",friedrich ebert stiftung
friends of conservation (),friends of conservation
friends of the earth,friends of the earth international
"friends-of-the-mariana-trench-marine-national-monument-(fomtm),",friends of the mariana trench marine national monument
front de libération nationale kanak et socialiste,kanak national and socialist liberation front
frum pessoas e organizaes,forum people and organizations
fttsa: fair trade in tourism south africa,fair trade in tourism south africa
fttsa: fair trade in tourism south africa (south africa),fair trade in tourism south africa
fundação calouste gulbenkian,calouste gulbenkian foundation
fundação dom cabral,fundação dom cabral
fundação fé e cooperação,faith foundation and cooperation
fundação getúlio vargas,getúlio vargas foundation
fundação joaquim nabuco,brazil
fundação maio biodiversidade (fmb),foundation may biodiversity
fundacao oasis cidade aberta (foca) (brazil),foundation oasis open city
fundacao oriente,east foundation
fundação roberto marinho -,foundation roberto marinho
fundação sos mata atlântica,sos atlantic forest foundation
fundacao universidade federal do rio grande,federal university of rio grande
fundacin banco ambiental - funbam (entidad privada),environmental bank foundation
fundacin marviva,marviva foundation
fundacin plenitud,abundance foundation
fundacin proantioquia,foundation proantioquia
"fundacin-promar,",foundation promar
fundacion ado,foundation ado
fundación agua y tierra,water and soil foundation
fundación almanaque azul,blue almanac foundation
fundacion ambiente y recursos naturales,foundation environment and natural resources
fundacion aquamarina,aquamarine foundation
fundacion argos,argos foundation
fundación avina,avina foundation
fundación bariloche,bariloche foundation
fundación bolivia exporta,bolivia exports foundation
fundación carlos sanz,carlos sanz foundation
fundación conama,conama foundation
fundacion del centavo,penny foundation
"fundación del empresariado yucateco, a.c.","yucatecan business foundation, a.c."
"fundación del empresariado yucateco, a.c.;","yucatecan business foundation, a.c."
fundacion icri colombia en pro de los arrecifes coralinos,colombia foundation for coral reefs
fundación internacional de pesca,international fisheries foundation
fundación islas de la bahía,foundation islands of the bay
fundacion malpelo y otros ecosistemas marinos,malpelo foundation and other marine ecosystems
fundacion manuel mejia,manuel mejia foundation
fundacion mario santo domingo,foundation mario santo sunday
fundacion marviva,marviva foundation
fundación marviva,marviva foundation
"fundación merced querétaro, a.c.","merced foundation querétaro, a.c."
"fundación merced querétaro, a.c.;","merced foundation querétaro, a.c."
fundación metropolitana,metropolitan foundation
fundación mexicana para el desarrollo rural,mexican foundation for rural development
"fundación mexicana para la planeación familiar, a.c.","mexican foundation for family planning, a.c."
fundacion mundo azul,blue world foundation
fundacion origen,origin foundation
fundacion para el desarollo de base,foundation for grassroots development
fundacion para el ecodesarrollo y la conservacion,foundation for ecodevelopment and conservation
fundación para la protección del mar,foundation for the protection of the sea
fundacion paraguaya,paraguayan foundation
fundación paraguaya,paraguayan foundation
fundacion patagonia natural,natural patagonia foundation
fundacion solar,solar foundation
fundación solar,solar foundation
fundacion solar (guatemala),solar foundation
fundación taiguey: tecnologías apropiadas y desarrollo comunitario,taiguey foundation: appropriate technologies and community development
fundación taiguey: tecnologías apropiadas y desarrollo comunitario (dominican republic),taiguey foundation: appropriate technologies and community development
fundacion temaikn,temaikn foundation
fundacion terram,terram foundation
fundación torcuato di tella,torcuato di tella foundation
fundacion toriello,foundation toriello
fundacion universitaria del area andina,university foundation of the andean area
fundación vida silvestre argentina,argentine wildlife foundation
fundacion volvamos a la gente,let's go back to the people foundation
fundación xignux,xignux foundation
fundao aip;,aip foundation
fundao eurocean,eurocean
fundao maio biodiversidade,foundation may biodiversity
fundao montepio;,montepio foundation
fundao tartaruga,founding tartaruga
fundesa: fundacion para el desarrollo de guatemala,fundesa: foundation for the development of guatemala
fundesa: fundacion para el desarrollo de guatemala (guatemala),fundesa: foundation for the development of guatemala
fundmore merchant bank (united kingdom of great britain and northern ireland),fundmore merchant bank
fundy north fisheries association,fundy north fishermen's association
fundy north fishermens association,fundy north fishermen's association
g.a.s. energietechnologie gmbh (germany),g.a.s. energietechnologie gmbh
game 6 (united kingdom of great britain and northern ireland),game 6
"gammeter druck & verlag,",gammeter druck and verlag
gansu natural energy research institute (gneri) (china),gansu natural energy research institute
gardes energy services inc. (united states),gardes energy services inc.
gasnor •,gasnor
"gavi (the vaccine alliance),",gavi (the vaccine alliance)
gavi alliance,"gavi, the vaccine alliance"
gef sgp small grant programme,global environment facility
gef small grants program,global environment facility
gender and water alliance (gwa) (netherlands),gender and water alliance
gender water alliance,gender and water alliance
gendercc - women for climate justice;,gendercc - women for climate justice
general fisheries commission for the mediterranean (gfcm) -,general fisheries commission for the mediterranean
"geocensos,",geocensos
geological society of australia (gsa) (australia),geological society of australia
geological society of japan (japan),geological society of japan
geological society of london (united kingdom of great britain and northern ireland),geological society of london
geological survey of denmark and greenland,geological survey of denmark and greenland
geologische vereinigung,german geological society
geologische vereinigung (germany),german geological society
geologists' association (united kingdom of great britain and northern ireland),geologists' association
geomin,geomin
"geopoll,",geopoll
geota;,study group on spatial planning and environment
german federal highway research institute,germany
gesellschaft deutscher chemiker,society of german chemists
gesellschaft deutscher chemiker (gdch) (germany),society of german chemists
"gesellschaft-zur-rettung-der-delphine-e.v.-(grd)/society-for-dolphin-conservation,",society for dolphin conservation
get information technology gmbh (germany),get information technology gmbh
"ggs indraprastha university, india",ggs indraprastha university
ghana energy foundation (ghana),ghana energy foundation
"gican,",construction industries and naval activities group
giek •,giek
"givewatts,",givewatts
glaxosmith klein,glaxosmithkline
global alliance for clean cooking stoves,global alliance for clean cookstoves
global carbon b.v. (netherlands),global carbon b.v.
"global challenge award, inc.,","global challenge award, inc."
"global development network,",global development network
global environment and technology foundation (united states),global environment and technology foundation
global environment facility (gef);,global environment facility
global environmental facility,global environment facility
global environmental facility (gef) (united states);,global environment facility
global environmental fund,global environment facility
global environmental fund small grants program,global environment facility
global e-schools and communities initiative (gesci),global e-schools and communities initiative
"global fund to fight aids, tuberculosis and malaria","global fund to fight aids, tuberculosis, and malaria"
"global health 2030 innovation task force,",global health 2030 innovation task force
"global health council,",global health council
"global integrity,",global integrity
"global lighting and energy access program (g-leap),",global lighting and energy access program
global nature fund ? international living lakes network (germany),global nature fund
global ocean biodiversity initiatives,global ocean biodiversity initiative
global ocean forum commitment on capacity building for integrated ocean governance,global ocean forum
global oil (united states),global oil
"global open data for agriculture and nutrition (godan),",global open data for agriculture and nutrition
global organisation of parliamentarians against corruption (gopac),global organization of parliamentarians against corruption
global penguin society (gps),global penguin society
