TITLES,REGISTRATION,GOALS,DESCRIPTION,PARTNERS,COUNTRIES,SDG 14 TARGETS COVERED,OCEAN BASINS,BENEFICIARY COUNTRIES,OTHER BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organizational learning and entrepreneurs empowerment in Clermont-Ferrand (Singes Bleus) - United Nations Partnerships for SDGs platform,Registered: 22 October 2019,['Goal 8'],"
Description/achievement of initiative

The initiative aims to create a learning organization of entrepreneurs who want to create their business. We encourage exchanges between members with modern techniques of desgin thinking and agile and collaborative management. Far from the standards of start-ups that raise millions, we act for the dynamism of our local eco-system and the success of each one.
 

 


Implementation methodologies



There are several learning levers for our organization. The first is to promote inter-personal exchanges, for which we have set up a portfolio of skills that everyone can consult online. A mentoring system has been set up to promote free skills training. The support function is responsible for facilitating exchanges and re-launching people who are registered in this local mentoring program.
4 times a year we organize a summary of the transactions that have been made and the different types of partners propose ways to improve these exchanges.
These exchanges are then stored in our online searchable database where we also store the knowledge our members need.
Thereafter we organize training sessions and conferences that our members provide in order to finish the knowledge transmission loop.



Arrangements for Capacity-Building and Technology Transfer 


Our members carry the initiative locally by word of mouth, the goal being to reach the maximum of freelancers and entrepreneurs in our city. We do not sign contracts and are open to any partnerships of structures already existing in our city. The goal is to strengthen the transmission of knowledge by implementing best knwoledge transfer practices that exist but are not being implemented at the moment. There are silos between the different groups that exist and our goal is to break these silos. Our learning platform is open to everyone and we are looking for people from different eco-systems to become ambassadors.



Coordination mechanisms/governance structure


Our governance is democratic and for that reason we are structured in association. The members are equal, regardless of the capital invested in the company. We set up a dues system to help entrepreneurs who have less turnover. Governance helps in the technical aspects (internet, administrative and financial). Thus the barriers are lifted to allow everyone to succeed in entrepreneurship. We meet 4 times a year for open meetings that bring together technical support members, contributors and their clients. Customers are also actors in our cooperative! We organize trainings that help them better understand their needs and the effort that everyone must provide.


Partner(s)


Singes Bleus, phosophoriales, Bobos noirs, l'affinerie, GRIN, Link Us, L'impromptu Café, yoga latitude, Clermont Métropole, ESC Clermont-Ferrand, le collectif des possibles, le connecteur, tech4good, bougna data, Ink,

","['Singes Bleus', ' phosophoriales', ' Bobos noirs', "" l'affinerie"", ' GRIN', ' Link Us', "" L'impromptu Café"", ' yoga latitude', ' Clermont Métropole', ' ESC Clermont-Ferrand', ' le collectif des possibles', ' le connecteur', ' tech4good', ' bougna data', ' Ink', '']",[],,,,
Ensuring climate resilient water supplies in the Comoros Islands - United Nations Partnerships for SDGs platform,Registered: 22 October 2019,['Goal 13'],"
Description/achievement of initiative

The country is highly vulnerable to climate effects such as cyclonees, erosion, flash floods and droughts. Rising temperatures will also reduce water availability and cause saline intrusion from rising sea levels. This project will strengthen the national governance of water by intergrating climate change into the country&#39;s new water code. This will include integrating climate information into revised water regislation reforms and upgrading tariff reforms to include the additional costs of reducing climate risks. Enhanced climate-resilient water infrastructure will incorporate expanded water storage tanks to store more water through longer dry periods.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The Project Steering Committee, led by MEAPEATU, will be responsible for approving program activities. Based on the approved activities, the Project Management Unit (PMU) will ensure the provision of funds to all institutions/organizations for their respective activities. All executing agencies will be responsible for managing tasks allocated to their institution/organization.
The UNDP Comoros Programme Officer will be responsible for Project Assurance. In addition, the Government of Comoros has requested UNDP to provide direct project services for this project. The UNDP and Government of Comoros acknowledge and agree that those services are not mandatory and will be provided only upon Government request and specified in the Letter of Agreement. The letter of agreement is annexed to the project. The direct project services will follow UNDP policies on the recovery of direct project costs relating to GCF funded projects. The UNDP country office provides support services for the implementation of project activities, including assistance in reporting and direct payment. In doing so, it must ensure that the capacity of the Government (the Implementing Partner) is strengthened.
The Project Steering Committee (PSC) established by a Ministerial Order will be directed by MEAPEATU and will be responsible for approving reports and activities. It will also provide guidance for proper implementation of the project. Members of the Project Steering Committee will include UNDP, representatives from the Ministries of Environment, Economy, Transport, Health and Interior as well as MA-MWE, UCEA, UCEM and EDA. The PSC will be responsible for making management decisions for the project, in particular when guidance is required by the PMU. The PSC plays a critical role in project monitoring and evaluation by quality-assuring processes and products and using evaluations for performance improvement, accountability and learning. The Committee will convene 2 times per year. Representatives from other institutions/organizations such as local Water User Associations can be included in the PSC as appropriate.
The Project Manager has the authority to run the project on a day-to-day basis. The PM is accountable to UNDP, the IP and the PSC for the quality, timeliness and effectiveness of the activities carried out, as well as for the use of funds. He/she will also be responsible for coordinating budgets and work plans at the island level with the Island Coordinators.


Partner(s)


United Nations Development Programme (UNDP)
Ministry of Energy, Agriculture, Fisheries, Environment, Country Planning and Urbanism (MEAPEATU) COMOROS

","['United Nations Development Programme (UNDP)\nMinistry of Energy', ' Agriculture', ' Fisheries', ' Environment', ' Country Planning and Urbanism (MEAPEATU) COMOROS']",[],,,,
India plans to produce 175 GW of renewable energy by 2022 - United Nations Partnerships for SDGs platform,"Start: 01 January, 2016","['Goal 7', '\n\n\nGoal 13']","
Description

                            The Government of India  has set a target of installing of installing 175 GW of renewable energy capacity by the year 2022, which includes 100 GW from solar, 60 GW from wind, 10 GW from bio-power and 5 GW from small hydro-power.

The Ministry of Urban Development had requested all States & UTs, in 2014 to issue necessary directives to all State Government Departments for using rooftop of buildings under their control for solar power generation on mandatory basis and also to local bodies under their jurisdiction to incorporate the similar provision in their building bye-laws so that installation of Roof Top Systems (RTS) on rooftops of all types of buildings in their jurisdiction may become mandatory. Further, the Ministry of Urban Development also issued Model Building Bye-Laws, 2016, in which suitable provisions for installation of RTS on buildings have been incorporated. Four States/UTs viz. Haryana, Chandigarh, Uttar Pradesh and Chhattisgarh have already issued mandatory notifications for installation of RTS in different categories of buildings.

The Capacity Utilization Factor (CUF) of solar power projects is less than thermal, hydro, nuclear, wind and bio-mass power projects. The Government has launched several schemes for promotion and development of renewable energy including solar energy in the country from time to time.   The Government is promoting development of solar energy in the country by providing various fiscal and promotional incentives such as accelerated depreciation, waiver of Inter State Transmission System (ISTS) charges and losses, financing solar rooftop systems as part of home loan, and permitting Foreign Direct Investment up to 100 per cent under the automatic route.
                        
Expected impact

                            India has been targeting to add large-scale conventional power capacities, as alternatives were very costly. Now, however, with solar and wind power becoming commercially viable in comparison to marginal mainstream sources (particularly imported coal, and nuclear based generation), there are additional choices available to policymakers concerned with the technical, economic, and environmental characteristics of a future power system that can keep pace with the economic growth. In view of the above, India’s Intended Nationally Determined Contribution (INDC) aims to base 40% of the total installed power generation capacity on non-fossil fuel resources by 2030 with international support on technology transfer and financing. This includes Government of India’s ambitious target of achieving 175GW of RE by the year 2022 that marks 75 years of our independence.
                        
Website

https://niti.gov.in/writereaddata/files/175-GW-Renewable-Energy.pdf

",[''],"['SIDDHARTH MALIK, Mr., SIDMALIK.UN@GMAIL.COM, 9173455278']",,,,
learn Mathematics and Science - United Nations Partnerships for SDGs platform,Registered: 21 October 2019,"['Goal 4', '\n\n\nGoal 10']","
Description/achievement of initiative

After Class Assist is committed to ensuring that all youth receive an equal, quality education. To give the youth an opportunity to excel in Mathematics and Science in order to qualify for University requirements and enter into university. We look to empowering High school learners from previously disadvantaged areas such as townships and rural areas with information, skills and knowledge to improve their marks and prepare them for university education.  We want to eliminate fails in grade twelve/senior high school level in order to improve pass rates and assist them in applying into Univerity.
 

 


Implementation methodologies



After Class Assist is a Tutoring and mentoring programme designed to give quality tutoring to underprivileged High school learners and junior high school learners to prepare them for Univerity and improve the department of Education pass rate in High schools. 

The education system of South Africa can improve through such initiatives and we are prepared to give quality education to all. After Class Assist strives for excellence and is determined to increase high pass rates in schools and ensure that 100% of learners entering into high school each year will complete school and will be able to be admitted to Univerity or any other Higher Education Institution. 

We train and equip the learners with workshops and mentors to easily navigate the challenges of adolescence and high school pressure.  Weekly tutoring and monthly workshops are held for teenagers at respective venues which encourage learning such as libraries and university auditoriums.



Arrangements for Capacity-Building and Technology Transfer 


Facilities are needed as many libraries cannot occupy all the learners meaning that we require to have more meetings than anticipated. We are looking to find land and build a fully finished Youth Centre for the community of Attridgevill where all our programmes can run. We need laptops, printers, stationery for the learners, maths, science and English Textbooks and study guides. A mini-bus to fetch the learners from their homes and drop them off safely as the areas which kids travel from are often far or dangerous.  Internet and funds to promote adverts regarding the things we do and how we work. Funds to run the website continuously and funds to pay staff members.



Coordination mechanisms/governance structure


After Class Assist is a programme created by True Butterfly (Girl Programme), a Non-Profit organization founded and registered in 2013 to empower the youth in academics, social issues, unemployment, skills development and Entrepreneurship. We equip the youth with skills they need to be responsible and effective citizens. The director Nadia Malatjie manages a team of Ten members/volunteering staff. six of the ten members/volunteering staff are tutors, we have a programmes coordinator, an administrator, Marketing manager and a facebook administrator. The small team works during the week and on weekends. Asie from the team we have three board members comprising of the Treasurer, The director and the Secretary. 

The Board of directors meets twice a year to discuss governance and strategies on how to improve the organization while the managing team meets bi-weekly to discuss issues pertaining to the programmes run within the organization. 

Meetings are recorded and meeting minutes are sent out to the respective members for tasks ad to keep everyone accountable.

Meeting minutes and reports are sent to the Department of Social Development South Africa for compliance.


Partner(s)


After Class Assist, True Butterfly Girl Programme, Skill-Up Tutors.

","['After Class Assist', ' True Butterfly Girl Programme', ' Skill-Up Tutors.']",[],,,,
Tonga Renewable Energy Project under the Pacific Islands Renewable Energy Investment Program - United Nations Partnerships for SDGs platform,Registered: 21 October 2019,['Goal 7'],"
Description/achievement of initiative

This project aims to help Tonga move away from fossil fuels and shift to renewables. The project will deliver utility-scale storage systems to provide base load response and grid stability, paving the way for more renewable energy integration in the main island, while green mini-grids will be installed in the outer islands. While stabilising the grid, this project will particularly address the intermittency of variable renewable energy sources, thus laying the foundation for private sector investments in renewable energy in Tonga.
 

 


Implementation methodologies



The project executing entities will be (i) the MFNP for the overall project implementation, especially for disbursement of funds; (ii) Tonga Power Limited (TPL) for Outputs 1 and 2; (iii) and the Ministry of Meteorology, Energy, Information, Disaster Management, Climate Change and Communications (MEIDECC) for Output 3. TPL and MEIDECC will be joint executing entities for Output 4 (Project Management Capacity Building). The PMU established in MEIDECC under the ongoing OIREP will also be the TREP-PMU. Figure 10 illustrates the project organizational arrangements.

The PMU will provide the project management services to all executing entities. An Environment and Social Unit (ESU) will be formed by the PMU and will be tasked with all social and environmental monitoring and reporting for TREP. This will include regular environmental audits for all construction activities, as well as monitoring of all project activities in relation to resettlement and gender. The PMU will be staffed by (but not limited to) the following: a Project Manager; Ongrid Team Leader; Off-grid Team Leader; Administrative Officer; Financial and Procurement officer; and Environment and Social Safeguards Officer. Under Output 4, both project management consulting (PMC) and construction supervision consulting (CSC) services will be mobilized and, financed under TREP, to support PMU operations and support the capacity building activities. These organizational arrangements are designed to ensure optimal technology transfer and capacity development of MEIDECC, TPL staff and staff of other Tongan stakeholders.



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


The Government of Tonga will be the grant beneficiary, represented by the Ministry of Finance and National Planning (MFNP). Under the direction of the MEIDECC Minister, a Project Steering Committee (PSC) will be established. The CEO of the MEIDECC will chair the PSC. The PSC members are: CEO of Ministry of Public Enterprises (MPE); CEO of Ministry of Finance and National Planning (MFNP); Head of the ED; CEO of TPL; ADB representative, and; Australian High Commission (AHC) representative.

The Accredited Entity, ADB, and GCF shall enter into a funded activity agreement (FAA) after approval of (i) this funding proposal by the GCF Board; and (ii) the administration of the GCF grant by the ADB Board. After the FAA is signed by both ADB and GCF, ADB will enter into a Grant (subsidiary) Agreement with MFNP and a Project (subsidiary) Agreements with TPL. A representative from each co-financier would be allowed to participate in PSC meetings as observer.


Partner(s)


Asian Development Bank (ADB)
Ministry of Finance and National Planning (MFNP) TONGA
Ministry of Meteorology, Energy, Information, Disaster Management, Climate Change and Communications (MEIDECC) TONGA

","['Asian Development Bank (ADB)\nMinistry of Finance and National Planning (MFNP) TONGA\nMinistry of Meteorology', ' Energy', ' Information', ' Disaster Management', ' Climate Change and Communications (MEIDECC) TONGA']",[],,,,
Pacific Resilience Project Phase II for the Republic of the Marshall Islands - United Nations Partnerships for SDGs platform,Registered: 21 October 2019,"['Goal 9', '\n\n\nGoal 13']","
Description/achievement of initiative

The Republic of the Marshall Islands is threatened by sea level rise, changes in wave and storm patterns, and coastal inundation. The project will focus on enhancing the resilience of coastal infrastructure in the densely populated areas of the capital Majuro and the island of Ebeye. It will include strengthening institutions and improving access to early warning and disaster preparedness. The proposed coastal infrastructure intervention has been shown to be the only feasible option to protect people and assets against sea level rise and storms.
 

 


Implementation methodologies



RMI will be responsible for implementing activities under each component of the Project. The institutional framework will include the National Steering Committee (NSC), headed by a Chairperson, which will comprise the National Disaster Committee (NDC) and representatives from the National Climate Change Committee (NC3). The NSC will also have representatives from Kwajalein atoll. The NSC will govern the Project at the national level and will provide the oversight and guidance for the project implementation. The Chief Secretary Office (CSO) will act as the secretariat to the NSC. The NDC and CSO will be responsible for ensuring strategic coordination between the key implementing agencies.

Ministry of Finance (MoF) will be responsible for the overall coordination of project activities, along with the implementation of activities under Components 1, 3 and 4. Ministry of Public Work (MPW) will be responsible for implementing activities under Component 2. Both MoF and MPW will liaise closely with the Chief Secretary Office. Other key line agencies include the National Disaster Management Office (which is part of the CSO), the National Weather Service, the Environmental Protection Authority, the Kwajalein Local Government, and the Kwajalein Atoll Development Agency, with potential for others to be added in the future.

A Project Implementation Unit (PIU) will be established within MoF/Division of International Development Assistance (DIDA) and include a Project Manager, a Safeguards Advisor, a Project Accountant and a PIU Liaison Officer who will be based in Ebeye. The Project Manager will assist the MoF project coordination and manage the day-to-day implementation of the PREP activities for RMI, including procurement activities for Component 1, 3, and 4 with support from the Regional Program Support (PSU) in SPC. The Environmental and Social Safeguards Advisor will oversee and independently audit implementation of the ESMF and RPF. Technical staff will be recruited, as necessary, to support implementation of Components 1 and 2. In particular, a specialized Coastal Engineering Design and Supervision (D&amp;S) Firm, will be recruited by MPW for Component 2. The D&amp;S Firm will work closely with the both the PIU (particularly the PIU Liaison Officer) and MPW, and will be responsible for planning, capacity building, design, environmental and social impact assessment, land access due diligence and documentation, procurement, contract management and supervision of coastal protection works and investments (including the implementation of the Environmental and Social Management Plan).



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Partner(s)


International Bank for Reconstruction and Development and International Development Association (World Bank)
Ministry of Finance MARSHALL ISLANDS
Ministry of Public Works MARSHALL ISLANDS

",['International Bank for Reconstruction and Development and International Development Association (World Bank)\nMinistry of Finance MARSHALL ISLANDS\nMinistry of Public Works MARSHALL ISLANDS'],[],,,,
"Integrated physical adaptation and community resilience through an enhanced direct access pilot in the public, private, and civil society sectors of three Eastern Caribbean small island developing states - United Nations Partnerships for SDGs platform",Registered: 21 October 2019,"['Goal 9', '\n\n\nGoal 13']","
Description/achievement of initiative

Antigua and Barbuda, Dominica and Grenada are three Small Island Developing States facing challenges to adapt to climate change-related threats such as more intense hurricanes, higher temperatures, and lower overall rainfall. Small grants for community organizations, together with revolving loans for households and businesses, will improve the resilience of infrastructure to withstand category 5 hurricanes. A funding mechanism for public infrastructure (including drainage and irrigation) and ecosystems will also reduce disruptions in the water system and improve soil and water conservation, which are all threatened by the results of climate change.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


Partner(s)


Department of Environment, Antigua and Barbuda
Ministry with Responsibility for Environment, Dominica
Ministry with Responsibility for Environment, Grenada

","['Department of Environment', ' Antigua and Barbuda\nMinistry with Responsibility for Environment', ' Dominica\nMinistry with Responsibility for Environment', ' Grenada']",[],,,,
Water Sector Resilience Nexus for Sustainability in Barbados (WSRN S-Barbados) - United Nations Partnerships for SDGs platform,Registered: 21 October 2019,['Goal 6'],"
Description/achievement of initiative

WSRN S-Barbados will increase water security via the installation of photovoltaic solar and backup natural gas power for pumping stations, while implementing climate resilience actions in the water sector, including through a water sector master plan, enhancing infiltration, and by reducing non-revenue water and improving overall water management. An adaptation fund, set up with operational cost savings from implementing the renewable energy activities, will provide credit lines to implement water conservation actions, whilst other activities will build public awareness to achieve more sustainable water usage.
 

 


Implementation methodologies


Arrangements for Capacity-Building and Technology Transfer 


Within this project there are provisions for intricate collaboration among key educational institutions that have contributed to the development of the water sector of Barbados. With these institutions working together, this is the BWA, University of West Indies, Cave Hill Campus (UWI-CHC) and University of South Florida (USF), it is anticipated that a sharing platform will be developed that will incubate the generation of novel ideas in the effort to combat the impact of climate change and also to propel the discussion on climate change adaptation and mitigation.
This project proposes to gather the relevant human resources from these institutions and form a team of scientists and engineers to drive the in-depth operational research to build capacity. This is to aim to realize innovative measures to ensure that the knowledge gaps, (with respect to integrated energy-water management that reduces impact of Climate Change in the Caribbean region), that are discovered can be filled though south-to-south learning initiatives. It is advantageous in some aspect that Barbados has the highest Human Development Index in the Caribbean. In this manner, Barbados can serve as a brilliant example to be a model for south-to-south cooperation for the rest of the Caribbean in these water sector initiatives. In this regard, the dissemination of knowledge would not only be at the employee level with practical and theoretical training; but must also ensure that the various stakeholders are involved in the knowledge strengthening. In this manner it is only then possible to ensure that there is a behavioral change that this project also seeks to have as an impact on the local community of Barbados.
The proposed capacity building component will train persons in energy efficiency, water loss reduction, resilience response programme, and rainwater harvesting. Additionally, it will organize education/outreach activities and deliver via seminars and workshops to communities and government agencies as well as foster research for use in informing development. Of these initiatives it is important that the documentation of the project progress be a resource that everyone who is interest can access due to the valuable information that can be contained in the document.



Coordination mechanisms/governance structure


Partner(s)


Caribbean Community Climate Change Centre (CCCCC)
Barbados Water Authority (BWA)

",['Caribbean Community Climate Change Centre (CCCCC)\nBarbados Water Authority (BWA)'],[],,,,
Reduction of the multidimensional poverty index in rural communities in southern Honduras - United Nations Partnerships for SDGs platform,"Start: 01 April, 2019","['Goal 1', '\n\n\nGoal 2', '\n\n\nGoal 3', '\n\n\nGoal 4', '\n\n\nGoal 5', '\n\n\nGoal 6', '\n\n\nGoal 8', '\n\n\nGoal 13', '\n\n\nGoal 15', '\n\n\nGoal 16', '\n\n\nGoal 17']","
Description

                            Agrolíbano has a Social Investment Policy aligned to the SDGs, which is implemented by the Agrolíbano Foundation. Until July 2018, the impact recorded is reflected in 4 indicators: Reduction of the population index in extreme poverty (by income) from 49.3% in 2013 to 45% in 2018. Decrease in the global malnutrition rate in children under 3 years of age. 14.7% in 2013 to 6.5% in 2018. Reduction of the infant mortality rate from 29 / 1000nv in 2013 to 13 / 1000nv in 2018. Reduction of illiteracy by 60%, decreasing from 12% in 2013 to 4.8% in 2018. 
With the vision of implementing a business model of social investment that promotes well-being to those left behind, we focus our efforts on actions to reduce multidimensional poverty. Thus, in 2018 we conducted a study of the IPM - Multidimensional Poverty Index in 100% of the neighboring communities, resulting in 0.43, with an incidence of 89% and an intensity of 48.09%. We have applied the analysis of the deprivations found in the study to the strategic plan that from 2019 to 2023 will allow us to contribute to the sustainable human development of the population, through a comprehensive approach to the dimensions related to multidimensional poverty in the rural area of the southern zone of Honduras.
This plan is composed of 6 programs, which according to dimension are detailed as follows:
Dimension: standard of living 
•	Program: Strengthening citizen participation for peace and development Action: 1- Strengthening leadership in communities 2- Accompaniment for the development and management of Community Development Plans with a comprehensive approach and integrated management
•	Program: Local economic development: 1- Strengthening of Rural Savings and Credit Funds 2- Promotion of entrepreneurship 3- Strengthening of agricultural production as an income-generating economic activity
Dimension: Health
•	Program: Comprehensive early childhood care Action: 1- Child Nutrition 2- Initial education - early stimulation 3- Pre-basic education
•	Program: Healthy families Action: 1- Promotion of sexual health and reproductive health 2- Healthy housing - water and sanitation 3- Food security and healthy lifestyles 4- Health committees - community participation 5- Improved attention to health problems unattended health
Dimension: Education 
•	Program: Five Star Schools Action: 1- Pedagogical and organizational strengthening 2- Promotion of a Culture of Peace through art, culture and sport 3- School health 4- School environmental responsibility 5- Infrastructure improvement.
•	Program: Access to education for groups in social exclusion. Action: 1- Literacy 2- Non-formal education alternatives to improve coverage of basic education.
To measure the results of the programs there is a monitoring system based on 17 indicators that are measured annually, some of these indicators reflect the change observed in the deprivations linked to multidimensional poverty.

Expected impact

                            We hope that the actions contribute to reducing the IPM - Multidimensional Poverty Index, from 0.43 which is currently, to less than 0.40 in the year 2023. To verify, we commit ourselves to periodically measure the IPM and that its results guide us to the necessary adjustments to ensure that these programs contribute to the SDG targets by 2030 in Honduras.
                        
Website

                            www.agrolibano.com
                        
",['Población del área rural de la zona sur de Honduras'],"['Pamela Molina, Directora Ejecutiva, pamelamolina@agrolibano.com, 00504 9990 9891']",,,,
Building a movement for legal empowerment - United Nations Partnerships for SDGs platform,"Start: 15 September, 2019","['Goal 1', '\n\n\nGoal 3', '\n\n\nGoal 4', '\n\n\nGoal 5', '\n\n\nGoal 6', '\n\n\nGoal 8', '\n\n\nGoal 9', '\n\n\nGoal 10', '\n\n\nGoal 11', '\n\n\nGoal 13', '\n\n\nGoal 16', '\n\n\nGoal 17']","
Description

                            More than five billion people around the world are denied meaningful access to justice. They are driven from their land, denied basic services, and intimidated by violence. Namati and members of the Global Legal Empowerment Network will advance justice by equipping people to understand, use, and shape the laws that affect them.

Legal empowerment efforts are often carried out by community paralegals, who go by many names, including barefoot lawyers or community legal workers. They are trained in law and policy and in skills like mediation, organizing, and advocacy. They help people to seek concrete solutions to instances of injustice, engaging formal and traditional institutions alike. 

Community paralegals are essential to closing the global justice gap. They have proven that they can help communities to access justice, even when systems are broken. With the law on their side, people are able to thrive, seek peaceful solutions, protect the lands and resources they depend on, and hold their governments to account. 

The Global Legal Empowerment Network will strengthen and connect community paralegals, and the organizations that deploy them, around the world. We will build spaces for them to meet and collaborate online and in-person. We will host events and activities that help them learn from each other. We will maintain a library of useful resources. We will collectively advocate  to secure support and sustainable funding for the field. 

Namati will also work in close partnership with network members to take on three urgent issues - health justice, land and environmental justice, and citizenship justice - in six countries: Kenya, India, Myanmar, Sierra Leone, Mozambique, and the United States. 

Together with the communities we serve, we will strive to translate the lessons from our grassroots experience into positive, large-scale changes to laws and systems. We will share everything we learn from our grassroots work with our wider community. 

By unlocking the potential of community paralegals who provide essential legal support to communities, we will help to make justice a reality for the billions who are being left behind.
                        
Expected impact

                            Namati, the members of our network, and the communities we serve will grow the Global Legal Empowerment Network into a powerful movement for justice. We will also aim to achieve transformative impact in at least six countries.

The Global Legal Empowerment Network will engage thousands of members in activities that advance the field of legal empowerment, including collaborative learning, programming, research, community-building, and advocacy. We will support hundreds of grassroots organizations with meaningfully deepening the impact, sustainability, or quality of their legal empowerment work. We will transform the policy environment for legal empowerment. In particular, we will work to increase financing and protection for justice defenders at national, regional and global levels. 

Meanwhile, in Sierra Leone, by supporting communities in protecting their customary land rights, we will significantly reduce environmental and social harm from mining, agricultural, or development projects. We will change policy nationwide so that people who depend on the land have a meaningful voice in what happens to it. In Kenya, where paralegals are helping communities to secure IDs, we will work to end discrimination in the administration of identity documents. We will also bring a historic community land law to life by helping communities to secure over a million hectares of land and persuading county governments to implement the law. In Mozambique, where paralegals are helping people to understand health policy and to take action to address failures to comply, we will significantly reduce violations and democratize health governance nationwide though the empowerment of village health committees. In India, we will empower communities to use the law to find remedies when industrial projects violate environmental regulations, as well as to demand a more effective and participatory regulatory framework. In Myanmar, community paralegals support farmers to navigate complex administrative processes for regaining access to land that was seized during military rule. There, we will strive to replace a top-down, repressive system of land governance with one that respects the experience and voice of those who depend directly on the land.
                        
Website

https://namati.org

","['Our activities will not only strengthen member NGOs making use of legal empowerment methods', ' but also the diverse communities that these organizations serve.']","['Abigail Moy, Director, Global Legal Empowerment Network, abigailmoy@namati.org, 202-888-1088']",,,,
Initiative for Dyslexia Augmented Reality Campaign Awareness - United Nations Partnerships for SDGs platform,Registered: 21 October 2019,['Goal 4'],"
Description/achievement of initiative

This initiative are designed with the aim to assist the development of the levels of Dyslexia through the innovation of the Augmented Reality (AR), for in the learning institutes in Malaysia as an effort to disseminate empathy and awareness to the learning difficulties and challenges, that aims to transform these definitions into learning differences. 
The objectives are: 1. To clearly define the dyslexia condition which afflicted of learning students among parents and educators in education sectors in Malaysia. 2. To create awareness among Malaysian in the importance of learning challenges and key influence on changes for education methodology of education.
 

 


Implementation methodologies



1. Development of the visual narratives of dyslexia through graphic novel and short stories (3 months)
2. Development of the application to accommodate the formation of the book. (3 months)
3. Disseminate the awareness through actual on-the-ground campaigns. Workshops, seminars, and gamifications occurs in the process (1-year)



Arrangements for Capacity-Building and Technology Transfer 


Coordination mechanisms/governance structure


1. The UCSI University through the De Institute of Creative Arts & Design (ICAD), is the educational institution who provide the expertise in innovating the application of the visual illustration into the levels of dyslexia (entitled as BOOX) and promoting the empathetic awareness to the parents and educators in the difficulties that students are facing dyslexia.

ICAD acted as the main initiator responsible in conducting the initiatives, together with Universitas Multimedia Nusantara of Indonesia (UMN), the Persatuan Dyslexia Malaysia, the Elite Tutors Indonesia, and the Idrissi International Islamic School. 

2. The Persatuan Dyslexia Malaysia (PDM), and the Elite Tutors of Jakarta Indonesia (DSI) will provide data and information regarding to the dyslexia afflicted conditions that is the current challenges faced not only by the students, but to the stakeholders such as educators and the afflicted parents. 

DSI's and the PDM data shows that the cases of dyslexia afflicted learners are often left unattended and unsupported to their learning difficulties. Delayed treatment will develop much more severe learning conditions which the learners will face difficulties in calculation and coordinations. Hence the crucial efforts must be done in order to raise the awareness of the learning difficulties through the recognition in the types and levels of dyslexia.

3. The Idrissi International School located in Setia Alam, Shah Alam, Selangor, Malaysia is a school which has the holistic practise for the teaching through centralising in learning through memorising and repetitive structure of learning through character visual stimulation. The introduction of BOOX in the school, aim to promote a stimulating visual process of creating the dyslexia awareness that will need to trajectory of the project forward, thus would popularize the necessary platform to other learning institutions.


Partner(s)


De Institute of Creative Arts & Design (ICAD), UCSI University; Universitas Multimedia Nusantara, Jakarta, Indonesia; Persatuan Dyslexia Malaysia (PDM);   Elite Tutors of Jakarta Indonesia (DSI)

","['De Institute of Creative Arts & Design (ICAD)', ' UCSI University; Universitas Multimedia Nusantara', ' Jakarta', ' Indonesia; Persatuan Dyslexia Malaysia (PDM);   Elite Tutors of Jakarta Indonesia (DSI)']",[],,,,
Impact Leaders Club University of Calabar/ Impact Your World Leadership Initiative - United Nations Partnerships for SDGs platform,Registered: 19 October 2019,"['Goal 1', '\n\n\nGoal 3', '\n\n\nGoal 4']","
Description/achievement of initiative

The club and Association was created to help students to hone their innate potential and leadership skills for the ultimate purpose of making tangible and lasting impact in their immediate communities and broaden their sphere  of influence
 

 


Implementation methodologies



The Impact Leaders Club, organizes outreach monthly and all the various directorates are  compared to organise events for its members, Organize events for various schools and collaboration with other bodies( student union government, ministeries, NGOs, Government bodies etc).

We search for needs in communities and strategise the way out  , seek for funds if need be , then mobilize members for the event .

We have training sections for members periodically



Arrangements for Capacity-Building and Technology Transfer 


We employ quest  speakers and other machineries for the smooth running of any event we intend to organise.  and through our sponsor we give out books and other releaf materials to enhance maximum impact



Coordination mechanisms/governance structure


Impact Leaders Club University of Calabar, (ILC),  is governed by Impact Your World Leadership Initiative(IYWI) among other Universities with its Head office in Lagos, Nigeria.  They drafted written Constitution, and monitor all the activities of the Club through monthly reports in writing and pictures and visiting from time to time. They also organize seminars and rewards hardwork.


Partner(s)


Impact leaders club, Salt Team International, National Association of Ebonyi State Students University of Calabar

","['Impact leaders club', ' Salt Team International', ' National Association of Ebonyi State Students University of Calabar']",[],,,,
