"title","rating","x","round","sigma","z","n"
"Magic Mallrats","PG","19.99","19.22","5.71","0.14","2"
"Stage World","PG","19.99","19.22","5.71","0.14","3"
"Sweden Shining","PG","19.99","19.22","5.71","0.14","5"
"Treatment Jekyll","PG","19.99","19.22","5.71","0.14","2"
"Wonderland Christmas","PG","19.99","19.22","5.71","0.14","7"
"Donnie Alley","NC-17","20.99","20.26","5.94","0.12","4"
"Dozen Lion","NC-17","20.99","20.26","5.94","0.12","2"
"Encounters Curtain","NC-17","20.99","20.26","5.94","0.12","6"
"Mermaid Insects","NC-17","20.99","20.26","5.94","0.12","5"
"Mod Secretary","NC-17","20.99","20.26","5.94","0.12","3"
"Pride Alamo","NC-17","20.99","20.26","5.94","0.12","5"
"Redemption Comforts","NC-17","20.99","20.26","5.94","0.12","7"
"Vanilla Day","NC-17","20.99","20.26","5.94","0.12","3"
"Wonderful Drop","NC-17","20.99","20.26","5.94","0.12","2"
"Bear Graceland","R","20.99","20.46","5.96","0.09","5"
"Bubble Grosse","R","20.99","20.46","5.96","0.09","2"
"Connecticut Tramp","R","20.99","20.46","5.96","0.09","3"
"Drop Waterfront","R","20.99","20.46","5.96","0.09","3"
"Escape Metropolis","R","20.99","20.46","5.96","0.09","6"
"Fever Empire","R","20.99","20.46","5.96","0.09","2"
"Fiddler Lost","R","20.99","20.46","5.96","0.09","3"
"Goldmine Tycoon","R","20.99","20.46","5.96","0.09","7"
"Gone Trouble","R","20.99","20.46","5.96","0.09","2"
"Guys Falcon","R","20.99","20.46","5.96","0.09","3"
"Holy Tadpole","R","20.99","20.46","5.96","0.09","2"
"Madigan Dorado","R","20.99","20.46","5.96","0.09","2"
"Maude Mod","R","20.99","20.46","5.96","0.09","2"
"Mother Oleander","R","20.99","20.46","5.96","0.09","5"
"Neighbors Charade","R","20.99","20.46","5.96","0.09","6"
"Splendor Patton","R","20.99","20.46","5.96","0.09","7"
"Troopers Metal","R","20.99","20.46","5.96","0.09","6"
"Baked Cleopatra","G","20.99","20.46","6.34","0.08","5"
"Crossroads Casualties","G","20.99","20.46","6.34","0.08","8"
"Destiny Saturday","G","20.99","20.46","6.34","0.08","5"
"Diary Panic","G","20.99","20.46","6.34","0.08","2"
"Excitement Eve","G","20.99","20.46","6.34","0.08","6"
"Grapes Fury","G","20.99","20.46","6.34","0.08","7"
"Grease Youth","G","20.99","20.46","6.34","0.08","6"
"Darling Breaking","PG-13","20.99","20.68","6.31","0.05","2"
"Deep Crusade","PG-13","20.99","20.68","6.31","0.05","4"
"Impact Aladdin","PG-13","20.99","20.68","6.31","0.05","2"
"Intolerable Intentions","PG-13","20.99","20.68","6.31","0.05","2"
"Moulin Wake","PG-13","20.99","20.68","6.31","0.05","5"
"Packer Madigan","PG-13","20.99","20.68","6.31","0.05","6"
"Peach Innocent","PG-13","20.99","20.68","6.31","0.05","4"
"Spirited Casualties","PG-13","20.99","20.68","6.31","0.05","3"
"Birch Antitrust","PG","18.99","19.22","5.71","-0.04","5"
"Cyclone Family","PG","18.99","19.22","5.71","-0.04","4"
"Dream Pickup","PG","18.99","19.22","5.71","-0.04","6"
"Legend Jedi","PG","18.99","19.22","5.71","-0.04","3"
"Lovely Jingle","PG","18.99","19.22","5.71","-0.04","5"
"Others Soup","PG","18.99","19.22","5.71","-0.04","6"
"Punk Divorce","PG","18.99","19.22","5.71","-0.04","2"
"Wasteland Divine","PG","18.99","19.22","5.71","-0.04","4"
"Won Dares","PG","18.99","19.22","5.71","-0.04","3"
"Bowfinger Gables","NC-17","19.99","20.26","5.94","-0.05","4"
"California Birds","NC-17","19.99","20.26","5.94","-0.05","4"
"Cassidy Wyoming","NC-17","19.99","20.26","5.94","-0.05","2"
"Comforts Rush","NC-17","19.99","20.26","5.94","-0.05","4"
"Dragonfly Strangers","NC-17","19.99","20.26","5.94","-0.05","5"
"Elf Murder","NC-17","19.99","20.26","5.94","-0.05","2"
"Mystic Truman","NC-17","19.99","20.26","5.94","-0.05","2"
"National Story","NC-17","19.99","20.26","5.94","-0.05","6"
"Pity Bound","NC-17","19.99","20.26","5.94","-0.05","8"
"Racer Egg","NC-17","19.99","20.26","5.94","-0.05","6"
"Spartacus Cheaper","NC-17","19.99","20.26","5.94","-0.05","4"
"Color Philadelphia","G","19.99","20.46","6.34","-0.07","6"
"Downhill Enough","G","19.99","20.46","6.34","-0.07","7"
"Midnight Westward","G","19.99","20.46","6.34","-0.07","5"
"Panky Submarine","G","19.99","20.46","6.34","-0.07","4"
"Stone Fire","G","19.99","20.46","6.34","-0.07","3"
"Wardrobe Phantom","G","19.99","20.46","6.34","-0.07","6"
"Werewolf Lola","G","19.99","20.46","6.34","-0.07","3"
"Analyze Hoosiers","R","19.99","20.46","5.96","-0.08","4"
"Date Speed","R","19.99","20.46","5.96","-0.08","4"
"Divine Resurrection","R","19.99","20.46","5.96","-0.08","4"
"Entrapment Satisfaction","R","19.99","20.46","5.96","-0.08","4"
"Grosse Wonderful","R","19.99","20.46","5.96","-0.08","3"
"Homeward Cider","R","19.99","20.46","5.96","-0.08","4"
"Quills Bull","R","19.99","20.46","5.96","-0.08","4"
"Rules Human","R","19.99","20.46","5.96","-0.08","4"
"Straight Hours","R","19.99","20.46","5.96","-0.08","6"
"Destination Jerk","PG-13","19.99","20.68","6.31","-0.11","3"
"Halloween Nuts","PG-13","19.99","20.68","6.31","-0.11","2"
"Loverboy Attacks","PG-13","19.99","20.68","6.31","-0.11","3"
"Miracle Virtual","PG-13","19.99","20.68","6.31","-0.11","2"
"Notting Speakeasy","PG-13","19.99","20.68","6.31","-0.11","3"
"Paris Weekend","PG-13","19.99","20.68","6.31","-0.11","4"
"Personal Ladybugs","PG-13","19.99","20.68","6.31","-0.11","4"
"Sinners Atlantis","PG-13","19.99","20.68","6.31","-0.11","6"
"Speed Suit","PG-13","19.99","20.68","6.31","-0.11","2"
"Sunrise League","PG-13","19.99","20.68","6.31","-0.11","6"
"Victory Academy","PG-13","19.99","20.68","6.31","-0.11","3"
"Adaptation Holes","NC-17","18.99","20.26","5.94","-0.21","4"
"Agent Truman","PG","17.99","19.22","5.71","-0.21","6"
"Born Spinal","PG","17.99","19.22","5.71","-0.21","4"
"Bound Cheaper","PG","17.99","19.22","5.71","-0.21","8"
"Chill Luck","PG","17.99","19.22","5.71","-0.21","7"
"Disciple Mother","PG","17.99","19.22","5.71","-0.21","6"
"Flying Hook","NC-17","18.99","20.26","5.94","-0.21","6"
"Gables Metropolis","PG","17.99","19.22","5.71","-0.21","5"
"Inch Jet","NC-17","18.99","20.26","5.94","-0.21","6"
"Jumping Wrath","NC-17","18.99","20.26","5.94","-0.21","6"
"Money Harold","PG","17.99","19.22","5.71","-0.21","7"
"Musketeers Wait","PG","17.99","19.22","5.71","-0.21","6"
"None Spiking","NC-17","18.99","20.26","5.94","-0.21","7"
"Outfield Massacre","NC-17","18.99","20.26","5.94","-0.21","6"
"Pelican Comforts","PG","17.99","19.22","5.71","-0.21","7"
"Pilot Hoosiers","PG","17.99","19.22","5.71","-0.21","4"
"Tequila Past","PG","17.99","19.22","5.71","-0.21","2"
"Wagon Jaws","PG","17.99","19.22","5.71","-0.21","3"
"Zorro Ark","NC-17","18.99","20.26","5.94","-0.21","8"
"Blues Instinct","G","18.99","20.46","6.34","-0.23","5"
"Breakfast Goldfinger","G","18.99","20.46","6.34","-0.23","5"
"Citizen Shrek","G","18.99","20.46","6.34","-0.23","4"
"Ghost Groundhog","G","18.99","20.46","6.34","-0.23","5"
"Hanging Deep","G","18.99","20.46","6.34","-0.23","4"
"Menagerie Rushmore","G","18.99","20.46","6.34","-0.23","2"
"Fire Wolves","R","18.99","20.46","5.96","-0.25","2"
"Ghostbusters Elf","R","18.99","20.46","5.96","-0.25","2"
"Kane Exorcist","R","18.99","20.46","5.96","-0.25","3"
"Lose Inch","R","18.99","20.46","5.96","-0.25","8"
"Rage Games","R","18.99","20.46","5.96","-0.25","6"
"Raging Airplane","R","18.99","20.46","5.96","-0.25","4"
"Saturn Name","R","18.99","20.46","5.96","-0.25","4"
"Smoochy Control","R","18.99","20.46","5.96","-0.25","4"
"Titanic Boondock","R","18.99","20.46","5.96","-0.25","7"
"Basic Easy","PG-13","18.99","20.68","6.31","-0.27","7"
"Drifter Commandments","PG-13","18.99","20.68","6.31","-0.27","6"
"English Bulworth","PG-13","18.99","20.68","6.31","-0.27","7"
"Harry Idaho","PG-13","18.99","20.68","6.31","-0.27","8"
"Lambs Cincinatti","PG-13","18.99","20.68","6.31","-0.27","3"
"Louisiana Harry","PG-13","18.99","20.68","6.31","-0.27","5"
"Mannequin Worst","PG-13","18.99","20.68","6.31","-0.27","2"
"Seattle Expecations","PG-13","18.99","20.68","6.31","-0.27","5"
"Tourist Pelican","PG-13","18.99","20.68","6.31","-0.27","5"
"Caddyshack Jedi","NC-17","17.99","20.26","5.94","-0.38","4"
"Craft Outfield","NC-17","17.99","20.26","5.94","-0.38","4"
"Dumbo Lust","NC-17","17.99","20.26","5.94","-0.38","2"
"Grail Frankenstein","NC-17","17.99","20.26","5.94","-0.38","2"
"Insider Arizona","NC-17","17.99","20.26","5.94","-0.38","5"
"Phantom Glory","NC-17","17.99","20.26","5.94","-0.38","2"
"Runaway Tenenbaums","NC-17","17.99","20.26","5.94","-0.38","2"
"Something Duck","NC-17","17.99","20.26","5.94","-0.38","5"
"Sorority Queen","NC-17","17.99","20.26","5.94","-0.38","4"
"Wrath Mile","NC-17","17.99","20.26","5.94","-0.38","4"
"Bugsy Song","G","17.99","20.46","6.34","-0.39","3"
"Butterfly Chocolat","G","17.99","20.46","6.34","-0.39","8"
"Exorcist Sting","G","17.99","20.46","6.34","-0.39","5"
"Gosford Donnie","G","17.99","20.46","6.34","-0.39","3"
"Jersey Sassy","PG","16.99","19.22","5.71","-0.39","3"
"Motions Details","PG","16.99","19.22","5.71","-0.39","4"
"Open African","PG","16.99","19.22","5.71","-0.39","5"
"Potter Connecticut","PG","16.99","19.22","5.71","-0.39","5"
"Rings Heartbreakers","G","17.99","20.46","6.34","-0.39","4"
"Splash Gump","PG","16.99","19.22","5.71","-0.39","4"
"Steers Armageddon","PG","16.99","19.22","5.71","-0.39","4"
"Tycoon Gathering","G","17.99","20.46","6.34","-0.39","4"
"Uptown Young","PG","16.99","19.22","5.71","-0.39","3"
"Waterfront Deliverance","G","17.99","20.46","6.34","-0.39","5"
"American Circus","R","17.99","20.46","5.96","-0.42","6"
"Details Packer","R","17.99","20.46","5.96","-0.42","5"
"Frogmen Breaking","R","17.99","20.46","5.96","-0.42","3"
"Interview Liaisons","R","17.99","20.46","5.96","-0.42","5"
"Music Boondock","R","17.99","20.46","5.96","-0.42","5"
"Town Ark","R","17.99","20.46","5.96","-0.42","4"
"Vanished Garden","R","17.99","20.46","5.96","-0.42","2"
"Vertigo Northwest","R","17.99","20.46","5.96","-0.42","4"
"Games Bowfinger","PG-13","17.99","20.68","6.31","-0.43","4"
"Image Princess","PG-13","17.99","20.68","6.31","-0.43","5"
"Lebowski Soldiers","PG-13","17.99","20.68","6.31","-0.43","6"
"Outlaw Hanky","PG-13","17.99","20.68","6.31","-0.43","6"
"Past Suicides","PG-13","17.99","20.68","6.31","-0.43","4"
"Perfect Groove","PG-13","17.99","20.68","6.31","-0.43","6"
"Pittsburgh Hunchback","PG-13","17.99","20.68","6.31","-0.43","3"
"Rocky War","PG-13","17.99","20.68","6.31","-0.43","5"
"Rushmore Mermaid","PG-13","17.99","20.68","6.31","-0.43","2"
"Alamo Videotape","G","16.99","20.46","6.34","-0.55","7"
"Apache Divine","NC-17","16.99","20.26","5.94","-0.55","8"
"Beach Heartbreakers","G","16.99","20.46","6.34","-0.55","4"
"Caribbean Liberty","NC-17","16.99","20.26","5.94","-0.55","3"
"Casualties Encino","G","16.99","20.46","6.34","-0.55","3"
"Chocolat Harry","NC-17","16.99","20.26","5.94","-0.55","6"
"Day Unfaithful","G","16.99","20.46","6.34","-0.55","5"
"Dogma Family","G","16.99","20.46","6.34","-0.55","8"
"Enough Raging","NC-17","16.99","20.26","5.94","-0.55","5"
"Gunfight Moon","NC-17","16.99","20.26","5.94","-0.55","6"
"Hedwig Alter","NC-17","16.99","20.26","5.94","-0.55","3"
"Minority Kiss","G","16.99","20.46","6.34","-0.55","3"
"Primary Glass","G","16.99","20.46","6.34","-0.55","8"
"Unbreakable Karate","G","16.99","20.46","6.34","-0.55","5"
"Uprising Uptown","NC-17","16.99","20.26","5.94","-0.55","4"
"Carol Texas","PG","15.99","19.22","5.71","-0.56","6"
"Jawbreaker Brooklyn","PG","15.99","19.22","5.71","-0.56","3"
"Liaisons Sweet","PG","15.99","19.22","5.71","-0.56","6"
"Majestic Floats","PG","15.99","19.22","5.71","-0.56","4"
"Oklahoma Jumanji","PG","15.99","19.22","5.71","-0.56","2"
"Sensibility Rear","PG","15.99","19.22","5.71","-0.56","3"
"Snatch Slipper","PG","15.99","19.22","5.71","-0.56","7"
"Unforgiven Zoolander","PG","15.99","19.22","5.71","-0.56","5"
"Cause Date","R","16.99","20.46","5.96","-0.58","6"
"Clones Pinocchio","R","16.99","20.46","5.96","-0.58","5"
"Doubtfire Labyrinth","R","16.99","20.46","5.96","-0.58","3"
"Freaky Pocus","R","16.99","20.46","5.96","-0.58","4"
"Massacre Usual","R","16.99","20.46","5.96","-0.58","7"
"Anthem Luke","PG-13","16.99","20.68","6.31","-0.59","3"
"Casper Dragonfly","PG-13","16.99","20.68","6.31","-0.59","3"
"Dares Pluto","PG-13","16.99","20.68","6.31","-0.59","3"
"Detective Vision","PG-13","16.99","20.68","6.31","-0.59","7"
"Jacket Frisco","PG-13","16.99","20.68","6.31","-0.59","5"
"Million Ace","PG-13","16.99","20.68","6.31","-0.59","5"
"Philadelphia Wife","PG-13","16.99","20.68","6.31","-0.59","6"
"Rugrats Shakespeare","PG-13","16.99","20.68","6.31","-0.59","8"
"Vision Torque","PG-13","16.99","20.68","6.31","-0.59","2"
"Angels Life","G","15.99","20.46","6.34","-0.71","6"
"Annie Identity","G","15.99","20.46","6.34","-0.71","5"
"Atlantis Cause","G","15.99","20.46","6.34","-0.71","7"
"Barefoot Manchurian","G","15.99","20.46","6.34","-0.71","5"
"Birds Perdition","G","15.99","20.46","6.34","-0.71","6"
"Clerks Angels","G","15.99","20.46","6.34","-0.71","2"
"Harper Dying","G","15.99","20.46","6.34","-0.71","6"
"Panic Club","G","15.99","20.46","6.34","-0.71","2"
"Wars Pluto","G","15.99","20.46","6.34","-0.71","3"
"Candles Grapes","NC-17","15.99","20.26","5.94","-0.72","6"
"Duck Racer","NC-17","15.99","20.26","5.94","-0.72","2"
"Mummy Creatures","NC-17","15.99","20.26","5.94","-0.72","6"
"Pocus Pulp","NC-17","15.99","20.26","5.94","-0.72","7"
"Steel Santa","NC-17","15.99","20.26","5.94","-0.72","7"
"Bringing Hysterical","PG","14.99","19.22","5.71","-0.74","6"
"Effect Gladiator","PG","14.99","19.22","5.71","-0.74","7"
"Expendable Stallion","PG","14.99","19.22","5.71","-0.74","8"
"Fiction Christmas","PG","14.99","19.22","5.71","-0.74","7"
"Full Flatliners","PG","14.99","19.22","5.71","-0.74","2"
"Lady Stage","PG","14.99","19.22","5.71","-0.74","6"
"Legally Secretary","PG","14.99","19.22","5.71","-0.74","2"
"Mourning Purple","PG","14.99","19.22","5.71","-0.74","5"
"Pollock Deliverance","PG","14.99","19.22","5.71","-0.74","6"
"Prejudice Oleander","PG-13","15.99","20.68","6.31","-0.74","6"
"Shock Cabin","PG-13","15.99","20.68","6.31","-0.74","8"
"Shrek License","PG-13","15.99","20.68","6.31","-0.74","3"
"Squad Fish","PG","14.99","19.22","5.71","-0.74","3"
"Wedding Apollo","PG","14.99","19.22","5.71","-0.74","6"
"Airport Pollock","R","15.99","20.46","5.96","-0.75","4"
"Banger Pinocchio","R","15.99","20.46","5.96","-0.75","5"
"Forrest Sons","R","15.99","20.46","5.96","-0.75","6"
"Hardly Robbers","R","15.99","20.46","5.96","-0.75","2"
"Home Pity","R","15.99","20.46","5.96","-0.75","3"
"Illusion Amelie","R","15.99","20.46","5.96","-0.75","4"
"Remember Diary","R","15.99","20.46","5.96","-0.75","6"
"Seven Swarm","R","15.99","20.46","5.96","-0.75","2"
"Ship Wonderland","R","15.99","20.46","5.96","-0.75","4"
"Bird Independence","G","14.99","20.46","6.34","-0.86","3"
"Bulworth Commandments","G","14.99","20.46","6.34","-0.86","2"
"Cat Coneheads","G","14.99","20.46","6.34","-0.86","8"
"Conquerer Nuts","G","14.99","20.46","6.34","-0.86","4"
"Darn Forrester","G","14.99","20.46","6.34","-0.86","5"
"Drumline Cyclone","G","14.99","20.46","6.34","-0.86","3"
"Graduate Lord","G","14.99","20.46","6.34","-0.86","5"
"Chamber Italian","NC-17","14.99","20.26","5.94","-0.89","4"
"Eagles Panky","NC-17","14.99","20.26","5.94","-0.89","6"
"Godfather Diary","NC-17","14.99","20.26","5.94","-0.89","3"
"Hours Rage","NC-17","14.99","20.26","5.94","-0.89","6"
"Insects Stone","NC-17","14.99","20.26","5.94","-0.89","6"
"Odds Boogie","NC-17","14.99","20.26","5.94","-0.89","4"
"Towers Hurricane","NC-17","14.99","20.26","5.94","-0.89","3"
"Varsity Trip","NC-17","14.99","20.26","5.94","-0.89","5"
"Virtual Spoilers","NC-17","14.99","20.26","5.94","-0.89","4"
"Youth Kick","NC-17","14.99","20.26","5.94","-0.89","2"
"Attraction Newton","PG-13","14.99","20.68","6.31","-0.90","6"
"Braveheart Human","PG-13","14.99","20.68","6.31","-0.90","2"
"Frontier Cabin","PG-13","14.99","20.68","6.31","-0.90","2"
"Juggler Hardly","PG-13","14.99","20.68","6.31","-0.90","8"
"Madness Attacks","PG-13","14.99","20.68","6.31","-0.90","6"
"Park Citizen","PG-13","14.99","20.68","6.31","-0.90","2"
"Slipper Fidelity","PG-13","14.99","20.68","6.31","-0.90","4"
"Snatchers Montezuma","PG-13","14.99","20.68","6.31","-0.90","3"
"Trip Newton","PG-13","14.99","20.68","6.31","-0.90","8"
"Boiled Dares","PG","13.99","19.22","5.71","-0.91","4"
"Ferris Mother","PG","13.99","19.22","5.71","-0.91","4"
"Frost Head","PG","13.99","19.22","5.71","-0.91","8"
"Lion Uncut","PG","13.99","19.22","5.71","-0.91","6"
"Mighty Luck","PG","13.99","19.22","5.71","-0.91","3"
"Mulholland Beast","PG","13.99","19.22","5.71","-0.91","2"
"Temple Attraction","PG","13.99","19.22","5.71","-0.91","4"
"Trouble Date","PG","13.99","19.22","5.71","-0.91","6"
"Words Hunter","PG","13.99","19.22","5.71","-0.91","4"
"Alone Trip","R","14.99","20.46","5.96","-0.92","6"
"Conversation Downhill","R","14.99","20.46","5.96","-0.92","6"
"Durham Panky","R","14.99","20.46","5.96","-0.92","7"
"Greedy Roots","R","14.99","20.46","5.96","-0.92","4"
"Jet Neighbors","R","14.99","20.46","5.96","-0.92","6"
"Oz Liaisons","R","14.99","20.46","5.96","-0.92","6"
"Pajama Jawbreaker","R","14.99","20.46","5.96","-0.92","4"
"Shepherd Midsummer","R","14.99","20.46","5.96","-0.92","7"
"Shrunk Divine","R","14.99","20.46","5.96","-0.92","4"
"Tights Dawn","R","14.99","20.46","5.96","-0.92","7"
"Velvet Terminator","R","14.99","20.46","5.96","-0.92","6"
"Autumn Crow","G","13.99","20.46","6.34","-1.02","3"
"Blood Argonauts","G","13.99","20.46","6.34","-1.02","2"
"Bunch Minds","G","13.99","20.46","6.34","-1.02","2"
"Duffel Apocalypse","G","13.99","20.46","6.34","-1.02","2"
"Dwarfs Alter","G","13.99","20.46","6.34","-1.02","2"
"Gilbert Pelican","G","13.99","20.46","6.34","-1.02","4"
"Jumanji Blade","G","13.99","20.46","6.34","-1.02","2"
"Monterey Labyrinth","G","13.99","20.46","6.34","-1.02","4"
"Scissorhands Slums","G","13.99","20.46","6.34","-1.02","3"
"Sweethearts Suspects","G","13.99","20.46","6.34","-1.02","8"
"Timberland Sky","G","13.99","20.46","6.34","-1.02","7"
"Traffic Hobbit","G","13.99","20.46","6.34","-1.02","2"
"Circus Youth","PG-13","13.99","20.68","6.31","-1.06","4"
"Confidential Interview","NC-17","13.99","20.26","5.94","-1.06","8"
"Darko Dorado","NC-17","13.99","20.26","5.94","-1.06","3"
"Daughter Madigan","PG-13","13.99","20.68","6.31","-1.06","4"
"Deer Virginian","NC-17","13.99","20.26","5.94","-1.06","8"
"Divide Monster","PG-13","13.99","20.68","6.31","-1.06","6"
"Eyes Driving","PG-13","13.99","20.68","6.31","-1.06","5"
"Glory Tracy","PG-13","13.99","20.68","6.31","-1.06","2"
"Groove Fiction","NC-17","13.99","20.26","5.94","-1.06","5"
"Hall Cassidy","NC-17","13.99","20.26","5.94","-1.06","6"
"Haunted Antitrust","NC-17","13.99","20.26","5.94","-1.06","2"
"Heavenly Gun","NC-17","13.99","20.26","5.94","-1.06","2"
"Intentions Empire","PG-13","13.99","20.68","6.31","-1.06","7"
"Jerk Paycheck","NC-17","13.99","20.26","5.94","-1.06","7"
"Ladybugs Armageddon","NC-17","13.99","20.26","5.94","-1.06","2"
"Rollercoaster Bringing","PG-13","13.99","20.68","6.31","-1.06","3"
"Scalawag Duck","NC-17","13.99","20.26","5.94","-1.06","8"
"Sleeping Suspects","PG-13","13.99","20.68","6.31","-1.06","7"
"Smoking Barbarella","PG-13","13.99","20.68","6.31","-1.06","6"
"Spy Mile","PG-13","13.99","20.68","6.31","-1.06","8"
"State Wasteland","NC-17","13.99","20.26","5.94","-1.06","4"
"Wolves Desire","NC-17","13.99","20.26","5.94","-1.06","6"
"World Leathernecks","PG-13","13.99","20.68","6.31","-1.06","2"
"Bill Others","PG","12.99","19.22","5.71","-1.09","6"
"Blackout Private","PG","12.99","19.22","5.71","-1.09","7"
"Center Dinosaur","PG","12.99","19.22","5.71","-1.09","6"
"Clueless Bucket","R","13.99","20.46","5.96","-1.09","7"
"Doom Dancing","R","13.99","20.46","5.96","-1.09","5"
"Fight Jawbreaker","R","13.99","20.46","5.96","-1.09","6"
"Galaxy Sweethearts","R","13.99","20.46","5.96","-1.09","6"
"House Dynamite","R","13.99","20.46","5.96","-1.09","6"
"Invasion Cyclone","PG","12.99","19.22","5.71","-1.09","8"
"Jedi Beneath","PG","12.99","19.22","5.71","-1.09","5"
"Oleander Clue","PG","12.99","19.22","5.71","-1.09","3"
"Patriot Roman","PG","12.99","19.22","5.71","-1.09","5"
"Polish Brooklyn","PG","12.99","19.22","5.71","-1.09","4"
"President Bang","PG","12.99","19.22","5.71","-1.09","2"
"Prix Undefeated","R","13.99","20.46","5.96","-1.09","3"
"Resurrection Silverado","PG","12.99","19.22","5.71","-1.09","5"
"Watch Tracy","PG","12.99","19.22","5.71","-1.09","5"
"Wizard Coldblooded","PG","12.99","19.22","5.71","-1.09","5"
"Ace Goldfinger","G","12.99","20.46","6.34","-1.18","3"
"Clash Freddy","G","12.99","20.46","6.34","-1.18","7"
"Easy Gladiator","G","12.99","20.46","6.34","-1.18","5"
"Hoosiers Birdcage","G","12.99","20.46","6.34","-1.18","3"
"Lonely Elephant","G","12.99","20.46","6.34","-1.18","4"
"Moonwalker Fool","G","12.99","20.46","6.34","-1.18","4"
"Noon Papi","G","12.99","20.46","6.34","-1.18","4"
"Pulp Beverly","G","12.99","20.46","6.34","-1.18","8"
"Shining Roses","G","12.99","20.46","6.34","-1.18","3"
"Sleepless Monsoon","G","12.99","20.46","6.34","-1.18","5"
"Spiking Element","G","12.99","20.46","6.34","-1.18","4"
"Stranger Strangers","G","12.99","20.46","6.34","-1.18","3"
"Anonymous Human","NC-17","12.99","20.26","5.94","-1.22","4"
"Bright Encounters","PG-13","12.99","20.68","6.31","-1.22","3"
"Club Graffiti","PG-13","12.99","20.68","6.31","-1.22","5"
"Coneheads Smoochy","NC-17","12.99","20.26","5.94","-1.22","7"
"Cranes Reservoir","NC-17","12.99","20.26","5.94","-1.22","3"
"Feathers Metal","PG-13","12.99","20.68","6.31","-1.22","3"
"Hawk Chill","PG-13","12.99","20.68","6.31","-1.22","2"
"Identity Lover","PG-13","12.99","20.68","6.31","-1.22","4"
"Igby Maker","NC-17","12.99","20.26","5.94","-1.22","5"
"Maker Gables","PG-13","12.99","20.68","6.31","-1.22","3"
"Masked Bubble","PG-13","12.99","20.68","6.31","-1.22","6"
"Mine Titans","PG-13","12.99","20.68","6.31","-1.22","6"
"Outbreak Divine","NC-17","12.99","20.26","5.94","-1.22","5"
"Paradise Sabrina","PG-13","12.99","20.68","6.31","-1.22","6"
"Sierra Divide","NC-17","12.99","20.26","5.94","-1.22","5"
"Spinal Rocky","PG-13","12.99","20.68","6.31","-1.22","5"
"Swarm Gold","PG-13","12.99","20.68","6.31","-1.22","8"
"Closer Bang","R","12.99","20.46","5.96","-1.25","7"
"Devil Desire","R","12.99","20.46","5.96","-1.25","4"
"Go Purple","R","12.99","20.46","5.96","-1.25","6"
"Holocaust Highball","R","12.99","20.46","5.96","-1.25","5"
"Jeopardy Encino","R","12.99","20.46","5.96","-1.25","3"
"Road Roxanne","R","12.99","20.46","5.96","-1.25","6"
"Soup Wisdom","R","12.99","20.46","5.96","-1.25","2"
"Suit Walls","R","12.99","20.46","5.96","-1.25","6"
"Unfaithful Kill","R","12.99","20.46","5.96","-1.25","3"
"Wind Phantom","R","12.99","20.46","5.96","-1.25","6"
"Wisdom Worker","R","12.99","20.46","5.96","-1.25","3"
"Carrie Bunch","PG","11.99","19.22","5.71","-1.27","7"
"Drums Dynamite","PG","11.99","19.22","5.71","-1.27","4"
"Egypt Tenenbaums","PG","11.99","19.22","5.71","-1.27","5"
"Greek Everyone","PG","11.99","19.22","5.71","-1.27","5"
"Hurricane Affair","PG","11.99","19.22","5.71","-1.27","7"
"Massage Image","PG","11.99","19.22","5.71","-1.27","3"
"Murder Antitrust","PG","11.99","19.22","5.71","-1.27","6"
"Party Knock","PG","11.99","19.22","5.71","-1.27","4"
"Pet Haunting","PG","11.99","19.22","5.71","-1.27","3"
"Records Zorro","PG","11.99","19.22","5.71","-1.27","2"
"Sabrina Midnight","PG","11.99","19.22","5.71","-1.27","7"
"Secret Groundhog","PG","11.99","19.22","5.71","-1.27","5"
"Silverado Goldfinger","PG","11.99","19.22","5.71","-1.27","4"
"Titans Jerk","PG","11.99","19.22","5.71","-1.27","8"
"Fidelity Devil","G","11.99","20.46","6.34","-1.34","6"
"Hyde Doctor","G","11.99","20.46","6.34","-1.34","6"
"Novocaine Flight","G","11.99","20.46","6.34","-1.34","5"
"Saints Bride","G","11.99","20.46","6.34","-1.34","3"
"Trap Guys","G","11.99","20.46","6.34","-1.34","4"
"Chicago North","PG-13","11.99","20.68","6.31","-1.38","5"
"Driver Annie","PG-13","11.99","20.68","6.31","-1.38","5"
"Flintstones Happiness","PG-13","11.99","20.68","6.31","-1.38","5"
"Kiss Glory","PG-13","11.99","20.68","6.31","-1.38","8"
"Name Detective","PG-13","11.99","20.68","6.31","-1.38","6"
"Scarface Bang","PG-13","11.99","20.68","6.31","-1.38","6"
"Tarzan Videotape","PG-13","11.99","20.68","6.31","-1.38","2"
"Whale Bikini","PG-13","11.99","20.68","6.31","-1.38","4"
"Antitrust Tomatoes","NC-17","11.99","20.26","5.94","-1.39","2"
"Elizabeth Shane","NC-17","11.99","20.26","5.94","-1.39","2"
"Impossible Prejudice","NC-17","11.99","20.26","5.94","-1.39","4"
"Jungle Closer","NC-17","11.99","20.26","5.94","-1.39","2"
"Memento Zoolander","NC-17","11.99","20.26","5.94","-1.39","4"
"Model Fish","NC-17","11.99","20.26","5.94","-1.39","4"
"Pizza Jumanji","NC-17","11.99","20.26","5.94","-1.39","2"
"Sons Interview","NC-17","11.99","20.26","5.94","-1.39","6"
