"title","rating","x","round","sigma","z"
"Mod Secretary","NC-17","20.99","20.14","5.93","0.14"
"Pride Alamo","NC-17","20.99","20.14","5.93","0.14"
"Redemption Comforts","NC-17","20.99","20.14","5.93","0.14"
"Vanilla Day","NC-17","20.99","20.14","5.93","0.14"
"Wonderful Drop","NC-17","20.99","20.14","5.93","0.14"
"Bear Graceland","R","20.99","20.23","5.79","0.13"
"Bubble Grosse","R","20.99","20.23","5.79","0.13"
"Connecticut Tramp","R","20.99","20.23","5.79","0.13"
"Drop Waterfront","R","20.99","20.23","5.79","0.13"
"Escape Metropolis","R","20.99","20.23","5.79","0.13"
"Fever Empire","R","20.99","20.23","5.79","0.13"
"Fiddler Lost","R","20.99","20.23","5.79","0.13"
"Goldmine Tycoon","R","20.99","20.23","5.79","0.13"
"Gone Trouble","R","20.99","20.23","5.79","0.13"
"Guys Falcon","R","20.99","20.23","5.79","0.13"
"Holy Tadpole","R","20.99","20.23","5.79","0.13"
"Madigan Dorado","R","20.99","20.23","5.79","0.13"
"Maude Mod","R","20.99","20.23","5.79","0.13"
"Mother Oleander","R","20.99","20.23","5.79","0.13"
"Neighbors Charade","R","20.99","20.23","5.79","0.13"
"Splendor Patton","R","20.99","20.23","5.79","0.13"
"Troopers Metal","R","20.99","20.23","5.79","0.13"
"Darling Breaking","PG-13","20.99","20.40","6.32","0.09"
"Deep Crusade","PG-13","20.99","20.40","6.32","0.09"
"Impact Aladdin","PG-13","20.99","20.40","6.32","0.09"
"Intolerable Intentions","PG-13","20.99","20.40","6.32","0.09"
"Moulin Wake","PG-13","20.99","20.40","6.32","0.09"
"Packer Madigan","PG-13","20.99","20.40","6.32","0.09"
"Peach Innocent","PG-13","20.99","20.40","6.32","0.09"
"Spirited Casualties","PG-13","20.99","20.40","6.32","0.09"
"Birch Antitrust","PG","18.99","18.96","5.67","0.01"
"Cyclone Family","PG","18.99","18.96","5.67","0.01"
"Dream Pickup","PG","18.99","18.96","5.67","0.01"
"Legend Jedi","PG","18.99","18.96","5.67","0.01"
"Lovely Jingle","PG","18.99","18.96","5.67","0.01"
"Muppet Mile","PG","18.99","18.96","5.67","0.01"
"Others Soup","PG","18.99","18.96","5.67","0.01"
"Punk Divorce","PG","18.99","18.96","5.67","0.01"
"Wasteland Divine","PG","18.99","18.96","5.67","0.01"
"Won Dares","PG","18.99","18.96","5.67","0.01"
"Bowfinger Gables","NC-17","19.99","20.14","5.93","-0.02"
"California Birds","NC-17","19.99","20.14","5.93","-0.02"
"Cassidy Wyoming","NC-17","19.99","20.14","5.93","-0.02"
"Color Philadelphia","G","19.99","20.12","6.39","-0.02"
"Comforts Rush","NC-17","19.99","20.14","5.93","-0.02"
"Downhill Enough","G","19.99","20.12","6.39","-0.02"
"Dragonfly Strangers","NC-17","19.99","20.14","5.93","-0.02"
"Elf Murder","NC-17","19.99","20.14","5.93","-0.02"
"Hocus Frida","G","19.99","20.12","6.39","-0.02"
"Midnight Westward","G","19.99","20.12","6.39","-0.02"
"Mystic Truman","NC-17","19.99","20.14","5.93","-0.02"
"National Story","NC-17","19.99","20.14","5.93","-0.02"
"Panky Submarine","G","19.99","20.12","6.39","-0.02"
"Pity Bound","NC-17","19.99","20.14","5.93","-0.02"
"Racer Egg","NC-17","19.99","20.14","5.93","-0.02"
"Spartacus Cheaper","NC-17","19.99","20.14","5.93","-0.02"
"Stone Fire","G","19.99","20.12","6.39","-0.02"
"Wardrobe Phantom","G","19.99","20.12","6.39","-0.02"
"Werewolf Lola","G","19.99","20.12","6.39","-0.02"
"Analyze Hoosiers","R","19.99","20.23","5.79","-0.04"
"Crossing Divorce","R","19.99","20.23","5.79","-0.04"
"Date Speed","R","19.99","20.23","5.79","-0.04"
"Divine Resurrection","R","19.99","20.23","5.79","-0.04"
"Entrapment Satisfaction","R","19.99","20.23","5.79","-0.04"
"Grosse Wonderful","R","19.99","20.23","5.79","-0.04"
"Homeward Cider","R","19.99","20.23","5.79","-0.04"
"Quills Bull","R","19.99","20.23","5.79","-0.04"
"Rules Human","R","19.99","20.23","5.79","-0.04"
"Straight Hours","R","19.99","20.23","5.79","-0.04"
"Butch Panther","PG-13","19.99","20.40","6.32","-0.07"
"Destination Jerk","PG-13","19.99","20.40","6.32","-0.07"
"Halloween Nuts","PG-13","19.99","20.40","6.32","-0.07"
"Loverboy Attacks","PG-13","19.99","20.40","6.32","-0.07"
"Miracle Virtual","PG-13","19.99","20.40","6.32","-0.07"
"Notting Speakeasy","PG-13","19.99","20.40","6.32","-0.07"
"Paris Weekend","PG-13","19.99","20.40","6.32","-0.07"
"Personal Ladybugs","PG-13","19.99","20.40","6.32","-0.07"
"Sinners Atlantis","PG-13","19.99","20.40","6.32","-0.07"
"Sister Freddy","PG-13","19.99","20.40","6.32","-0.07"
"Speed Suit","PG-13","19.99","20.40","6.32","-0.07"
"Sunrise League","PG-13","19.99","20.40","6.32","-0.07"
"Victory Academy","PG-13","19.99","20.40","6.32","-0.07"
"Agent Truman","PG","17.99","18.96","5.67","-0.17"
"Arsenic Independence","PG","17.99","18.96","5.67","-0.17"
"Born Spinal","PG","17.99","18.96","5.67","-0.17"
"Bound Cheaper","PG","17.99","18.96","5.67","-0.17"
"Chill Luck","PG","17.99","18.96","5.67","-0.17"
"Disciple Mother","PG","17.99","18.96","5.67","-0.17"
"Gables Metropolis","PG","17.99","18.96","5.67","-0.17"
"Money Harold","PG","17.99","18.96","5.67","-0.17"
"Musketeers Wait","PG","17.99","18.96","5.67","-0.17"
"Pelican Comforts","PG","17.99","18.96","5.67","-0.17"
"Pilot Hoosiers","PG","17.99","18.96","5.67","-0.17"
"Tequila Past","PG","17.99","18.96","5.67","-0.17"
"Wagon Jaws","PG","17.99","18.96","5.67","-0.17"
"Blues Instinct","G","18.99","20.12","6.39","-0.18"
"Breakfast Goldfinger","G","18.99","20.12","6.39","-0.18"
"Citizen Shrek","G","18.99","20.12","6.39","-0.18"
"Ghost Groundhog","G","18.99","20.12","6.39","-0.18"
"Hanging Deep","G","18.99","20.12","6.39","-0.18"
"Menagerie Rushmore","G","18.99","20.12","6.39","-0.18"
"Wake Jaws","G","18.99","20.12","6.39","-0.18"
"Adaptation Holes","NC-17","18.99","20.14","5.93","-0.19"
"Flying Hook","NC-17","18.99","20.14","5.93","-0.19"
"Inch Jet","NC-17","18.99","20.14","5.93","-0.19"
"Jumping Wrath","NC-17","18.99","20.14","5.93","-0.19"
"None Spiking","NC-17","18.99","20.14","5.93","-0.19"
"Outfield Massacre","NC-17","18.99","20.14","5.93","-0.19"
"Zorro Ark","NC-17","18.99","20.14","5.93","-0.19"
"Fire Wolves","R","18.99","20.23","5.79","-0.21"
"Ghostbusters Elf","R","18.99","20.23","5.79","-0.21"
"Kane Exorcist","R","18.99","20.23","5.79","-0.21"
"Lose Inch","R","18.99","20.23","5.79","-0.21"
"Rage Games","R","18.99","20.23","5.79","-0.21"
"Raging Airplane","R","18.99","20.23","5.79","-0.21"
"Saturn Name","R","18.99","20.23","5.79","-0.21"
"Smoochy Control","R","18.99","20.23","5.79","-0.21"
"Titanic Boondock","R","18.99","20.23","5.79","-0.21"
"Basic Easy","PG-13","18.99","20.40","6.32","-0.22"
"Drifter Commandments","PG-13","18.99","20.40","6.32","-0.22"
"English Bulworth","PG-13","18.99","20.40","6.32","-0.22"
"Harry Idaho","PG-13","18.99","20.40","6.32","-0.22"
"Lambs Cincinatti","PG-13","18.99","20.40","6.32","-0.22"
"Louisiana Harry","PG-13","18.99","20.40","6.32","-0.22"
"Mannequin Worst","PG-13","18.99","20.40","6.32","-0.22"
"Seattle Expecations","PG-13","18.99","20.40","6.32","-0.22"
"Tourist Pelican","PG-13","18.99","20.40","6.32","-0.22"
"Bugsy Song","G","17.99","20.12","6.39","-0.33"
"Butterfly Chocolat","G","17.99","20.12","6.39","-0.33"
"Exorcist Sting","G","17.99","20.12","6.39","-0.33"
"Gosford Donnie","G","17.99","20.12","6.39","-0.33"
"Rings Heartbreakers","G","17.99","20.12","6.39","-0.33"
"Tycoon Gathering","G","17.99","20.12","6.39","-0.33"
"Waterfront Deliverance","G","17.99","20.12","6.39","-0.33"
"Jersey Sassy","PG","16.99","18.96","5.67","-0.35"
"Motions Details","PG","16.99","18.96","5.67","-0.35"
"Open African","PG","16.99","18.96","5.67","-0.35"
"Potter Connecticut","PG","16.99","18.96","5.67","-0.35"
"Splash Gump","PG","16.99","18.96","5.67","-0.35"
"Steers Armageddon","PG","16.99","18.96","5.67","-0.35"
"Uptown Young","PG","16.99","18.96","5.67","-0.35"
"Caddyshack Jedi","NC-17","17.99","20.14","5.93","-0.36"
"Craft Outfield","NC-17","17.99","20.14","5.93","-0.36"
"Dumbo Lust","NC-17","17.99","20.14","5.93","-0.36"
"Grail Frankenstein","NC-17","17.99","20.14","5.93","-0.36"
"Insider Arizona","NC-17","17.99","20.14","5.93","-0.36"
"Phantom Glory","NC-17","17.99","20.14","5.93","-0.36"
"Runaway Tenenbaums","NC-17","17.99","20.14","5.93","-0.36"
"Something Duck","NC-17","17.99","20.14","5.93","-0.36"
"Sorority Queen","NC-17","17.99","20.14","5.93","-0.36"
"Wrath Mile","NC-17","17.99","20.14","5.93","-0.36"
"Games Bowfinger","PG-13","17.99","20.40","6.32","-0.38"
"Image Princess","PG-13","17.99","20.40","6.32","-0.38"
"Lebowski Soldiers","PG-13","17.99","20.40","6.32","-0.38"
"Outlaw Hanky","PG-13","17.99","20.40","6.32","-0.38"
"Past Suicides","PG-13","17.99","20.40","6.32","-0.38"
"Perfect Groove","PG-13","17.99","20.40","6.32","-0.38"
"Pittsburgh Hunchback","PG-13","17.99","20.40","6.32","-0.38"
"Rocky War","PG-13","17.99","20.40","6.32","-0.38"
"Rushmore Mermaid","PG-13","17.99","20.40","6.32","-0.38"
"American Circus","R","17.99","20.23","5.79","-0.39"
"Details Packer","R","17.99","20.23","5.79","-0.39"
"Frogmen Breaking","R","17.99","20.23","5.79","-0.39"
"Interview Liaisons","R","17.99","20.23","5.79","-0.39"
"Music Boondock","R","17.99","20.23","5.79","-0.39"
"Town Ark","R","17.99","20.23","5.79","-0.39"
"Vanished Garden","R","17.99","20.23","5.79","-0.39"
"Vertigo Northwest","R","17.99","20.23","5.79","-0.39"
"Alamo Videotape","G","16.99","20.12","6.39","-0.49"
"Beach Heartbreakers","G","16.99","20.12","6.39","-0.49"
"Casualties Encino","G","16.99","20.12","6.39","-0.49"
"Day Unfaithful","G","16.99","20.12","6.39","-0.49"
"Dogma Family","G","16.99","20.12","6.39","-0.49"
"Minority Kiss","G","16.99","20.12","6.39","-0.49"
"Primary Glass","G","16.99","20.12","6.39","-0.49"
"Unbreakable Karate","G","16.99","20.12","6.39","-0.49"
"Carol Texas","PG","15.99","18.96","5.67","-0.52"
"Jawbreaker Brooklyn","PG","15.99","18.96","5.67","-0.52"
"Liaisons Sweet","PG","15.99","18.96","5.67","-0.52"
"Majestic Floats","PG","15.99","18.96","5.67","-0.52"
"Oklahoma Jumanji","PG","15.99","18.96","5.67","-0.52"
"Sensibility Rear","PG","15.99","18.96","5.67","-0.52"
"Sky Miracle","PG","15.99","18.96","5.67","-0.52"
"Snatch Slipper","PG","15.99","18.96","5.67","-0.52"
"Unforgiven Zoolander","PG","15.99","18.96","5.67","-0.52"
"Apache Divine","NC-17","16.99","20.14","5.93","-0.53"
"Caribbean Liberty","NC-17","16.99","20.14","5.93","-0.53"
"Chocolat Harry","NC-17","16.99","20.14","5.93","-0.53"
"Enough Raging","NC-17","16.99","20.14","5.93","-0.53"
"Frankenstein Stranger","NC-17","16.99","20.14","5.93","-0.53"
"Gunfight Moon","NC-17","16.99","20.14","5.93","-0.53"
"Hedwig Alter","NC-17","16.99","20.14","5.93","-0.53"
"Uprising Uptown","NC-17","16.99","20.14","5.93","-0.53"
"Anthem Luke","PG-13","16.99","20.40","6.32","-0.54"
"Casper Dragonfly","PG-13","16.99","20.40","6.32","-0.54"
"Dares Pluto","PG-13","16.99","20.40","6.32","-0.54"
"Detective Vision","PG-13","16.99","20.40","6.32","-0.54"
"Jacket Frisco","PG-13","16.99","20.40","6.32","-0.54"
"Million Ace","PG-13","16.99","20.40","6.32","-0.54"
"Philadelphia Wife","PG-13","16.99","20.40","6.32","-0.54"
"Rugrats Shakespeare","PG-13","16.99","20.40","6.32","-0.54"
"Vision Torque","PG-13","16.99","20.40","6.32","-0.54"
"Cause Date","R","16.99","20.23","5.79","-0.56"
"Clones Pinocchio","R","16.99","20.23","5.79","-0.56"
"Crowds Telemark","R","16.99","20.23","5.79","-0.56"
"Doubtfire Labyrinth","R","16.99","20.23","5.79","-0.56"
"Freaky Pocus","R","16.99","20.23","5.79","-0.56"
"Massacre Usual","R","16.99","20.23","5.79","-0.56"
"Angels Life","G","15.99","20.12","6.39","-0.65"
"Annie Identity","G","15.99","20.12","6.39","-0.65"
"Atlantis Cause","G","15.99","20.12","6.39","-0.65"
"Barefoot Manchurian","G","15.99","20.12","6.39","-0.65"
"Birds Perdition","G","15.99","20.12","6.39","-0.65"
"Clerks Angels","G","15.99","20.12","6.39","-0.65"
"Harper Dying","G","15.99","20.12","6.39","-0.65"
"Kill Brotherhood","G","15.99","20.12","6.39","-0.65"
"Panic Club","G","15.99","20.12","6.39","-0.65"
"Wars Pluto","G","15.99","20.12","6.39","-0.65"
"Apollo Teen","PG-13","15.99","20.40","6.32","-0.70"
"Bringing Hysterical","PG","14.99","18.96","5.67","-0.70"
"Candles Grapes","NC-17","15.99","20.14","5.93","-0.70"
"Duck Racer","NC-17","15.99","20.14","5.93","-0.70"
"Effect Gladiator","PG","14.99","18.96","5.67","-0.70"
"Expendable Stallion","PG","14.99","18.96","5.67","-0.70"
"Fiction Christmas","PG","14.99","18.96","5.67","-0.70"
"Full Flatliners","PG","14.99","18.96","5.67","-0.70"
"Lady Stage","PG","14.99","18.96","5.67","-0.70"
"Legally Secretary","PG","14.99","18.96","5.67","-0.70"
"Mourning Purple","PG","14.99","18.96","5.67","-0.70"
"Mummy Creatures","NC-17","15.99","20.14","5.93","-0.70"
"Pocus Pulp","NC-17","15.99","20.14","5.93","-0.70"
"Pollock Deliverance","PG","14.99","18.96","5.67","-0.70"
"Prejudice Oleander","PG-13","15.99","20.40","6.32","-0.70"
"Rainbow Shock","PG","14.99","18.96","5.67","-0.70"
"Shock Cabin","PG-13","15.99","20.40","6.32","-0.70"
"Shrek License","PG-13","15.99","20.40","6.32","-0.70"
"Squad Fish","PG","14.99","18.96","5.67","-0.70"
"Steel Santa","NC-17","15.99","20.14","5.93","-0.70"
"Wedding Apollo","PG","14.99","18.96","5.67","-0.70"
"Airport Pollock","R","15.99","20.23","5.79","-0.73"
"Banger Pinocchio","R","15.99","20.23","5.79","-0.73"
"Forrest Sons","R","15.99","20.23","5.79","-0.73"
"Hardly Robbers","R","15.99","20.23","5.79","-0.73"
"Home Pity","R","15.99","20.23","5.79","-0.73"
"Illusion Amelie","R","15.99","20.23","5.79","-0.73"
"Remember Diary","R","15.99","20.23","5.79","-0.73"
"Seven Swarm","R","15.99","20.23","5.79","-0.73"
"Ship Wonderland","R","15.99","20.23","5.79","-0.73"
"Bird Independence","G","14.99","20.12","6.39","-0.80"
"Bulworth Commandments","G","14.99","20.12","6.39","-0.80"
"Cat Coneheads","G","14.99","20.12","6.39","-0.80"
"Conquerer Nuts","G","14.99","20.12","6.39","-0.80"
"Darn Forrester","G","14.99","20.12","6.39","-0.80"
"Drumline Cyclone","G","14.99","20.12","6.39","-0.80"
"Firehouse Vietnam","G","14.99","20.12","6.39","-0.80"
"Graduate Lord","G","14.99","20.12","6.39","-0.80"
"Attraction Newton","PG-13","14.99","20.40","6.32","-0.86"
"Braveheart Human","PG-13","14.99","20.40","6.32","-0.86"
"Frontier Cabin","PG-13","14.99","20.40","6.32","-0.86"
"Juggler Hardly","PG-13","14.99","20.40","6.32","-0.86"
"Madness Attacks","PG-13","14.99","20.40","6.32","-0.86"
"Park Citizen","PG-13","14.99","20.40","6.32","-0.86"
"Slipper Fidelity","PG-13","14.99","20.40","6.32","-0.86"
"Snatchers Montezuma","PG-13","14.99","20.40","6.32","-0.86"
"Trip Newton","PG-13","14.99","20.40","6.32","-0.86"
"Boondock Ballroom","NC-17","14.99","20.14","5.93","-0.87"
"Chamber Italian","NC-17","14.99","20.14","5.93","-0.87"
"Eagles Panky","NC-17","14.99","20.14","5.93","-0.87"
"Godfather Diary","NC-17","14.99","20.14","5.93","-0.87"
"Hours Rage","NC-17","14.99","20.14","5.93","-0.87"
"Insects Stone","NC-17","14.99","20.14","5.93","-0.87"
"Odds Boogie","NC-17","14.99","20.14","5.93","-0.87"
"Towers Hurricane","NC-17","14.99","20.14","5.93","-0.87"
"Varsity Trip","NC-17","14.99","20.14","5.93","-0.87"
"Virtual Spoilers","NC-17","14.99","20.14","5.93","-0.87"
"Youth Kick","NC-17","14.99","20.14","5.93","-0.87"
"Boiled Dares","PG","13.99","18.96","5.67","-0.88"
"Ferris Mother","PG","13.99","18.96","5.67","-0.88"
"Frost Head","PG","13.99","18.96","5.67","-0.88"
"Lion Uncut","PG","13.99","18.96","5.67","-0.88"
"Mighty Luck","PG","13.99","18.96","5.67","-0.88"
"Mulholland Beast","PG","13.99","18.96","5.67","-0.88"
"Tadpole Park","PG","13.99","18.96","5.67","-0.88"
"Temple Attraction","PG","13.99","18.96","5.67","-0.88"
"Trouble Date","PG","13.99","18.96","5.67","-0.88"
"Words Hunter","PG","13.99","18.96","5.67","-0.88"
"Alone Trip","R","14.99","20.23","5.79","-0.91"
"Conversation Downhill","R","14.99","20.23","5.79","-0.91"
"Durham Panky","R","14.99","20.23","5.79","-0.91"
"Greedy Roots","R","14.99","20.23","5.79","-0.91"
"Jet Neighbors","R","14.99","20.23","5.79","-0.91"
"Oz Liaisons","R","14.99","20.23","5.79","-0.91"
"Pajama Jawbreaker","R","14.99","20.23","5.79","-0.91"
"Shepherd Midsummer","R","14.99","20.23","5.79","-0.91"
"Shrunk Divine","R","14.99","20.23","5.79","-0.91"
"Tights Dawn","R","14.99","20.23","5.79","-0.91"
"Velvet Terminator","R","14.99","20.23","5.79","-0.91"
"Autumn Crow","G","13.99","20.12","6.39","-0.96"
"Blood Argonauts","G","13.99","20.12","6.39","-0.96"
"Bunch Minds","G","13.99","20.12","6.39","-0.96"
"Duffel Apocalypse","G","13.99","20.12","6.39","-0.96"
"Dwarfs Alter","G","13.99","20.12","6.39","-0.96"
"Gilbert Pelican","G","13.99","20.12","6.39","-0.96"
"Jumanji Blade","G","13.99","20.12","6.39","-0.96"
"Monterey Labyrinth","G","13.99","20.12","6.39","-0.96"
"Scissorhands Slums","G","13.99","20.12","6.39","-0.96"
"Suicides Silence","G","13.99","20.12","6.39","-0.96"
"Sweethearts Suspects","G","13.99","20.12","6.39","-0.96"
"Timberland Sky","G","13.99","20.12","6.39","-0.96"
"Traffic Hobbit","G","13.99","20.12","6.39","-0.96"
"Circus Youth","PG-13","13.99","20.40","6.32","-1.01"
"Daughter Madigan","PG-13","13.99","20.40","6.32","-1.01"
"Divide Monster","PG-13","13.99","20.40","6.32","-1.01"
"Eyes Driving","PG-13","13.99","20.40","6.32","-1.01"
"Glory Tracy","PG-13","13.99","20.40","6.32","-1.01"
"Intentions Empire","PG-13","13.99","20.40","6.32","-1.01"
"Order Betrayed","PG-13","13.99","20.40","6.32","-1.01"
"Rollercoaster Bringing","PG-13","13.99","20.40","6.32","-1.01"
"Sleeping Suspects","PG-13","13.99","20.40","6.32","-1.01"
"Smoking Barbarella","PG-13","13.99","20.40","6.32","-1.01"
"Spy Mile","PG-13","13.99","20.40","6.32","-1.01"
"World Leathernecks","PG-13","13.99","20.40","6.32","-1.01"
"Confidential Interview","NC-17","13.99","20.14","5.93","-1.04"
"Darko Dorado","NC-17","13.99","20.14","5.93","-1.04"
"Deer Virginian","NC-17","13.99","20.14","5.93","-1.04"
"Groove Fiction","NC-17","13.99","20.14","5.93","-1.04"
"Hall Cassidy","NC-17","13.99","20.14","5.93","-1.04"
"Haunted Antitrust","NC-17","13.99","20.14","5.93","-1.04"
"Heavenly Gun","NC-17","13.99","20.14","5.93","-1.04"
"Jerk Paycheck","NC-17","13.99","20.14","5.93","-1.04"
"Ladybugs Armageddon","NC-17","13.99","20.14","5.93","-1.04"
"Scalawag Duck","NC-17","13.99","20.14","5.93","-1.04"
"State Wasteland","NC-17","13.99","20.14","5.93","-1.04"
"Wolves Desire","NC-17","13.99","20.14","5.93","-1.04"
"Bill Others","PG","12.99","18.96","5.67","-1.05"
"Blackout Private","PG","12.99","18.96","5.67","-1.05"
"Center Dinosaur","PG","12.99","18.96","5.67","-1.05"
"Invasion Cyclone","PG","12.99","18.96","5.67","-1.05"
"Jedi Beneath","PG","12.99","18.96","5.67","-1.05"
"Oleander Clue","PG","12.99","18.96","5.67","-1.05"
"Patriot Roman","PG","12.99","18.96","5.67","-1.05"
"Polish Brooklyn","PG","12.99","18.96","5.67","-1.05"
"President Bang","PG","12.99","18.96","5.67","-1.05"
"Resurrection Silverado","PG","12.99","18.96","5.67","-1.05"
"Volume House","PG","12.99","18.96","5.67","-1.05"
"Watch Tracy","PG","12.99","18.96","5.67","-1.05"
"Wizard Coldblooded","PG","12.99","18.96","5.67","-1.05"
"Chocolate Duck","R","13.99","20.23","5.79","-1.08"
"Clueless Bucket","R","13.99","20.23","5.79","-1.08"
"Commandments Express","R","13.99","20.23","5.79","-1.08"
"Doom Dancing","R","13.99","20.23","5.79","-1.08"
"Fight Jawbreaker","R","13.99","20.23","5.79","-1.08"
"Galaxy Sweethearts","R","13.99","20.23","5.79","-1.08"
"House Dynamite","R","13.99","20.23","5.79","-1.08"
"Prix Undefeated","R","13.99","20.23","5.79","-1.08"
"Ace Goldfinger","G","12.99","20.12","6.39","-1.12"
"Clash Freddy","G","12.99","20.12","6.39","-1.12"
"Easy Gladiator","G","12.99","20.12","6.39","-1.12"
"Hoosiers Birdcage","G","12.99","20.12","6.39","-1.12"
"Lonely Elephant","G","12.99","20.12","6.39","-1.12"
"Moonwalker Fool","G","12.99","20.12","6.39","-1.12"
"Noon Papi","G","12.99","20.12","6.39","-1.12"
"Pulp Beverly","G","12.99","20.12","6.39","-1.12"
"Shining Roses","G","12.99","20.12","6.39","-1.12"
"Sleepless Monsoon","G","12.99","20.12","6.39","-1.12"
"Spiking Element","G","12.99","20.12","6.39","-1.12"
"Stranger Strangers","G","12.99","20.12","6.39","-1.12"
"Argonauts Town","PG-13","12.99","20.40","6.32","-1.17"
"Bright Encounters","PG-13","12.99","20.40","6.32","-1.17"
"Club Graffiti","PG-13","12.99","20.40","6.32","-1.17"
"Feathers Metal","PG-13","12.99","20.40","6.32","-1.17"
"Hawk Chill","PG-13","12.99","20.40","6.32","-1.17"
"Identity Lover","PG-13","12.99","20.40","6.32","-1.17"
"Maker Gables","PG-13","12.99","20.40","6.32","-1.17"
"Masked Bubble","PG-13","12.99","20.40","6.32","-1.17"
"Mine Titans","PG-13","12.99","20.40","6.32","-1.17"
"Paradise Sabrina","PG-13","12.99","20.40","6.32","-1.17"
"Spinal Rocky","PG-13","12.99","20.40","6.32","-1.17"
"Swarm Gold","PG-13","12.99","20.40","6.32","-1.17"
"Anonymous Human","NC-17","12.99","20.14","5.93","-1.21"
"Coneheads Smoochy","NC-17","12.99","20.14","5.93","-1.21"
"Cranes Reservoir","NC-17","12.99","20.14","5.93","-1.21"
"Gump Date","NC-17","12.99","20.14","5.93","-1.21"
"Igby Maker","NC-17","12.99","20.14","5.93","-1.21"
"Outbreak Divine","NC-17","12.99","20.14","5.93","-1.21"
"Sierra Divide","NC-17","12.99","20.14","5.93","-1.21"
"Carrie Bunch","PG","11.99","18.96","5.67","-1.23"
"Drums Dynamite","PG","11.99","18.96","5.67","-1.23"
"Egypt Tenenbaums","PG","11.99","18.96","5.67","-1.23"
"Greek Everyone","PG","11.99","18.96","5.67","-1.23"
"Hurricane Affair","PG","11.99","18.96","5.67","-1.23"
"Massage Image","PG","11.99","18.96","5.67","-1.23"
"Murder Antitrust","PG","11.99","18.96","5.67","-1.23"
"Party Knock","PG","11.99","18.96","5.67","-1.23"
"Pet Haunting","PG","11.99","18.96","5.67","-1.23"
"Records Zorro","PG","11.99","18.96","5.67","-1.23"
"Sabrina Midnight","PG","11.99","18.96","5.67","-1.23"
"Secret Groundhog","PG","11.99","18.96","5.67","-1.23"
"Silverado Goldfinger","PG","11.99","18.96","5.67","-1.23"
"Titans Jerk","PG","11.99","18.96","5.67","-1.23"
"Closer Bang","R","12.99","20.23","5.79","-1.25"
"Devil Desire","R","12.99","20.23","5.79","-1.25"
"Go Purple","R","12.99","20.23","5.79","-1.25"
"Holocaust Highball","R","12.99","20.23","5.79","-1.25"
"Jeopardy Encino","R","12.99","20.23","5.79","-1.25"
"Road Roxanne","R","12.99","20.23","5.79","-1.25"
"Soup Wisdom","R","12.99","20.23","5.79","-1.25"
"Suit Walls","R","12.99","20.23","5.79","-1.25"
"Unfaithful Kill","R","12.99","20.23","5.79","-1.25"
"Wind Phantom","R","12.99","20.23","5.79","-1.25"
"Wisdom Worker","R","12.99","20.23","5.79","-1.25"
"Fidelity Devil","G","11.99","20.12","6.39","-1.27"
"Hyde Doctor","G","11.99","20.12","6.39","-1.27"
"Novocaine Flight","G","11.99","20.12","6.39","-1.27"
"Saints Bride","G","11.99","20.12","6.39","-1.27"
"Trap Guys","G","11.99","20.12","6.39","-1.27"
"Chicago North","PG-13","11.99","20.40","6.32","-1.33"
"Driver Annie","PG-13","11.99","20.40","6.32","-1.33"
"Flintstones Happiness","PG-13","11.99","20.40","6.32","-1.33"
"Kiss Glory","PG-13","11.99","20.40","6.32","-1.33"
"Name Detective","PG-13","11.99","20.40","6.32","-1.33"
"Psycho Shrunk","PG-13","11.99","20.40","6.32","-1.33"
"Raiders Antitrust","PG-13","11.99","20.40","6.32","-1.33"
"Scarface Bang","PG-13","11.99","20.40","6.32","-1.33"
"Tarzan Videotape","PG-13","11.99","20.40","6.32","-1.33"
"Whale Bikini","PG-13","11.99","20.40","6.32","-1.33"
"Antitrust Tomatoes","NC-17","11.99","20.14","5.93","-1.37"
"Elizabeth Shane","NC-17","11.99","20.14","5.93","-1.37"
"Impossible Prejudice","NC-17","11.99","20.14","5.93","-1.37"
"Jungle Closer","NC-17","11.99","20.14","5.93","-1.37"
"Memento Zoolander","NC-17","11.99","20.14","5.93","-1.37"
"Model Fish","NC-17","11.99","20.14","5.93","-1.37"
"Pizza Jumanji","NC-17","11.99","20.14","5.93","-1.37"
"Sons Interview","NC-17","11.99","20.14","5.93","-1.37"
"Untouchables Sunrise","NC-17","11.99","20.14","5.93","-1.37"
"Vampire Whale","NC-17","11.99","20.14","5.93","-1.37"
"Westward Seabiscuit","NC-17","11.99","20.14","5.93","-1.37"
"Cowboy Doom","PG","10.99","18.96","5.67","-1.41"
"Gaslight Crusade","PG","10.99","18.96","5.67","-1.41"
"Kentuckian Giant","PG","10.99","18.96","5.67","-1.41"
"Mile Mulan","PG","10.99","18.96","5.67","-1.41"
"Secretary Rouge","PG","10.99","18.96","5.67","-1.41"
"Stock Glass","PG","10.99","18.96","5.67","-1.41"
"Super Wyoming","PG","10.99","18.96","5.67","-1.41"
"Tootsie Pilot","PG","10.99","18.96","5.67","-1.41"
"Apocalypse Flamingos","R","11.99","20.23","5.79","-1.42"
"Boogie Amelie","R","11.99","20.23","5.79","-1.42"
"Boulevard Mob","R","11.99","20.23","5.79","-1.42"
"Frida Slipper","R","11.99","20.23","5.79","-1.42"
"Killer Innocent","R","11.99","20.23","5.79","-1.42"
"Madison Trap","R","11.99","20.23","5.79","-1.42"
"Streetcar Intentions","R","11.99","20.23","5.79","-1.42"
