id,name,type,city_name,subcountry_name,country_name,site
2002,Dkt International,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2003,Dla Piper,Priv,London,,United Kingdom,"London, , United Kingdom"
2004,Dnv Gl,Priv,Oslo,,Norway,"Oslo, , Norway"
2005,"Docapesca, Sa",Priv,Lisbon,,Portugal,"Lisbon, , Portugal"
2006,Dodder Action,Ngo,Clonskeagh,,United Kingdom,"Clonskeagh, , United Kingdom"
2007,Doen Foundation,Ngo,Amsterdam,,Netherlands,"Amsterdam, , Netherlands"
2008,Doirani,Subgov,Doirani,,Greece,"Doirani, , Greece"
2009,Dometic,Priv,Elkhart,,United States,"Elkhart, , United States"
2010,Dominica,Natgov,Roseau,,Dominica,"Roseau, , Dominica"
2011,Dominica Electricity Services Ltd.,Priv,Roseau,,Dominica,"Roseau, , Dominica"
2012,Dominica Water And Sewerage Company,Priv,Roseau,,Dominica,"Roseau, , Dominica"
2013,Dominican Federation Of Fishing Workers And The Autonomous University Of Santo Domingo,Acad,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
2014,Dominican Republic,Natgov,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
2015,Dominican Republican National Aquarium,Sci,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
2016,Don Bosco Foundation Of Cambodia,Ngo,Krong Kep,,Cambodia,"Krong Kep, , Cambodia"
2017,Don Bosco Tech Society,Ngo,New Delhi,,India,"New Delhi, , India"
2018,Dongwon,Priv,Dalsung-Gun,,South Korea,"Dalsung-Gun, , South Korea"
2019,Donkey Sanctuary,Ngo,Sidmouth,,United Kingdom,"Sidmouth, , United Kingdom"
2020,Dorling Kindersley,Priv,London,,United Kingdom,"London, , United Kingdom"
2021,Douglas Shire Council,Subgov,Mossman,,Australia,"Mossman, , Australia"
2022,Dove Green Tech,Priv,Dar Es Salaam,,Tanzania,"Dar Es Salaam, , Tanzania"
2023,Dow Chemical Company,Priv,Midland (Mi),,United States,"Midland (Mi), , United States"
2024,Down Syndrom International,Ngo,Kingston Upon Thames,,United Kingdom,"Kingston Upon Thames, , United Kingdom"
2025,Downeast Institute For Applied Marine Research And Education,Sci,Beals,,United States,"Beals, , United States"
2026,Downtown Community Television Center,Ngo,New York City,,United States,"New York City, , United States"
2027,Dr. Mahalingam College Of Engineering And Technology,Acad,Pollachi,,India,"Pollachi, , India"
2028,Drammeh Institute,Ngo,New York,,United States,"New York, , United States"
2029,Dreamovr,Priv,Mexico City,,Mexico,"Mexico City, , Mexico"
2030,Dredging International Deme,Priv,Zwijndrecht,,Belgium,"Zwijndrecht, , Belgium"
2031,Drought Monitoring Centre,Intergov,Nairobi,,Kenya,"Nairobi, , Kenya"
2032,Dsm,Priv,Herleen,,Netherlands,"Herleen, , Netherlands"
2033,Dubai,Subgov,Dubai,,United Arab Emirates,"Dubai, , United Arab Emirates"
2034,Dubai Cares,Ngo,Dubai,,United Arab Emirates,"Dubai, , United Arab Emirates"
2035,Dubai Electricity And Water Authority,Priv,Dubai,,United States,"Dubai, , United States"
2036,Duke Energy,Priv,Charlotte,,United States,"Charlotte, , United States"
2037,Duke University,Acad,Durham,,United States,"Durham, , United States"
2038,Dunira Strategy,Ngo,Edinburgh,,United Kingdom,"Edinburgh, , United Kingdom"
2039,Dupont,Priv,Wilmington,,United States,"Wilmington, , United States"
2040,Durapole,Priv,Paris,,France,"Paris, , France"
2041,Duratech Solutions Bigdatalabs,Priv,Tamil Nadu,,India,"Tamil Nadu, , India"
2042,Durban City,Subgov,Durban,,South Africa,"Durban, , South Africa"
2043,Durres,Subgov,Durres,,Albania,"Durres, , Albania"
2044,Dushtha Shasthya Kendra,Ngo,Dhaka,,Bangladesh,"Dhaka, , Bangladesh"
2045,Dutch Agricultural Development And Trading Company,Priv,Dordrecht,,Netherlands,"Dordrecht, , Netherlands"
2046,Dutch Coalition On Disability And Development,Ngo,The Hague,,Netherlands,"The Hague, , Netherlands"
2047,Dutch Cooperation Service,Ngo,The Hague,,Netherlands,"The Hague, , Netherlands"
2048,Dutch Cycling Embassy,Ngo,Delft,,Netherlands,"Delft, , Netherlands"
2049,Dutch Design Foundation,Ngo,Eindhoven,,Netherlands,"Eindhoven, , Netherlands"
2050,Dutchspirit,Priv,Arnhem,,Netherlands,"Arnhem, , Netherlands"
2051,Dvd Kampala,Priv,Kampala,,Uganda,"Kampala, , Uganda"
2052,"E+Co, Inc.",Ngo,Bloomfield,,United States,"Bloomfield, , United States"
2053,E2e Foundation,Ngo,Medellin,,Colombia,"Medellin, , Colombia"
2054,Ea Law,Priv,Christchurch,,New Zealand,"Christchurch, , New Zealand"
2055,Eagle Energy,Priv,Billings,,United States,"Billings, , United States"
2056,Eaglerail Container Logistics,Priv,Chicago,,United States,"Chicago, , United States"
2057,Earth 3000,Ngo,Berlin,,Germany,"Berlin, , Germany"
2058,Earth Aid,Ngo,London,,United Kingdom,"London, , United Kingdom"
2059,Earth Charter Center On Education For Sustainable Development,Ngo,San Jose,,Costa Rica,"San Jose, , Costa Rica"
2060,Earth Charter Initiative,Ngo,San Jose,,Costa Rica,"San Jose, , Costa Rica"
2061,Earth Check,Priv,Brisbane,,Australia,"Brisbane, , Australia"
2062,Earth Council,Ngo,San Jose,,Costa Rica,"San Jose, , Costa Rica"
2063,Earth Day Network,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2064,Earth Focus Foundation,Ngo,Carouge,,Switzerland,"Carouge, , Switzerland"
2065,Earth Forever,Ngo,Svishtov,,Bulgaria,"Svishtov, , Bulgaria"
2066,Earth Guardians,Ngo,Boulder,,United States,"Boulder, , United States"
2067,Earth Innovation Institute,Ngo,San Francisco,,United States,"San Francisco, , United States"
2068,Earth Island Institute,Ngo,Berkeley,,United States,"Berkeley, , United States"
2069,Earth Law Center,Ngo,New York,,United States,"New York, , United States"
2070,Earth Resources Corporation,Priv,Dewey,,United States,"Dewey, , United States"
2071,Earth Rights Institute,Ngo,Scotland,,United States,"Scotland, , United States"
2072,Earth University,Acad,San Jose,,Costa Rica,"San Jose, , Costa Rica"
2073,Earth2ocean-Inc.,Ngo,Miami,,United States,"Miami, , United States"
2074,Earthecho-International,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2075,Earthmind,Ngo,Gland,,Switzerland,"Gland, , Switzerland"
2076,Earthscape,Priv,Boulder,,United States,"Boulder, , United States"
2077,Earthspark International,Priv,Washington Dc,,United States,"Washington Dc, , United States"
2078,Earthtech,Priv,Dalkeith,,United Kingdom,"Dalkeith, , United Kingdom"
2079,Earthwatch Institute,Ngo,Boston,,United States,"Boston, , United States"
2080,Earthworks,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2081,East Africa Breweries Limited,Priv,Nairobi,,Kenya,"Nairobi, , Kenya"
2082,East Africa Community,Intergov,Arusha,,Tanzania,"Arusha, , Tanzania"
2083,East African Association Of Grantmakers,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
2084,East African Power Pool,Intergov,Addis Ababa,,Ethiopia,"Addis Ababa, , Ethiopia"
2085,East African Wildlife Society,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
2086,East Asia Response Limited,Priv,Singapore,,Singapore,"Singapore, , Singapore"
2087,East Capital,Priv,Stockholm,,Sweden,"Stockholm, , Sweden"
2088,East Carolina University,Acad,Greenville,,United States,"Greenville, , United States"
2089,East Foundation,Sci,Lisbon,,Portugal,"Lisbon, , Portugal"
2090,East New Britain Sosel Eksen Komiti,Ngo,Kokopo,,Papua New Guinea,"Kokopo, , Papua New Guinea"
2091,Eastern Fishermen'S Federation,Ngo,Grand Manan,,Canada,"Grand Manan, , Canada"
2092,Eastern Macedonia And Thrace,Subgov,Komotini,,Greece,"Komotini, , Greece"
2093,Eastern Research Group,Priv,Lexington,,United States,"Lexington, , United States"
2094,Eastern Shore Fisherman'S Protective Association,Ngo,Musquodoboit Hbr,,Canada,"Musquodoboit Hbr, , Canada"
2095,East-West Center,Ngo,Honolulu,,United States,"Honolulu, , United States"
2096,Easylan,Priv,Rome,,Italy,"Rome, , Italy"
2097,Eaton,Priv,Dublin,,Ireland,"Dublin, , Ireland"
2098,Ebony Women'S Association,Ngo,Ladrilleros,,Colombia,"Ladrilleros, , Colombia"
2099,Ebonyi State,Subgov,Abakaliki,,Nigeria,"Abakaliki, , Nigeria"
2100,Ebonyi State University,Acad,Abakaliki,,Nigeria,"Abakaliki, , Nigeria"
2101,Ebsco Publishing,Priv,Ipswich,,United States,"Ipswich, , United States"
2102,Echandia Marine,Priv,Stockholm,,Sweden,"Stockholm, , Sweden"
2103,Echoing Green,Ngo,New York City,,United States,"New York City, , United States"
2104,Ecnc Group,Sci,Tilburg,,Netherlands,"Tilburg, , Netherlands"
2105,Eco Bali,Priv,Bali,,Indonesia,"Bali, , Indonesia"
2106,Eco Denistry Association,Ngo,Berkeley,,United States,"Berkeley, , United States"
2107,Eco Flores,Ngo,Jakarta,,Indonesia,"Jakarta, , Indonesia"
2108,Eco Ltd And Hedon Household Energy Network,Priv,London,,United Kingdom,"London, , United Kingdom"
2109,Eco Ltd.,Priv,Chiselhurst,,United Kingdom,"Chiselhurst, , United Kingdom"
2110,Eco Organization,Ngo,Accra,,Ghana,"Accra, , Ghana"
2111,Eco Preserve,Ngo,Kovalam,,India,"Kovalam, , India"
2112,Eco Strategies,Priv,Givat Ada,,Israel,"Givat Ada, , Israel"
2113,Eco Treats Tourism Ltd,Priv,Sri Jayawardanapura,,Sri Lanka,"Sri Jayawardanapura, , Sri Lanka"
2114,"Eco, Ltd.",Priv,Chiselhurst,,United Kingdom,"Chiselhurst, , United Kingdom"
2115,Ecoagriculture Partners,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2116,Ecobrasil Institute,Ngo,Rio De Janeiro,,Brazil,"Rio De Janeiro, , Brazil"
2117,Ecocean,Priv,Montpellier,,France,"Montpellier, , France"
2118,Ecociencia,Ngo,Quito,,Ecuador,"Quito, , Ecuador"
2119,Ecociencia Foundation,Ngo,Quito,,Ecuador,"Quito, , Ecuador"
2120,Ecocity Builders,Ngo,Oakland,,United States,"Oakland, , United States"
2121,Ecodes,Ngo,Zaragoza,,Spain,"Zaragoza, , Spain"
2122,Ecoduikers,Ngo,Mortsel,,Belgium,"Mortsel, , Belgium"
2123,Eco-Ethics Kenya,Ngo,Mombassa,,Kenya,"Mombassa, , Kenya"
2124,"Ecofaxine Institute - Cleaning, Monitoring And Environmental Education",Ngo,Santos,,Brazil,"Santos, , Brazil"
2125,"Ecofogao Industria De Fogoes, Ltda.",Priv,Belo Horizonte,,Brazil,"Belo Horizonte, , Brazil"
2126,Ecoforum,Ngo,Tashkent,,Uzbekistan,"Tashkent, , Uzbekistan"
2127,Eco-Forum Global,Ngo,Guiyang,,China,"Guiyang, , China"
2128,Eco-Friendly Association,Ngo,Paris,,France,"Paris, , France"
2129,Ecofys Bv,Priv,Chicago,,United States,"Chicago, , United States"
2130,Ecohub Global,Priv,Singapore,,Singapore,"Singapore, , Singapore"
2131,Ecojure,Ngo,Buenos Aires,,Argentina,"Buenos Aires, , Argentina"
2132,Ecolayers,Priv,San Diego,,United States,"San Diego, , United States"
2133,Ecoline,Priv,Moscow,,Russia,"Moscow, , Russia"
2134,Ecolise,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
2135,Ecologic Development Fund,Ngo,Cambridge,,United Kingdom,"Cambridge, , United Kingdom"
2136,Ecological Association Joinvillense - Green Living,Ngo,Joinville,,Brazil,"Joinville, , Brazil"
2137,Ecological Culture,Ngo,Juarez,,Mexico,"Juarez, , Mexico"
2138,"Ecological Monitoring Center, Based In Dakar",Sci,Dakar,,Senegal,"Dakar, , Senegal"
2139,Ecological Restorations,Ngo,Accra,,Ghana,"Accra, , Ghana"
2140,Ecological Sequestration Trust,Ngo,London,,United Kingdom,"London, , United Kingdom"
2141,Ecological Society Of America,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2142,Ecological Society Of Australia,Ngo,Windsor,,Australia,"Windsor, , Australia"
2143,Ecological Society Of Barahona,Ngo,Barahona,,Dominican Republic,"Barahona, , Dominican Republic"
2144,Ecological Society Of Japan,Ngo,Tokyo,,Japan,"Tokyo, , Japan"
2145,Ecological Society Of The Philippines,Ngo,Makati City,,Philippines,"Makati City, , Philippines"
2146,Ecological Tourism In Europe,Ngo,Bonn,,Germany,"Bonn, , Germany"
2147,Ecologists In Action,Ngo,Madrid,,Spain,"Madrid, , Spain"
2148,"Ecologízate Al 100, A.C.",Ngo,Tepic,,Mexico,"Tepic, , Mexico"
2149,Ecology Action Centre,Ngo,Halifax,,Canada,"Halifax, , Canada"
2150,Ecoloo,Priv,Stromstad,,Sweden,"Stromstad, , Sweden"
2151,Ecom Agroindustrial Corp. Ltd.,Priv,Pully,,Switzerland,"Pully, , Switzerland"
2152,Ecomachines Incubator,Priv,London,,United Kingdom,"London, , United Kingdom"
2153,Ecomanglar,Ngo,Buenaventura,,Columbia,"Buenaventura, , Columbia"
2154,Ecomar,Ngo,Belize City,,Belize,"Belize City, , Belize"
2155,Ecomed,Ngo,Stamford,,United States,"Stamford, , United States"
2156,Ecomers Laboratory,Acad,Nice,,France,"Nice, , France"
2157,Ecomode Society,Ngo,Mont Ida,,Mauritius,"Mont Ida, , Mauritius"
2158,Econergy International Corp,Priv,Boulder,,United States,"Boulder, , United States"
2159,Econexus,Ngo,Amsterdam,,Netherlands,"Amsterdam, , Netherlands"
2160,Econoler International Inc,Priv,Quebec,,Canada,"Quebec, , Canada"
2161,Economic Commission For Latin America And The Caribbean,Un,Santiago,,Chile,"Santiago, , Chile"
2162,Economic Community Of West African States,Intergov,Abuja,,Nigeria,"Abuja, , Nigeria"
2163,Economic Cooperation Organization,Intergov,Tehran,,Iran,"Tehran, , Iran"
2164,Econopolis,Priv,Antwerp,,Belgium,"Antwerp, , Belgium"
2165,Ecoocean Institute,Sci,Montpellier,,France,"Montpellier, , France"
2166,Ecooceania,Priv,Speewah,,Australia,"Speewah, , Australia"
2167,Ecopartnership,Ngo,Minsk,,Belarus,"Minsk, , Belarus"
2168,Ecopravo Lviv,Ngo,Kiev,,Ukraine,"Kiev, , Ukraine"
2169,Ecored,Ngo,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
2170,Ecoregions Indonesia,Ngo,Singapore,,Singapore,"Singapore, , Singapore"
2171,Eco-Schools,Ngo,Copenhagen,,Denmark,"Copenhagen, , Denmark"
2172,Eco-Solutions,Priv,Sukhdev Vihar,,India,"Sukhdev Vihar, , India"
2173,Ecosud,Ngo,Pisticci,,Italy,"Pisticci, , Italy"
2174,Ecoswell,Ngo,Lobitos,,Peru,"Lobitos, , Peru"
2175,Ecosynergy Group,Priv,Hamilton,,New Zealand,"Hamilton, , New Zealand"
2176,Ecosys Group,Priv,Paris,,France,"Paris, , France"
2177,Ecotema Ecologia Terra Mare S.R.L.,Ngo,Venice,,Italy,"Venice, , Italy"
2178,Ecotourism Kenya,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
2179,Ecotours Uruguay,Priv,Montevideo,,Uruguay,"Montevideo, , Uruguay"
2180,Ecotoxicological Examination Centre Llc,Sci,Podgorica,,Montenegro,"Podgorica, , Montenegro"
2181,Ecotrans: European Network For Sustainable Tourism Development,Ngo,Saarbrucken,,Germany,"Saarbrucken, , Germany"
2182,Ecoturismo Y Nuevas Tecnologias,Priv,Valladolid,,Mexico,"Valladolid, , Mexico"
2183,Ecowas Center For Renewable Energy And Energy Efficiency,Intergov,Praia,,Cape Verde,"Praia, , Cape Verde"
2184,Eco-Watch Institute,Ngo,Kunming,,China,"Kunming, , China"
2185,Ecpat International,Ngo,Bangkok,,Thailand,"Bangkok, , Thailand"
2186,Ecre-Blue Finance,Ngo,Foster Hall,,Barbados,"Foster Hall, , Barbados"
2187,Ecuador,Natgov,Quito,,Ecuador,"Quito, , Ecuador"
2188,Ecuadorian Development Of Peoples Reserve Fund,Ngo,Quito,,Ecuador,"Quito, , Ecuador"
2189,Ecumenical Advocacy Alliance,Ngo,Geneva,,Switzerland,"Geneva, , Switzerland"
2190,Eda Environmental Ltd.,Priv,Winnipeg,,Canada,"Winnipeg, , Canada"
2191,Eden Parc,Subgov,Fitii,,French Polynesia,"Fitii, , French Polynesia"
2192,Edf Energy,Priv,London,,United Kingdom,"London, , United Kingdom"
2193,Edinburgh Centre For Carbon Management,Ngo,Edinburgh,,United Kingdom,"Edinburgh, , United Kingdom"
2194,Edna Adan University Hospital,Ngo,Djibouti,,Djibouti,"Djibouti, , Djibouti"
2195,Edp Institute Brazil,Priv,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
2196,"Educación Cibernética, Automotriz, Robótica Y Electrónica, A.C.",Ngo,Tepoztlán,,Mexico,"Tepoztlán, , Mexico"
2197,Educate A Child,Ngo,Doha,,Qatar,"Doha, , Qatar"
2198,Education 21 Group,Ngo,Cumbria,,United Kingdom,"Cumbria, , United Kingdom"
2199,Education Development Centre,Ngo,Waltham,,United States,"Waltham, , United States"
2200,Education For All In Africa,Ngo,Yaounde,,Cameroon,"Yaounde, , Cameroon"
2201,Education For Employment,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2202,Education International,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
2203,Educational Activities Council,Ngo,Porto Novo,,Benin,"Porto Novo, , Benin"
2204,Educational Volunteers Foundation Of Turkey,Ngo,Istanbul,,Turkey,"Istanbul, , Turkey"
2205,Educatis University,Acad,Altdorf,,Switzerland,"Altdorf, , Switzerland"
2206,Educos Training And Consulting Llp.,Priv,Greater Faridabad,,India,"Greater Faridabad, , India"
2207,Eduseva Technologies,Priv,Coimbatore,,India,"Coimbatore, , India"
2208,Ee-Energia Engiadina,Priv,Scuol,,Switzerland,"Scuol, , Switzerland"
2209,Efrei,Acad,Villejiuf,,France,"Villejiuf, , France"
2210,Egypt,Natgov,Cairo,,Egypt,"Cairo, , Egypt"
2211,Egyptian Center For WomenS Rights,Ngo,Cairo,,Egypt,"Cairo, , Egypt"
2212,E-Idaman,Priv,Perak,,Malaysia,"Perak, , Malaysia"
2213,E-Institute,Ngo,Rio De Janerio,,Brazil,"Rio De Janerio, , Brazil"
2214,Eis-Africa,Ngo,Midrand,,South Africa,"Midrand, , South Africa"
2215,Ekiti State,Subgov,Ado Ekiti,,Nigeria,"Ado Ekiti, , Nigeria"
2216,Ekois,Ngo,Bishkek,,Kyrgyzstan,"Bishkek, , Kyrgyzstan"
2217,Ekurhuleni Metropolitan Council,Subgov,Germiston,,South Africa,"Germiston, , South Africa"
2218,El Amane For The Development Of Women,Ngo,Marrakesh,,Morocco,"Marrakesh, , Morocco"
2219,El Salvador,Natgov,San Salvador,,El Salvador,"San Salvador, , El Salvador"
2220,El Taller: Asociación De Promoción Y Desarrollo,Ngo,Arequipa,,Peru,"Arequipa, , Peru"
2221,El Tentero S.C.,Ngo,Mexico City,,Mexico,"Mexico City, , Mexico"
2222,El Tropico,Subgov,El Tropico,,Peru,"El Tropico, , Peru"
2223,Elasmocan,Ngo,Grand Canary,,Spain,"Grand Canary, , Spain"
2224,"Electrical Network Of Spain, S.A.U.",Priv,Madrid,,Spain,"Madrid, , Spain"
2225,Electricians Without Borders,Ngo,Pantin,,France,"Pantin, , France"
2226,Electrolux,Priv,Stockholm,,Sweden,"Stockholm, , Sweden"
2227,Electrowatt-Ekono Oy,Priv,Espoo,,Finland,"Espoo, , Finland"
2228,Elekta,Priv,Stockholm,,Sweden,"Stockholm, , Sweden"
2229,Elevate Children Fund,Ngo,New York City,,United States,"New York City, , United States"
2230,Elimu Yetu Coalition,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
2231,Elion Resources Group,Priv,Beijing,,China,"Beijing, , China"
2232,Elissa Scott Recruitment Pty Ltd,Priv,Halekulani,,Australia,"Halekulani, , Australia"
2233,Elizabeth Glaser Pediatric Aids Foundation,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2234,Elliotwood,Priv,London,,United States,"London, , United States"
2235,Elma Philanthropies,Ngo,New York City,,United States,"New York City, , United States"
2236,El-Vellah,Ngo,Atar,,Mauritania,"Atar, , Mauritania"
2237,Em Energy Solutions Ltd,Priv,London,,United Kingdom,"London, , United Kingdom"
2238,Emas Club,Ngo,Barcelona,,Spain,"Barcelona, , Spain"
2239,Embraco,Priv,Joinville,,Brazil,"Joinville, , Brazil"
2240,Embraer,Priv,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
2241,Emerald Sea Protection Society,Ngo,Vancouver,,Canada,"Vancouver, , Canada"
2242,Emerging Innovations Llc,Priv,Pittsburg,,United States,"Pittsburg, , United States"
2243,Emerging Power Partners Ltd,Priv,Vantaa,,Finland,"Vantaa, , Finland"
2244,Emfuleni Local Municipality,Subgov,Vanderbijlpark,,South Africa,"Vanderbijlpark, , South Africa"
2245,Emill Brunner University Of Brazil,Acad,Brasilia,,Brazil,"Brasilia, , Brazil"
2246,Eminence Associates For Social Development,Ngo,Dhaka,,Bangladesh,"Dhaka, , Bangladesh"
2247,Emory University School Of Public Health,Acad,Atlanta,,United States,"Atlanta, , United States"
2248,Empower,Ngo,New York City,,United States,"New York City, , United States"
2249,Empower Energy Design,Priv,South Bend,,United States,"South Bend, , United States"
2250,Empower Generation,Ngo,Portland,,United States,"Portland, , United States"
2251,Empresa Nacional Portuaria,Priv,Puerto Cortés,,Honduras,"Puerto Cortés, , Honduras"
2252,Empresas Aquachile,Priv,Puerto Montt,,Chile,"Puerto Montt, , Chile"
2253,Enactus,Priv,Springfield (Mo),,United States,"Springfield (Mo), , United States"
2254,Enactus Saint Mary'S,Ngo,Halifax,,Canada,"Halifax, , Canada"
2255,End Child Prostitution And Trafficking International,Ngo,Bangkok,,Thailand,"Bangkok, , Thailand"
2256,End Ecocide On Earth,Ngo,Munich,,Germany,"Munich, , Germany"
2257,Endangered Wildlife Trust,Ngo,Johannesburg,,South Africa,"Johannesburg, , South Africa"
2258,Enea,Sci,Rome,,Italy,"Rome, , Italy"
2259,Eneco,Priv,Rotterdam,,Netherlands,"Rotterdam, , Netherlands"
2260,Eneco Clean Beach Cup,Ngo,Ostende,,Belgium,"Ostende, , Belgium"
2261,Enel,Priv,Rome,,Italy,"Rome, , Italy"
2262,Energética,Ngo,Cochabamba,,Bolivia,"Cochabamba, , Bolivia"
2263,Energetics,Priv,Sydney,,Australia,"Sydney, , Australia"
2264,Energia International Network On Gender And Sustainable Energy,Ngo,The Hague,,Netherlands,"The Hague, , Netherlands"
2265,Energies Of The Sea,Priv,Paris,,France,"Paris, , France"
2266,Energime University,Ngo,New York,,United States,"New York, , United States"
2267,Energobanking Kft,Priv,Budapest,,Hungary,"Budapest, , Hungary"
2268,"Energy 2001, Inc.",Priv,Rocklin,,United States,"Rocklin, , United States"
2269,Energy And Development Action,Ngo,Rosebank,,Democratic Republic Of The Congo,"Rosebank, , Democratic Republic Of The Congo"
2270,Energy And Development Group,Priv,Cape Town,,South Africa,"Cape Town, , South Africa"
2271,Energy And Environmental Saving Ventures,Ngo,Accra,,Ghana,"Accra, , Ghana"
2272,Energy And Resources Institute,Ngo,New Delhi,,India,"New Delhi, , India"
2273,Energy And Security Group,Priv,Reston,,United States,"Reston, , United States"
2274,Energy Engineering Solutions,Priv,Osterhout,,Netherlands,"Osterhout, , Netherlands"
2275,Energy Environment Development,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
2276,Energy For Impact,Ngo,London,,United Kingdom,"London, , United Kingdom"
2277,Energy For Sustainable Development Ltd.,Priv,Neston,,United Kingdom,"Neston, , United Kingdom"
2278,Energy Institute Of Uganda,Ngo,Katuna,,Uganda,"Katuna, , Uganda"
2279,Energy Management Association Of The Philippines,Ngo,Makati City,,Philippines,"Makati City, , Philippines"
2280,Energy Mentors International Llc,Priv,Piscataway,,United States,"Piscataway, , United States"
2281,Energy Norway,Ngo,Oslo,,Norway,"Oslo, , Norway"
2282,Energy Palma,Priv,Esmeraldas,,Ecuador,"Esmeraldas, , Ecuador"
2283,Energy Research Centre Of The Netherlands,Sci,Sint Maartensvlotbrug,,Netherlands,"Sint Maartensvlotbrug, , Netherlands"
2284,Energy Research Institute,Ngo,Honolulu,,United States,"Honolulu, , United States"
2285,Energy Resources Management,Priv,Hong Kong,,China,"Hong Kong, , China"
2286,"Energy, Transport, Agriculture S.R.L",Sci,Florence,,Italy,"Florence, , Italy"
2287,Engadin Booking,Priv,Scuol,,Switzerland,"Scuol, , Switzerland"
2288,Engage Training,Priv,Bridgend,,United Kingdom,"Bridgend, , United Kingdom"
2289,Engenderhealth,Ngo,Washington Dc,,United States,"Washington Dc, , United States"
2290,Engine Manufacturers Association,Ngo,Chicago,,United States,"Chicago, , United States"
2291,Engineers In Technical And Humanitarian Opportunities Of Service,Ngo,Ames,,United States,"Ames, , United States"
2292,Engineers Without Borders,Ngo,Boulder,,United States,"Boulder, , United States"
2293,Engineers Without Borders - France,Ngo,Paris,,France,"Paris, , France"
2294,English Schools Foundation,Acad,Hong Kong,,China,"Hong Kong, , China"
2295,Eni Enrico Mattei Foundation,Sci,Milan,,Italy,"Milan, , Italy"
2296,Eni Tecnologie,Priv,Rome,,Italy,"Rome, , Italy"
2297,Enl Foundation,Ngo,Moka,,Mauritius,"Moka, , Mauritius"
2298,Eno Programme Association Finland,Ngo,Joensuu,,Finland,"Joensuu, , Finland"
2299,Enops Engenharia,Priv,Sao Paulo,,Brazil,"Sao Paulo, , Brazil"
2300,Enova,Priv,Chicago,,United States,"Chicago, , United States"
2301,Enprima Oy,Priv,Vantaa,,Finland,"Vantaa, , Finland"
2302,Enscope,Ngo,Mons,,Belgium,"Mons, , Belgium"
2303,Entergy,Priv,New Orleans,,United States,"New Orleans, , United States"
2304,Entomological Society Of China,Ngo,Beijing,,China,"Beijing, , China"
2305,Entomological Society Of Japan,Ngo,Kyoto,,Japan,"Kyoto, , Japan"
2306,Entomological Society Of Korea,Ngo,Seoul,,South Korea,"Seoul, , South Korea"
2307,Entrena,Ngo,Santo Domingo,,Dominican Republic,"Santo Domingo, , Dominican Republic"
2308,Enugu State,Subgov,Enugu,,Nigeria,"Enugu, , Nigeria"
2309,"Envejeciendo Juntos, A.C.",Ngo,Pachuca,,Mexico,"Pachuca, , Mexico"
2310,Environment Agency Abu Dhabi,Subgov,Abu Dhabi,,United Arab Emirates,"Abu Dhabi, , United Arab Emirates"
2311,Environment And Development Action In The Third World,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
2312,Environment And Development Of The Third World,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
2313,Environment And Third World Development,Ngo,Dakar,,Senegal,"Dakar, , Senegal"
2314,Environment And Tourism Support,Ngo,Ikenegbu,,Nigeria,"Ikenegbu, , Nigeria"
2315,Environment Club Of Kelaa School,Acad,Kelaa,,Maldives,"Kelaa, , Maldives"
2316,Environment Liaison Centre International,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
2317,Environment Liason Centre International,Ngo,Nairobi,,Kenya,"Nairobi, , Kenya"
2318,Environment Magazine,Priv,Philadelphia,,United States,"Philadelphia, , United States"
2319,Environment Online,Ngo,Joensuu,,Finland,"Joensuu, , Finland"
2320,Environment Protection For Rural Development Organization,Ngo,Kasese,,Uganda,"Kasese, , Uganda"
2321,Environmental Advisers,Ngo,Brussels,,Belgium,"Brussels, , Belgium"
2322,Environmental Alliance For The Mediterranean,Ngo,Rome,,Italy,"Rome, , Italy"
2323,Environmental And Energy Technology And Policy Institute,Ngo,Wyckoff,,United States,"Wyckoff, , United States"
2324,Environmental Association For Universities And Colleges,Ngo,Cheltenham,,United Kingdom,"Cheltenham, , United Kingdom"
