"title","x","round","sigma","z"
"Halloween Nuts","PG-13","20.40","6.32","-0.07"
"Loverboy Attacks","PG-13","20.40","6.32","-0.07"
"Miracle Virtual","PG-13","20.40","6.32","-0.07"
"Notting Speakeasy","PG-13","20.40","6.32","-0.07"
"Paris Weekend","PG-13","20.40","6.32","-0.07"
"Personal Ladybugs","PG-13","20.40","6.32","-0.07"
"Sinners Atlantis","PG-13","20.40","6.32","-0.07"
"Sister Freddy","PG-13","20.40","6.32","-0.07"
"Speed Suit","PG-13","20.40","6.32","-0.07"
"Sunrise League","PG-13","20.40","6.32","-0.07"
"Victory Academy","PG-13","20.40","6.32","-0.07"
"Agent Truman","PG","18.96","5.67","-0.17"
"Arsenic Independence","PG","18.96","5.67","-0.17"
"Born Spinal","PG","18.96","5.67","-0.17"
"Bound Cheaper","PG","18.96","5.67","-0.17"
"Chill Luck","PG","18.96","5.67","-0.17"
"Disciple Mother","PG","18.96","5.67","-0.17"
"Gables Metropolis","PG","18.96","5.67","-0.17"
"Money Harold","PG","18.96","5.67","-0.17"
"Musketeers Wait","PG","18.96","5.67","-0.17"
"Pelican Comforts","PG","18.96","5.67","-0.17"
"Pilot Hoosiers","PG","18.96","5.67","-0.17"
"Tequila Past","PG","18.96","5.67","-0.17"
"Wagon Jaws","PG","18.96","5.67","-0.17"
"Blues Instinct","G","20.12","6.39","-0.18"
"Breakfast Goldfinger","G","20.12","6.39","-0.18"
"Citizen Shrek","G","20.12","6.39","-0.18"
"Ghost Groundhog","G","20.12","6.39","-0.18"
"Hanging Deep","G","20.12","6.39","-0.18"
"Menagerie Rushmore","G","20.12","6.39","-0.18"
"Wake Jaws","G","20.12","6.39","-0.18"
"Adaptation Holes","NC-17","20.14","5.93","-0.19"
"Flying Hook","NC-17","20.14","5.93","-0.19"
"Inch Jet","NC-17","20.14","5.93","-0.19"
"Jumping Wrath","NC-17","20.14","5.93","-0.19"
"None Spiking","NC-17","20.14","5.93","-0.19"
"Outfield Massacre","NC-17","20.14","5.93","-0.19"
"Zorro Ark","NC-17","20.14","5.93","-0.19"
"Fire Wolves","R","20.23","5.79","-0.21"
"Ghostbusters Elf","R","20.23","5.79","-0.21"
"Kane Exorcist","R","20.23","5.79","-0.21"
"Lose Inch","R","20.23","5.79","-0.21"
"Rage Games","R","20.23","5.79","-0.21"
"Raging Airplane","R","20.23","5.79","-0.21"
"Saturn Name","R","20.23","5.79","-0.21"
"Smoochy Control","R","20.23","5.79","-0.21"
"Titanic Boondock","R","20.23","5.79","-0.21"
"Basic Easy","PG-13","20.40","6.32","-0.22"
"Drifter Commandments","PG-13","20.40","6.32","-0.22"
"English Bulworth","PG-13","20.40","6.32","-0.22"
"Harry Idaho","PG-13","20.40","6.32","-0.22"
"Lambs Cincinatti","PG-13","20.40","6.32","-0.22"
"Louisiana Harry","PG-13","20.40","6.32","-0.22"
"Mannequin Worst","PG-13","20.40","6.32","-0.22"
"Seattle Expecations","PG-13","20.40","6.32","-0.22"
"Tourist Pelican","PG-13","20.40","6.32","-0.22"
"Bugsy Song","G","20.12","6.39","-0.33"
"Butterfly Chocolat","G","20.12","6.39","-0.33"
"Exorcist Sting","G","20.12","6.39","-0.33"
"Gosford Donnie","G","20.12","6.39","-0.33"
"Rings Heartbreakers","G","20.12","6.39","-0.33"
"Tycoon Gathering","G","20.12","6.39","-0.33"
"Waterfront Deliverance","G","20.12","6.39","-0.33"
"Jersey Sassy","PG","18.96","5.67","-0.35"
"Motions Details","PG","18.96","5.67","-0.35"
"Open African","PG","18.96","5.67","-0.35"
"Potter Connecticut","PG","18.96","5.67","-0.35"
"Splash Gump","PG","18.96","5.67","-0.35"
"Steers Armageddon","PG","18.96","5.67","-0.35"
"Uptown Young","PG","18.96","5.67","-0.35"
"Caddyshack Jedi","NC-17","20.14","5.93","-0.36"
"Craft Outfield","NC-17","20.14","5.93","-0.36"
"Dumbo Lust","NC-17","20.14","5.93","-0.36"
"Grail Frankenstein","NC-17","20.14","5.93","-0.36"
"Insider Arizona","NC-17","20.14","5.93","-0.36"
"Phantom Glory","NC-17","20.14","5.93","-0.36"
"Runaway Tenenbaums","NC-17","20.14","5.93","-0.36"
"Something Duck","NC-17","20.14","5.93","-0.36"
"Sorority Queen","NC-17","20.14","5.93","-0.36"
"Wrath Mile","NC-17","20.14","5.93","-0.36"
"Games Bowfinger","PG-13","20.40","6.32","-0.38"
"Image Princess","PG-13","20.40","6.32","-0.38"
"Lebowski Soldiers","PG-13","20.40","6.32","-0.38"
"Outlaw Hanky","PG-13","20.40","6.32","-0.38"
"Past Suicides","PG-13","20.40","6.32","-0.38"
"Perfect Groove","PG-13","20.40","6.32","-0.38"
"Pittsburgh Hunchback","PG-13","20.40","6.32","-0.38"
"Rocky War","PG-13","20.40","6.32","-0.38"
"Rushmore Mermaid","PG-13","20.40","6.32","-0.38"
"American Circus","R","20.23","5.79","-0.39"
"Details Packer","R","20.23","5.79","-0.39"
"Frogmen Breaking","R","20.23","5.79","-0.39"
"Interview Liaisons","R","20.23","5.79","-0.39"
"Music Boondock","R","20.23","5.79","-0.39"
"Town Ark","R","20.23","5.79","-0.39"
"Vanished Garden","R","20.23","5.79","-0.39"
"Vertigo Northwest","R","20.23","5.79","-0.39"
"Alamo Videotape","G","20.12","6.39","-0.49"
"Beach Heartbreakers","G","20.12","6.39","-0.49"
"Casualties Encino","G","20.12","6.39","-0.49"
"Day Unfaithful","G","20.12","6.39","-0.49"
"Dogma Family","G","20.12","6.39","-0.49"
"Minority Kiss","G","20.12","6.39","-0.49"
"Primary Glass","G","20.12","6.39","-0.49"
"Unbreakable Karate","G","20.12","6.39","-0.49"
"Carol Texas","PG","18.96","5.67","-0.52"
"Jawbreaker Brooklyn","PG","18.96","5.67","-0.52"
"Liaisons Sweet","PG","18.96","5.67","-0.52"
"Majestic Floats","PG","18.96","5.67","-0.52"
"Oklahoma Jumanji","PG","18.96","5.67","-0.52"
"Sensibility Rear","PG","18.96","5.67","-0.52"
"Sky Miracle","PG","18.96","5.67","-0.52"
"Snatch Slipper","PG","18.96","5.67","-0.52"
"Unforgiven Zoolander","PG","18.96","5.67","-0.52"
"Apache Divine","NC-17","20.14","5.93","-0.53"
"Caribbean Liberty","NC-17","20.14","5.93","-0.53"
"Chocolat Harry","NC-17","20.14","5.93","-0.53"
"Enough Raging","NC-17","20.14","5.93","-0.53"
"Frankenstein Stranger","NC-17","20.14","5.93","-0.53"
"Gunfight Moon","NC-17","20.14","5.93","-0.53"
"Hedwig Alter","NC-17","20.14","5.93","-0.53"
"Uprising Uptown","NC-17","20.14","5.93","-0.53"
"Anthem Luke","PG-13","20.40","6.32","-0.54"
"Casper Dragonfly","PG-13","20.40","6.32","-0.54"
"Dares Pluto","PG-13","20.40","6.32","-0.54"
"Detective Vision","PG-13","20.40","6.32","-0.54"
"Jacket Frisco","PG-13","20.40","6.32","-0.54"
"Million Ace","PG-13","20.40","6.32","-0.54"
"Philadelphia Wife","PG-13","20.40","6.32","-0.54"
"Rugrats Shakespeare","PG-13","20.40","6.32","-0.54"
"Vision Torque","PG-13","20.40","6.32","-0.54"
"Cause Date","R","20.23","5.79","-0.56"
"Clones Pinocchio","R","20.23","5.79","-0.56"
"Crowds Telemark","R","20.23","5.79","-0.56"
"Doubtfire Labyrinth","R","20.23","5.79","-0.56"
"Freaky Pocus","R","20.23","5.79","-0.56"
"Massacre Usual","R","20.23","5.79","-0.56"
"Angels Life","G","20.12","6.39","-0.65"
"Annie Identity","G","20.12","6.39","-0.65"
"Atlantis Cause","G","20.12","6.39","-0.65"
"Barefoot Manchurian","G","20.12","6.39","-0.65"
"Birds Perdition","G","20.12","6.39","-0.65"
"Clerks Angels","G","20.12","6.39","-0.65"
"Harper Dying","G","20.12","6.39","-0.65"
"Kill Brotherhood","G","20.12","6.39","-0.65"
"Panic Club","G","20.12","6.39","-0.65"
"Wars Pluto","G","20.12","6.39","-0.65"
"Apollo Teen","PG-13","20.40","6.32","-0.70"
"Bringing Hysterical","PG","18.96","5.67","-0.70"
"Candles Grapes","NC-17","20.14","5.93","-0.70"
"Duck Racer","NC-17","20.14","5.93","-0.70"
"Effect Gladiator","PG","18.96","5.67","-0.70"
"Expendable Stallion","PG","18.96","5.67","-0.70"
"Fiction Christmas","PG","18.96","5.67","-0.70"
"Full Flatliners","PG","18.96","5.67","-0.70"
"Lady Stage","PG","18.96","5.67","-0.70"
"Legally Secretary","PG","18.96","5.67","-0.70"
"Mourning Purple","PG","18.96","5.67","-0.70"
"Mummy Creatures","NC-17","20.14","5.93","-0.70"
"Pocus Pulp","NC-17","20.14","5.93","-0.70"
"Pollock Deliverance","PG","18.96","5.67","-0.70"
"Prejudice Oleander","PG-13","20.40","6.32","-0.70"
"Rainbow Shock","PG","18.96","5.67","-0.70"
"Shock Cabin","PG-13","20.40","6.32","-0.70"
"Shrek License","PG-13","20.40","6.32","-0.70"
"Squad Fish","PG","18.96","5.67","-0.70"
"Steel Santa","NC-17","20.14","5.93","-0.70"
"Wedding Apollo","PG","18.96","5.67","-0.70"
"Airport Pollock","R","20.23","5.79","-0.73"
"Banger Pinocchio","R","20.23","5.79","-0.73"
"Forrest Sons","R","20.23","5.79","-0.73"
"Hardly Robbers","R","20.23","5.79","-0.73"
"Home Pity","R","20.23","5.79","-0.73"
"Illusion Amelie","R","20.23","5.79","-0.73"
"Remember Diary","R","20.23","5.79","-0.73"
"Seven Swarm","R","20.23","5.79","-0.73"
"Ship Wonderland","R","20.23","5.79","-0.73"
"Bird Independence","G","20.12","6.39","-0.80"
"Bulworth Commandments","G","20.12","6.39","-0.80"
"Cat Coneheads","G","20.12","6.39","-0.80"
"Conquerer Nuts","G","20.12","6.39","-0.80"
"Darn Forrester","G","20.12","6.39","-0.80"
"Drumline Cyclone","G","20.12","6.39","-0.80"
"Firehouse Vietnam","G","20.12","6.39","-0.80"
"Graduate Lord","G","20.12","6.39","-0.80"
"Attraction Newton","PG-13","20.40","6.32","-0.86"
"Braveheart Human","PG-13","20.40","6.32","-0.86"
"Frontier Cabin","PG-13","20.40","6.32","-0.86"
"Juggler Hardly","PG-13","20.40","6.32","-0.86"
"Madness Attacks","PG-13","20.40","6.32","-0.86"
"Park Citizen","PG-13","20.40","6.32","-0.86"
"Slipper Fidelity","PG-13","20.40","6.32","-0.86"
"Snatchers Montezuma","PG-13","20.40","6.32","-0.86"
"Trip Newton","PG-13","20.40","6.32","-0.86"
"Boondock Ballroom","NC-17","20.14","5.93","-0.87"
"Chamber Italian","NC-17","20.14","5.93","-0.87"
"Eagles Panky","NC-17","20.14","5.93","-0.87"
"Godfather Diary","NC-17","20.14","5.93","-0.87"
"Hours Rage","NC-17","20.14","5.93","-0.87"
"Insects Stone","NC-17","20.14","5.93","-0.87"
"Odds Boogie","NC-17","20.14","5.93","-0.87"
"Towers Hurricane","NC-17","20.14","5.93","-0.87"
"Varsity Trip","NC-17","20.14","5.93","-0.87"
"Virtual Spoilers","NC-17","20.14","5.93","-0.87"
"Youth Kick","NC-17","20.14","5.93","-0.87"
"Boiled Dares","PG","18.96","5.67","-0.88"
"Ferris Mother","PG","18.96","5.67","-0.88"
"Frost Head","PG","18.96","5.67","-0.88"
"Lion Uncut","PG","18.96","5.67","-0.88"
"Mighty Luck","PG","18.96","5.67","-0.88"
"Mulholland Beast","PG","18.96","5.67","-0.88"
"Tadpole Park","PG","18.96","5.67","-0.88"
"Temple Attraction","PG","18.96","5.67","-0.88"
"Trouble Date","PG","18.96","5.67","-0.88"
"Words Hunter","PG","18.96","5.67","-0.88"
"Alone Trip","R","20.23","5.79","-0.91"
"Conversation Downhill","R","20.23","5.79","-0.91"
"Durham Panky","R","20.23","5.79","-0.91"
"Greedy Roots","R","20.23","5.79","-0.91"
"Jet Neighbors","R","20.23","5.79","-0.91"
"Oz Liaisons","R","20.23","5.79","-0.91"
"Pajama Jawbreaker","R","20.23","5.79","-0.91"
"Shepherd Midsummer","R","20.23","5.79","-0.91"
"Shrunk Divine","R","20.23","5.79","-0.91"
"Tights Dawn","R","20.23","5.79","-0.91"
"Velvet Terminator","R","20.23","5.79","-0.91"
"Autumn Crow","G","20.12","6.39","-0.96"
"Blood Argonauts","G","20.12","6.39","-0.96"
"Bunch Minds","G","20.12","6.39","-0.96"
"Duffel Apocalypse","G","20.12","6.39","-0.96"
"Dwarfs Alter","G","20.12","6.39","-0.96"
"Gilbert Pelican","G","20.12","6.39","-0.96"
"Jumanji Blade","G","20.12","6.39","-0.96"
"Monterey Labyrinth","G","20.12","6.39","-0.96"
"Scissorhands Slums","G","20.12","6.39","-0.96"
"Suicides Silence","G","20.12","6.39","-0.96"
"Sweethearts Suspects","G","20.12","6.39","-0.96"
"Timberland Sky","G","20.12","6.39","-0.96"
"Traffic Hobbit","G","20.12","6.39","-0.96"
"Circus Youth","PG-13","20.40","6.32","-1.01"
"Daughter Madigan","PG-13","20.40","6.32","-1.01"
"Divide Monster","PG-13","20.40","6.32","-1.01"
"Eyes Driving","PG-13","20.40","6.32","-1.01"
"Glory Tracy","PG-13","20.40","6.32","-1.01"
"Intentions Empire","PG-13","20.40","6.32","-1.01"
"Order Betrayed","PG-13","20.40","6.32","-1.01"
"Rollercoaster Bringing","PG-13","20.40","6.32","-1.01"
"Sleeping Suspects","PG-13","20.40","6.32","-1.01"
"Smoking Barbarella","PG-13","20.40","6.32","-1.01"
"Spy Mile","PG-13","20.40","6.32","-1.01"
"World Leathernecks","PG-13","20.40","6.32","-1.01"
"Confidential Interview","NC-17","20.14","5.93","-1.04"
"Darko Dorado","NC-17","20.14","5.93","-1.04"
"Deer Virginian","NC-17","20.14","5.93","-1.04"
"Groove Fiction","NC-17","20.14","5.93","-1.04"
"Hall Cassidy","NC-17","20.14","5.93","-1.04"
"Haunted Antitrust","NC-17","20.14","5.93","-1.04"
"Heavenly Gun","NC-17","20.14","5.93","-1.04"
"Jerk Paycheck","NC-17","20.14","5.93","-1.04"
"Ladybugs Armageddon","NC-17","20.14","5.93","-1.04"
"Scalawag Duck","NC-17","20.14","5.93","-1.04"
"State Wasteland","NC-17","20.14","5.93","-1.04"
"Wolves Desire","NC-17","20.14","5.93","-1.04"
"Bill Others","PG","18.96","5.67","-1.05"
"Blackout Private","PG","18.96","5.67","-1.05"
"Center Dinosaur","PG","18.96","5.67","-1.05"
"Invasion Cyclone","PG","18.96","5.67","-1.05"
"Jedi Beneath","PG","18.96","5.67","-1.05"
"Oleander Clue","PG","18.96","5.67","-1.05"
"Patriot Roman","PG","18.96","5.67","-1.05"
"Polish Brooklyn","PG","18.96","5.67","-1.05"
"President Bang","PG","18.96","5.67","-1.05"
"Resurrection Silverado","PG","18.96","5.67","-1.05"
"Volume House","PG","18.96","5.67","-1.05"
"Watch Tracy","PG","18.96","5.67","-1.05"
"Wizard Coldblooded","PG","18.96","5.67","-1.05"
"Chocolate Duck","R","20.23","5.79","-1.08"
"Clueless Bucket","R","20.23","5.79","-1.08"
"Commandments Express","R","20.23","5.79","-1.08"
"Doom Dancing","R","20.23","5.79","-1.08"
"Fight Jawbreaker","R","20.23","5.79","-1.08"
"Galaxy Sweethearts","R","20.23","5.79","-1.08"
"House Dynamite","R","20.23","5.79","-1.08"
"Prix Undefeated","R","20.23","5.79","-1.08"
"Ace Goldfinger","G","20.12","6.39","-1.12"
"Clash Freddy","G","20.12","6.39","-1.12"
"Easy Gladiator","G","20.12","6.39","-1.12"
"Hoosiers Birdcage","G","20.12","6.39","-1.12"
"Lonely Elephant","G","20.12","6.39","-1.12"
"Moonwalker Fool","G","20.12","6.39","-1.12"
"Noon Papi","G","20.12","6.39","-1.12"
"Pulp Beverly","G","20.12","6.39","-1.12"
"Shining Roses","G","20.12","6.39","-1.12"
"Sleepless Monsoon","G","20.12","6.39","-1.12"
"Spiking Element","G","20.12","6.39","-1.12"
"Stranger Strangers","G","20.12","6.39","-1.12"
"Argonauts Town","PG-13","20.40","6.32","-1.17"
"Bright Encounters","PG-13","20.40","6.32","-1.17"
"Club Graffiti","PG-13","20.40","6.32","-1.17"
"Feathers Metal","PG-13","20.40","6.32","-1.17"
"Hawk Chill","PG-13","20.40","6.32","-1.17"
"Identity Lover","PG-13","20.40","6.32","-1.17"
"Maker Gables","PG-13","20.40","6.32","-1.17"
"Masked Bubble","PG-13","20.40","6.32","-1.17"
"Mine Titans","PG-13","20.40","6.32","-1.17"
"Paradise Sabrina","PG-13","20.40","6.32","-1.17"
"Spinal Rocky","PG-13","20.40","6.32","-1.17"
"Swarm Gold","PG-13","20.40","6.32","-1.17"
"Anonymous Human","NC-17","20.14","5.93","-1.21"
"Coneheads Smoochy","NC-17","20.14","5.93","-1.21"
"Cranes Reservoir","NC-17","20.14","5.93","-1.21"
"Gump Date","NC-17","20.14","5.93","-1.21"
"Igby Maker","NC-17","20.14","5.93","-1.21"
"Outbreak Divine","NC-17","20.14","5.93","-1.21"
"Sierra Divide","NC-17","20.14","5.93","-1.21"
"Carrie Bunch","PG","18.96","5.67","-1.23"
"Drums Dynamite","PG","18.96","5.67","-1.23"
"Egypt Tenenbaums","PG","18.96","5.67","-1.23"
"Greek Everyone","PG","18.96","5.67","-1.23"
"Hurricane Affair","PG","18.96","5.67","-1.23"
"Massage Image","PG","18.96","5.67","-1.23"
"Murder Antitrust","PG","18.96","5.67","-1.23"
"Party Knock","PG","18.96","5.67","-1.23"
"Pet Haunting","PG","18.96","5.67","-1.23"
"Records Zorro","PG","18.96","5.67","-1.23"
"Sabrina Midnight","PG","18.96","5.67","-1.23"
"Secret Groundhog","PG","18.96","5.67","-1.23"
"Silverado Goldfinger","PG","18.96","5.67","-1.23"
"Titans Jerk","PG","18.96","5.67","-1.23"
"Closer Bang","R","20.23","5.79","-1.25"
"Devil Desire","R","20.23","5.79","-1.25"
"Go Purple","R","20.23","5.79","-1.25"
"Holocaust Highball","R","20.23","5.79","-1.25"
"Jeopardy Encino","R","20.23","5.79","-1.25"
"Road Roxanne","R","20.23","5.79","-1.25"
"Soup Wisdom","R","20.23","5.79","-1.25"
"Suit Walls","R","20.23","5.79","-1.25"
"Unfaithful Kill","R","20.23","5.79","-1.25"
"Wind Phantom","R","20.23","5.79","-1.25"
"Wisdom Worker","R","20.23","5.79","-1.25"
"Fidelity Devil","G","20.12","6.39","-1.27"
"Hyde Doctor","G","20.12","6.39","-1.27"
"Novocaine Flight","G","20.12","6.39","-1.27"
"Saints Bride","G","20.12","6.39","-1.27"
"Trap Guys","G","20.12","6.39","-1.27"
"Chicago North","PG-13","20.40","6.32","-1.33"
"Driver Annie","PG-13","20.40","6.32","-1.33"
"Flintstones Happiness","PG-13","20.40","6.32","-1.33"
"Kiss Glory","PG-13","20.40","6.32","-1.33"
"Name Detective","PG-13","20.40","6.32","-1.33"
"Psycho Shrunk","PG-13","20.40","6.32","-1.33"
"Raiders Antitrust","PG-13","20.40","6.32","-1.33"
"Scarface Bang","PG-13","20.40","6.32","-1.33"
"Tarzan Videotape","PG-13","20.40","6.32","-1.33"
"Whale Bikini","PG-13","20.40","6.32","-1.33"
"Antitrust Tomatoes","NC-17","20.14","5.93","-1.37"
"Elizabeth Shane","NC-17","20.14","5.93","-1.37"
"Impossible Prejudice","NC-17","20.14","5.93","-1.37"
"Jungle Closer","NC-17","20.14","5.93","-1.37"
"Memento Zoolander","NC-17","20.14","5.93","-1.37"
"Model Fish","NC-17","20.14","5.93","-1.37"
"Pizza Jumanji","NC-17","20.14","5.93","-1.37"
"Sons Interview","NC-17","20.14","5.93","-1.37"
"Untouchables Sunrise","NC-17","20.14","5.93","-1.37"
"Vampire Whale","NC-17","20.14","5.93","-1.37"
"Westward Seabiscuit","NC-17","20.14","5.93","-1.37"
"Cowboy Doom","PG","18.96","5.67","-1.41"
"Gaslight Crusade","PG","18.96","5.67","-1.41"
"Kentuckian Giant","PG","18.96","5.67","-1.41"
"Mile Mulan","PG","18.96","5.67","-1.41"
"Secretary Rouge","PG","18.96","5.67","-1.41"
"Stock Glass","PG","18.96","5.67","-1.41"
"Super Wyoming","PG","18.96","5.67","-1.41"
"Tootsie Pilot","PG","18.96","5.67","-1.41"
"Apocalypse Flamingos","R","20.23","5.79","-1.42"
"Boogie Amelie","R","20.23","5.79","-1.42"
"Boulevard Mob","R","20.23","5.79","-1.42"
"Frida Slipper","R","20.23","5.79","-1.42"
"Killer Innocent","R","20.23","5.79","-1.42"
"Madison Trap","R","20.23","5.79","-1.42"
"Streetcar Intentions","R","20.23","5.79","-1.42"
"Terminator Club","R","20.23","5.79","-1.42"
"Yentl Idaho","R","20.23","5.79","-1.42"
"Amistad Midsummer","G","20.12","6.39","-1.43"
"Armageddon Lost","G","20.12","6.39","-1.43"
"Catch Amistad","G","20.12","6.39","-1.43"
"Intrigue Worst","G","20.12","6.39","-1.43"
"Jaws Harry","G","20.12","6.39","-1.43"
"Mulan Moon","G","20.12","6.39","-1.43"
"Mussolini Spoilers","G","20.12","6.39","-1.43"
"Potluck Mixed","G","20.12","6.39","-1.43"
"Turn Star","G","20.12","6.39","-1.43"
"Warlock Werewolf","G","20.12","6.39","-1.43"
"Blade Polish","PG-13","20.40","6.32","-1.49"
"Contact Anonymous","PG-13","20.40","6.32","-1.49"
"Dolls Rage","PG-13","20.40","6.32","-1.49"
"Evolution Alter","PG-13","20.40","6.32","-1.49"
"Holiday Games","PG-13","20.40","6.32","-1.49"
"Kick Savannah","PG-13","20.40","6.32","-1.49"
"Lucky Flying","PG-13","20.40","6.32","-1.49"
"October Submarine","PG-13","20.40","6.32","-1.49"
"Platoon Instinct","PG-13","20.40","6.32","-1.49"
"Saddle Antitrust","PG-13","20.40","6.32","-1.49"
"Trainspotting Strangers","PG-13","20.40","6.32","-1.49"
"Translation Summer","PG-13","20.40","6.32","-1.49"
"Wrong Behavior","PG-13","20.40","6.32","-1.49"
"Alien Center","NC-17","20.14","5.93","-1.54"
"Artist Coldblooded","NC-17","20.14","5.93","-1.54"
"Balloon Homeward","NC-17","20.14","5.93","-1.54"
"Coma Head","NC-17","20.14","5.93","-1.54"
"Ending Crowds","NC-17","20.14","5.93","-1.54"
"Harold French","NC-17","20.14","5.93","-1.54"
"Nuts Ties","NC-17","20.14","5.93","-1.54"
"Pearl Destiny","NC-17","20.14","5.93","-1.54"
"Rouge Squad","NC-17","20.14","5.93","-1.54"
"Videotape Arsenic","NC-17","20.14","5.93","-1.54"
"Witches Panic","NC-17","20.14","5.93","-1.54"
"Zhivago Core","NC-17","20.14","5.93","-1.54"
"Cider Desire","PG","18.96","5.67","-1.58"
"Maiden Home","PG","18.96","5.67","-1.58"
"Newton Labyrinth","PG","18.96","5.67","-1.58"
"Opposite Necklace","PG","18.96","5.67","-1.58"
"Papi Necklace","PG","18.96","5.67","-1.58"
"Paths Control","PG","18.96","5.67","-1.58"
"Star Operation","PG","18.96","5.67","-1.58"
"Talented Homicide","PG","18.96","5.67","-1.58"
"Trojan Tomorrow","PG","18.96","5.67","-1.58"
"Control Anthem","G","20.12","6.39","-1.59"
"Daisy Menagerie","G","20.12","6.39","-1.59"
"Dude Blindness","G","20.12","6.39","-1.59"
"Encino Elf","G","20.12","6.39","-1.59"
"Heartbreakers Bright","G","20.12","6.39","-1.59"
"Truman Crazy","G","20.12","6.39","-1.59"
"Young Language","G","20.12","6.39","-1.59"
"Candidate Perdition","R","20.23","5.79","-1.60"
"Finding Anaconda","R","20.23","5.79","-1.60"
"Giant Troopers","R","20.23","5.79","-1.60"
"Highball Potter","R","20.23","5.79","-1.60"
"Lock Rear","R","20.23","5.79","-1.60"
"Sling Luke","R","20.23","5.79","-1.60"
"Factory Dragon","PG-13","20.40","6.32","-1.65"
"Gandhi Kwai","PG-13","20.40","6.32","-1.65"
"Gunfighter Mussolini","PG-13","20.40","6.32","-1.65"
"Matrix Snowman","PG-13","20.40","6.32","-1.65"
"Metropolis Coma","PG-13","20.40","6.32","-1.65"
"Telemark Heartbreakers","PG-13","20.40","6.32","-1.65"
"Theory Mermaid","PG-13","20.40","6.32","-1.65"
"Thin Sagebrush","PG-13","20.40","6.32","-1.65"
"Valentine Vanishing","PG-13","20.40","6.32","-1.65"
"Wait Cider","PG-13","20.40","6.32","-1.65"
"Edge Kissing","NC-17","20.14","5.93","-1.71"
"Fellowship Autumn","NC-17","20.14","5.93","-1.71"
"Jason Trap","NC-17","20.14","5.93","-1.71"
"Life Twisted","NC-17","20.14","5.93","-1.71"
"North Tequila","NC-17","20.14","5.93","-1.71"
"Notorious Reunion","NC-17","20.14","5.93","-1.71"
"Stepmom Dream","NC-17","20.14","5.93","-1.71"
"Sting Personal","NC-17","20.14","5.93","-1.71"
"Anaconda Confessions","R","20.23","5.79","-1.77"
"Deliverance Mulholland","R","20.23","5.79","-1.77"
"Kissing Dolls","R","20.23","5.79","-1.77"
"Pluto Oleander","R","20.23","5.79","-1.77"
"Purple Movie","R","20.23","5.79","-1.77"
"Roxanne Rebel","R","20.23","5.79","-1.77"
"Sun Confessions","R","20.23","5.79","-1.77"
